time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-05 13:21:16,39.2,40.55,0.12,225.06,0.0,14.64,30.23,18.08,6.68,6.91,6.44,6.03,8.41,4.72,6.83,7.34,6.63,6.03,9.28,4.44,0
2022-05-05 13:22:16,70.18,69.46,1.93,7725.67,4.41,13.63,60.96,21.0,12.04,12.23,12.07,11.79,11.96,10.1,11.74,11.91,11.67,12.09,12.2,9.86,0
2022-05-05 13:23:16,6657.87,1114.21,0.82,3766.59,0.0,92.87,25.36,78.9,1117.19,1117.23,1117.21,1101.71,1103.83,1100.69,187.99,188.47,188.02,182.84,185.49,181.4,0
2022-05-05 13:24:16,56.12,44.98,1.7,6821.63,0.0,12.68,45.83,17.35,9.73,10.07,9.39,9.42,9.58,7.93,7.89,8.29,7.57,7.68,7.89,5.68,0
2022-05-05 13:25:16,54.57,37.66,1.44,5820.32,0.0,13.32,39.95,17.55,9.03,9.48,9.15,9.61,9.41,7.88,6.24,6.74,6.36,6.93,6.75,4.64,0
2022-05-05 13:26:16,150.24,61.13,1.58,6513.44,0.0,17.08,45.83,21.51,25.43,27.83,25.37,24.03,24.92,22.66,11.23,11.23,10.03,9.8,10.88,7.96,0
2022-05-05 13:27:16,70.48,50.58,1.6,6579.42,0.0,15.19,41.5,19.27,12.14,12.43,11.59,11.56,12.33,10.43,8.86,9.19,8.22,8.33,9.29,6.69,0
2022-05-05 13:28:16,76.2,50.41,1.64,6587.39,0.0,13.9,43.79,18.4,13.12,13.51,12.56,12.43,13.23,11.34,8.88,9.27,8.2,8.2,9.26,6.6,0
2022-05-05 13:29:16,3004.18,2482.94,1.31,6242.93,0.0,47.0,26.71,44.17,500.57,501.67,500.87,500.08,502.15,498.84,413.76,414.96,414.08,413.04,415.74,411.36,0
2022-05-05 13:30:16,66.71,82.77,1.89,7644.28,0.0,19.95,48.3,25.19,11.54,11.97,11.46,10.79,11.39,9.57,14.07,14.44,13.82,13.81,14.56,12.07,0
2022-05-05 13:31:16,66.62,82.19,1.92,7693.61,0.0,20.45,49.95,25.93,11.43,11.96,11.68,11.13,11.06,9.36,13.78,14.36,14.09,14.05,14.12,11.8,0
2022-05-05 13:32:16,53.47,62.29,2.29,9081.53,0.0,20.91,49.99,25.15,9.39,10.03,9.17,8.91,8.57,7.4,10.68,11.38,10.49,10.75,10.29,8.7,0
2022-05-05 13:33:17,61.3,40.42,1.6,6496.84,0.0,15.38,35.72,18.94,10.32,10.64,10.13,10.53,10.8,8.88,6.84,7.22,6.73,7.11,7.59,4.93,0
2022-05-05 13:34:17,67.88,43.81,1.29,5576.43,0.0,15.07,34.35,18.89,11.74,11.76,10.92,11.16,12.43,9.87,7.7,7.91,6.88,7.19,8.78,5.36,0
2022-05-05 13:35:17,61.38,38.29,1.35,5447.93,0.0,14.61,40.04,18.41,10.24,10.54,10.28,10.72,10.82,8.78,6.4,6.76,6.38,6.98,7.14,4.63,0
2022-05-05 13:36:17,59.06,38.92,1.21,4968.52,0.0,12.99,47.73,17.92,10.08,10.31,9.62,9.98,10.43,8.65,6.73,7.12,6.17,6.72,7.3,4.88,0
2022-05-05 13:37:17,80.15,45.84,1.26,5160.33,0.0,12.94,44.33,17.79,13.87,14.39,13.05,12.86,13.79,12.2,8.04,8.73,7.18,7.34,8.41,6.13,0
