time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-06 04:16:17,9263673.09,0.95,1215332.82,20307437.92,34906.32,0.0,15389.75,0.0,0.0,0.0,1872104505,13247630138,13033139882,0,53.0,40.46,60.79,68.7,201218748416,197290618880,2.0,3138113536,189740519424,3406786560,3406786560,189841408,8150274048,4480,5847795,491161290,12530592716,66605,30281834,1349816,44880913112,0
2022-05-06 04:17:17,9263727.48,0.95,1215337.51,20311221.01,34906.76,0.0,15389.75,0.0,0.0,0.0,1872308291,13247869577,13033262198,0,44.46153846153846,15.49,49.91,64.47,201218748416,192946077696,4.1,7483404288,189604638720,1304080384,1304080384,189841408,3940864000,4352,5847795,491168694,12530995501,66605,30281834,1349816,44882818629,0
2022-05-06 04:18:17,9263779.4,0.95,1215346.8,20315002.75,34906.76,0.0,15389.75,0.0,0.0,0.0,1872506629,13248102188,13033345666,0,44.353846153846156,6.32,41.01,60.49,201218748416,172119834624,14.5,28308881408,168783876096,1303031808,1303031808,189841408,3936149504,4224,5847795,491168838,12536304936,66605,30281834,1349816,44884431912,0
2022-05-06 04:19:17,9263839.45,0.95,1215347.93,20318784.07,34906.9,0.0,15389.75,0.0,0.0,0.0,1872705441,13248335489,13033429198,0,44.353846153846156,2.95,33.73,56.77,201218748416,171281326080,14.9,29145919488,167869046784,1379352576,1379352576,189841408,4013940736,4096,5847795,491219482,12536378646,66605,30281834,1349816,44884918038,0
2022-05-06 04:20:17,9263899.73,0.95,1215348.9,20322564.88,34907.78,0.0,15389.75,0.0,0.0,0.0,1872909297,13248573651,13033514104,0,44.63076923076923,1.72,27.77,53.28,201218748416,171288481792,14.9,29139558400,167645892608,1609719808,1609719808,189841408,4243456000,4096,5847795,491391650,12536385420,66605,30281834,1349816,44885244275,0
2022-05-06 04:21:17,9263959.95,0.95,1215349.9,20326345.51,34908.84,0.0,15389.75,0.0,0.0,0.0,1873112782,13248811485,13033600780,0,44.292307692307695,1.26,22.9,50.01,201218748416,171291041792,14.9,29136949248,167450779648,1807388672,1807388672,189841408,4441178112,4096,5847795,491576090,12536506269,66605,30281834,1349816,44885568886,0
2022-05-06 04:22:17,9264020.04,0.95,1215351.01,20330123.7,34910.77,0.0,15389.75,0.0,0.0,0.0,1873322625,13249053108,13033687086,0,44.323076923076925,1.1,18.91,46.94,201218748416,171292000256,14.9,29136572416,167216816128,2042335232,2042335232,189841408,4675518464,3840,5847795,491794670,12536754051,66605,30281834,1349816,44885893888,0
2022-05-06 04:23:17,9264080.18,0.95,1215352.11,20333903.6,34912.25,0.0,15389.75,0.0,0.0,0.0,1873527495,13249292449,13033773365,0,44.30769230769231,1.07,15.67,44.07,201218748416,171293827072,14.9,29134426112,166983114752,2277900288,2277900288,189841408,4911366144,3712,5847795,492032070,12537002946,66605,30281834,1349816,44886218669,0
2022-05-06 04:24:17,9264139.76,0.95,1215353.74,20337682.45,34913.56,0.0,15389.75,0.0,0.0,0.0,1873733150,13249532555,13033859902,0,44.33846153846154,1.03,13.0,41.38,201218748416,171303632896,14.9,29124222976,166838927360,2431860736,2431860736,189841408,5065756672,3712,5847795,492274614,12539045170,66605,30281834,1349816,44886546224,0
2022-05-06 04:25:17,9264197.02,0.95,1215357.69,20341463.87,34913.57,0.0,15389.75,0.0,0.0,0.0,1873932244,13249766253,13033943916,0,44.33846153846154,1.01,10.81,38.85,201218748416,194315497472,3.4,6113054720,189849554944,2234302464,2234302464,189841408,5066297344,3712,5847795,492275114,12541854343,66605,30281834,1349816,44893201807,0
