time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-06 04:46:00,96843.59,37100.8,0.5,85127.74,10005.77,80.78,91.8,86.39,16175.02,16171.16,16171.59,16110.15,16106.88,16108.79,6192.36,6193.82,6192.92,6174.96,6172.23,6174.52,0
2022-05-06 04:47:00,104806.58,35132.88,0.43,74434.38,10882.34,89.38,94.05,91.63,17485.84,17484.4,17482.7,17452.34,17448.47,17452.82,5864.53,5866.83,5864.83,5845.78,5843.57,5847.34,0
2022-05-06 04:48:00,110353.94,41676.08,0.33,55702.76,9472.81,82.38,103.58,92.73,18406.22,18404.08,18403.33,18381.14,18379.05,18380.13,6951.45,6952.14,6950.89,6941.02,6939.47,6941.11,0
2022-05-06 04:49:00,99599.62,47669.15,0.28,49821.34,11370.49,88.92,99.68,95.39,16616.42,16613.6,16613.63,16585.17,16585.05,16585.74,7949.31,7949.72,7949.12,7939.78,7939.77,7941.45,10
2022-05-06 04:50:00,108.67,92.37,1.07,185783.61,0.46,21.7,35.86,24.38,18.99,18.6,18.66,18.51,16.66,17.25,16.18,16.04,15.94,15.95,13.83,14.43,10
2022-05-06 04:51:00,75613.73,32416.89,1.05,174574.57,7864.29,85.58,96.66,91.66,12615.66,12612.98,12613.34,12591.44,12589.99,12590.32,5407.46,5407.29,5406.78,5399.6,5397.4,5398.36,10
2022-05-06 04:52:00,83.91,73.53,1.06,183554.55,0.41,19.31,26.76,20.9,14.8,14.94,14.51,13.78,12.83,13.05,13.08,13.21,12.72,12.22,11.07,11.22,10
2022-05-06 04:53:00,31745.44,13847.32,1.06,182916.21,3255.59,90.45,94.7,92.99,5291.79,5291.4,5291.31,5289.83,5289.9,5291.21,2308.87,2308.99,2308.81,2307.04,2306.3,2307.31,10
2022-05-06 04:54:00,37750.67,9593.82,1.09,188610.17,3518.78,89.79,102.36,95.51,6294.27,6292.98,6293.23,6291.47,6289.36,6289.36,1600.58,1600.77,1600.54,1598.25,1596.58,1597.1,10
2022-05-06 04:55:00,90.07,73.02,1.06,187149.24,2.85,22.4,41.33,27.0,15.68,14.22,15.93,15.64,15.02,13.57,12.85,11.55,13.05,12.71,12.14,10.72,10
