time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-03 22:30:21,51.03,52.83,0.12,245.96,0.0,14.97,29.36,18.57,8.71,9.09,8.9,7.91,10.11,6.31,8.91,9.52,9.26,7.99,11.13,6.01,0
2022-05-03 22:31:21,79.69,79.92,1.97,7758.09,4.42,10.71,59.92,18.28,13.87,14.72,13.61,12.84,12.8,11.85,13.72,14.67,13.39,13.31,13.1,11.72,0
2022-05-03 22:32:21,7639.87,928.62,0.56,2643.92,0.0,94.66,38.8,89.62,1277.42,1277.07,1277.09,1269.39,1271.14,1267.77,155.61,155.86,155.59,153.82,156.18,151.56,0
2022-05-03 22:33:21,55.33,42.32,1.71,6782.06,0.0,12.33,55.12,17.33,9.56,10.19,9.71,9.26,8.72,7.89,7.38,8.04,7.6,7.36,6.6,5.34,0
2022-05-03 22:34:21,57.7,41.75,1.46,5940.25,0.0,12.77,46.37,17.12,9.65,10.08,9.51,10.05,9.88,8.53,6.98,7.47,6.86,7.56,7.42,5.46,0
2022-05-03 22:35:21,61.31,41.25,1.57,6462.02,0.0,15.43,37.57,19.28,10.44,10.49,10.18,10.31,11.14,8.74,7.14,7.16,6.79,7.05,8.1,5.0,0
2022-05-03 22:36:21,176.68,59.94,1.59,6690.04,0.0,18.01,42.73,22.28,30.03,30.56,29.01,29.13,30.16,27.78,10.71,10.92,9.58,9.8,11.05,7.88,0
2022-05-03 22:37:21,74.46,45.83,1.63,6615.98,0.0,15.31,44.26,19.56,12.85,12.67,12.48,12.45,13.26,10.75,8.13,7.89,7.62,7.87,8.75,5.58,0
2022-05-03 22:38:21,4509.74,3419.87,1.09,5120.02,0.0,69.22,31.46,66.24,753.82,754.28,753.48,749.05,751.48,747.64,570.16,570.77,569.91,569.42,572.13,567.48,0
2022-05-03 22:39:21,64.65,82.87,2.14,8485.54,0.0,20.42,56.08,26.44,11.17,11.58,10.85,10.56,10.89,9.61,13.93,14.46,13.49,14.05,14.37,12.57,0
