time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-04 00:01:00,12353.83,3368.7,0.64,111994.45,948.35,65.71,59.87,65.27,2072.03,2069.47,2068.17,2048.08,2049.32,2046.75,568.33,566.81,566.92,556.16,555.29,555.19,0
2022-05-04 00:02:00,110563.23,41933.43,0.33,56068.45,9959.82,92.86,100.26,96.62,18439.85,18439.99,18438.71,18414.08,18414.94,18415.65,6995.14,6995.73,6993.08,6983.09,6982.43,6983.97,0
2022-05-04 00:03:00,101604.02,45137.64,0.33,54683.66,11315.54,85.25,95.17,91.09,16946.9,16945.45,16945.02,16921.34,16922.13,16923.18,7573.27,7519.74,7516.73,7508.25,7507.94,7511.7,0
2022-05-04 00:04:00,1142.33,2803.2,0.72,125445.64,28.2,42.09,71.05,60.09,214.54,214.03,213.26,167.2,166.36,166.94,475.34,475.29,473.95,460.26,458.77,459.6,90
2022-05-04 00:05:00,19840.12,9899.38,0.71,124168.39,11.73,20.2,90.65,64.49,3307.61,3307.28,3306.37,3306.48,3305.72,3306.66,1651.65,1651.79,1649.98,1649.16,1647.69,1649.12,90
2022-05-04 00:06:00,34530.97,13581.85,0.73,127864.34,2365.03,59.7,87.22,68.49,5759.0,5758.0,5757.11,5752.27,5752.15,5752.44,2266.81,2267.26,2264.85,2261.03,2260.16,2261.75,90
2022-05-04 00:07:00,93021.9,40093.7,0.52,86836.63,7936.85,91.28,96.66,94.19,15516.65,15514.72,15515.64,15492.79,15490.43,15491.67,6688.69,6688.16,6686.25,6677.67,6675.66,6677.26,90
2022-05-04 00:08:00,91862.34,40824.19,0.63,109477.37,14324.43,85.84,100.28,93.23,15344.86,15342.67,15343.46,15276.17,15276.61,15278.57,6811.75,6812.04,6809.69,6796.65,6795.89,6798.17,90
2022-05-04 00:09:00,33660.29,13242.31,0.72,124580.5,2280.91,61.83,96.36,75.82,5613.82,5613.56,5612.51,5607.13,5606.18,5607.09,2209.94,2210.48,2209.08,2204.87,2203.43,2204.5,90
2022-05-04 00:10:00,94500.84,40987.97,0.52,87775.14,8267.17,89.91,95.74,93.12,15763.21,15762.34,15762.29,15738.35,15736.61,15738.03,6837.83,6838.21,6835.72,6825.54,6824.5,6826.16,90
