time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-04 00:43:04,4252926.53,0.57,488948.76,14196359.3,15445.23,0.0,6574.55,0.0,0.0,0.0,1110700617,6174149529,5913262148,0,52.707692307692305,29.46,56.89,62.81,201218748416,197293162496,2.0,3135569920,189821145088,3505119232,3505119232,175648768,8086384640,4608,5845803,214162190,5557308170,65172,30281834,1349816,21444446640,0
2022-05-04 00:44:04,4252980.96,0.57,488953.39,14200142.78,15445.24,0.0,6574.55,0.0,0.0,0.0,1110902798,6174389611,5913381488,0,44.353846153846156,11.42,46.7,58.94,201218748416,192953864192,4.1,7477002240,189709709312,1401049088,1401049088,175648768,3856388096,4608,5845803,214169898,5557710040,65172,30281834,1349816,21446354852,0
2022-05-04 00:45:05,4253032.81,0.57,488962.76,14203924.47,15445.24,0.0,6574.55,0.0,0.0,0.0,1111100775,6174621689,5913464892,0,44.33846153846154,4.83,38.39,55.31,201218748416,172131868672,14.5,28299063296,168887767040,1401053184,1401053184,175648768,3856269312,4224,5845803,214170186,5563017371,65172,30281834,1349816,21447962089,0
2022-05-04 00:46:05,4253092.85,0.57,488963.87,14207705.79,15445.41,0.0,6574.55,0.0,0.0,0.0,1111300606,6174854686,5913547848,0,44.69230769230769,2.41,31.58,51.91,201218748416,171293261824,14.9,29137010688,167970537472,1479733248,1479733248,175648768,3935551488,4096,5845803,214219362,5563077783,65172,30281834,1349816,21448423959,0
2022-05-04 00:47:05,4253153.14,0.57,488964.76,14211486.12,15446.8,0.0,6574.56,0.0,0.0,0.0,1111505561,6175089915,5913633114,0,44.36923076923077,1.58,26.03,48.73,201218748416,171293356032,14.9,29137096704,167742517248,1707847680,1707847680,175652864,4163481600,4096,5845803,214387450,5563081681,65172,30281834,1349816,21448724003,0
2022-05-04 00:48:05,4253213.38,0.57,488965.75,14215266.6,15448.0,0.0,6574.57,0.0,0.0,0.0,1111710418,6175326036,5913718726,0,44.53846153846154,1.25,21.49,45.75,201218748416,171292655616,14.9,29137559552,167544152064,1905512448,1905512448,175652864,4361383936,4096,5845803,214573094,5563199511,65172,30281834,1349816,21449041939,0
2022-05-04 00:49:05,4253273.51,0.57,488966.83,14219046.32,15449.93,0.0,6574.61,0.0,0.0,0.0,1111918096,6175563426,5913806328,0,44.353846153846156,1.09,17.76,42.95,201218748416,171291578368,14.9,29138849792,167308767232,2139820032,2139820032,175656960,4595474432,4096,5845803,214888818,5563446731,65172,30281834,1349816,21449366770,0
2022-05-04 00:50:05,4253333.65,0.57,488967.92,14222827.12,15450.77,0.0,6574.61,0.0,0.0,0.0,1112121118,6175798542,5913891314,0,43.89230769230769,1.03,14.71,40.33,201218748416,171289812992,14.9,29140320256,167071662080,2375159808,2375159808,175656960,4831109120,4096,5845803,215085322,5563698332,65172,30281834,1349816,21449693094,0
2022-05-04 00:51:05,4253393.21,0.57,488969.55,14226606.79,15452.73,0.0,6574.63,0.0,0.0,0.0,1112328852,6176035574,5913977650,0,44.353846153846156,1.01,12.22,37.86,201218748416,171303219200,14.9,29127303168,166929342464,2530922496,2530922496,175665152,4986437632,3968,5845803,215223994,5565542050,65172,30281834,1349816,21450020388,0
2022-05-04 00:52:05,4253450.41,0.57,488973.59,14230387.95,15453.0,0.0,6574.64,0.0,0.0,0.0,1112529638,6176270660,5914063342,0,44.323076923076925,1.0,10.17,35.56,201218748416,194332663808,3.4,6098194432,189958361088,2336157696,2336157696,175665152,4986527744,3584,5845803,215276310,5568525797,65172,30281834,1349816,21456676131,0
