time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-02 18:39:27,696214.73,0.27,41026.52,11295984.08,2074.95,0.0,255.05,0.0,0.0,0.0,644675070,1271288144,944113897,0,52.723076923076924,0.01,0.3,0.68,201218748416,197289365504,2.0,3139284992,190072250368,3431903232,3431903232,113586176,7893626880,2560,5701603,21796002,723304351,64253,30281834,1349816,4386301565,0
2022-05-02 18:40:27,696269.1,0.27,41031.18,11299767.58,2074.97,0.0,255.05,0.0,0.0,0.0,644876702,1271528593,944232860,0,44.323076923076925,0.6,0.41,0.69,201218748416,192965128192,4.1,7487115264,189985738752,1327955968,1327955968,113606656,3632287744,2432,5701603,21803666,723709149,64253,30281834,1349816,4388216522,0
2022-05-02 18:41:28,696321.04,0.27,41040.52,11303549.2,2074.97,0.0,255.05,0.0,0.0,0.0,645075522,1271762152,944316129,0,44.30769230769231,0.85,0.52,0.71,201218748416,172142346240,14.5,28310163456,169163186176,1327980544,1327980544,113614848,3631783936,2304,5701603,21804510,729023441,64253,30281834,1349816,4389831349,0
2022-05-02 18:42:28,696381.07,0.27,41041.7,11307329.94,2075.15,0.0,255.05,0.0,0.0,0.0,645274383,1271995459,944400315,0,44.49230769230769,0.95,0.61,0.73,201218748416,171305439232,14.9,29146845184,168246312960,1407926272,1407926272,113631232,3711959040,2304,5701603,21848554,729031582,64253,30281834,1349816,4390317710,0
2022-05-02 18:43:28,696441.38,0.27,41042.65,11311110.59,2076.19,0.0,255.05,0.0,0.0,0.0,645478017,1272233611,944486158,0,44.292307692307695,1.01,0.68,0.75,201218748416,171303923712,14.9,29145677824,168012222464,1638137856,1638137856,113672192,3947175936,2176,5701603,22029398,729035378,64253,30281834,1349816,4390643193,0
2022-05-02 18:44:28,696501.33,0.27,41043.97,11314890.6,2077.81,0.0,255.05,0.0,0.0,0.0,645683691,1272474174,944573698,0,44.292307692307695,1.0,0.74,0.76,201218748416,171301990400,14.9,29145489408,167809617920,1836212224,1836212224,113684480,4149956608,2304,5701603,22295646,729152471,64253,30281834,1349816,4391082372,0
2022-05-02 18:45:28,696560.37,0.27,41046.2,11318671.25,2078.74,0.0,255.05,0.0,0.0,0.0,645886910,1272711992,944658635,0,45.69230769230769,0.94,0.77,0.77,201218748416,171297267712,14.9,29147394048,167571140608,2067296256,2067296256,113696768,4386516992,2304,5701603,22526902,729402783,64253,30281834,1349816,4391677002,0
2022-05-02 18:46:28,696618.69,0.27,41049.04,11322448.68,2080.04,0.0,255.05,0.0,0.0,0.0,646090635,1272950301,944743558,0,44.44615384615385,0.98,0.81,0.79,201218748416,171294216192,14.9,29147496448,167335895040,2296537088,2296537088,113709056,4621647872,2304,5701603,22642830,729646239,64253,30281834,1349816,4392359326,0
2022-05-02 18:47:28,696677.42,0.27,41051.54,11326225.37,2081.32,0.0,255.05,0.0,0.0,0.0,646295589,1273189923,944829590,0,44.276923076923076,1.02,0.86,0.8,201218748416,171291430912,14.9,29148348416,167171080192,2456358912,2456358912,113721344,4785598464,2176,5701603,22859106,729782086,64253,30281834,1349816,4392953250,0
2022-05-02 18:48:28,696728.17,0.27,41061.98,11330006.53,2081.57,0.0,255.05,0.0,0.0,0.0,646495936,1273426567,944915059,0,44.30769230769231,1.01,0.89,0.81,201218748416,194716246016,3.2,5723594752,190594351104,2349236224,2349236224,113729536,4787073024,2048,5701603,22911450,737255033,64253,30281834,1349816,4401703757,0
