time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-02 22:06:02,1122846.9,0.27,109514.6,11591817.26,3527.8,0.0,967.66,0.0,0.0,0.0,700355537,1874417271,1558006265,0,52.76923076923077,40.95,60.86,66.39,201218748416,197289336832,2.0,3139379200,189898145792,3568631808,3568631808,135790592,8045432832,4736,5843731,44939522,1322305496,64367,30281834,1349816,6976963316,0
2022-05-02 22:07:02,1122901.23,0.27,109519.3,11595596.69,3528.19,0.0,967.66,0.0,0.0,0.0,700558434,1874660130,1558128907,0,44.4,15.61,49.94,62.29,201218748416,192967725056,4.1,7478886400,189812084736,1464639488,1464639488,135802880,3791974400,4480,5843731,45020586,1322706394,64367,30281834,1349816,6978875116,0
2022-05-02 22:08:02,1122951.06,0.27,109530.62,11599374.69,3528.19,0.0,967.66,0.0,0.0,0.0,700757322,1874893844,1558211891,0,44.33846153846154,6.32,41.02,58.45,201218748416,171583254528,14.7,28863393792,168427638784,1464651776,1464651776,135823360,3791892480,4480,5843731,45020766,1328020509,64367,30281834,1349816,6981287295,0
2022-05-02 22:09:02,1123010.69,0.27,109532.28,11603155.92,3528.3,0.0,967.66,0.0,0.0,0.0,700955978,1875128608,1558296340,0,44.276923076923076,2.95,33.74,54.85,201218748416,171298725888,14.9,29147738112,168068419584,1539469312,1539469312,135864320,3866726400,4480,5843731,45083326,1328095913,64367,30281834,1349816,6981974470,0
2022-05-02 22:10:02,1123070.92,0.27,109533.28,11606937.18,3528.8,0.0,967.66,0.0,0.0,0.0,701159510,1875368324,1558381738,0,44.261538461538464,1.72,27.78,51.48,201218748416,171300515840,14.9,29146001408,167846391808,1763241984,1763241984,135913472,4090441728,4352,5843743,45256942,1328103943,64367,30281834,1349816,6982301079,0
2022-05-02 22:11:02,1123131.1,0.27,109534.27,11610714.62,3529.66,0.0,967.66,0.0,0.0,0.0,701363950,1875606270,1558467660,0,44.353846153846156,1.22,22.89,48.32,201218748416,171299893248,14.9,29144686592,167648481280,1959247872,1959247872,135970816,4289609728,4352,5843751,45484534,1328217642,64367,30281834,1349816,6982626110,0
2022-05-02 22:12:02,1123191.13,0.27,109535.36,11614493.93,3530.46,0.0,967.67,0.0,0.0,0.0,701568835,1875842493,1558554604,0,44.292307692307695,1.08,18.91,45.36,201218748416,171298570240,14.9,29143781376,167411642368,2191777792,2191777792,136032256,4527292416,4224,5843759,45711510,1328462982,64367,30281834,1349816,6982951081,0
2022-05-02 22:13:02,1123251.27,0.27,109536.45,11618272.16,3531.27,0.0,967.68,0.0,0.0,0.0,701771460,1876077052,1558639956,0,44.49230769230769,1.03,15.65,42.58,201218748416,171296174080,14.9,29141762048,167170293760,2427633664,2427633664,136085504,4770607104,4224,5843763,45888078,1328711655,64367,30281834,1349816,6983275860,0
2022-05-02 22:14:02,1123311.31,0.27,109537.66,11622052.89,3532.04,0.0,967.69,0.0,0.0,0.0,701975429,1876313285,1558726452,0,44.53846153846154,0.94,12.96,39.97,201218748416,171295473664,14.9,29141950464,167001604096,2593357824,2593357824,136138752,4939055104,4096,5843771,46118694,1328849074,64367,30281834,1349816,6983600884,0
2022-05-02 22:15:02,1123367.38,0.27,109542.78,11625834.29,3532.07,0.0,967.69,0.0,0.0,0.0,702173817,1876547919,1558812258,0,44.33846153846154,0.94,10.77,37.53,201218748416,194459590656,3.4,5977821184,190164152320,2429739008,2429739008,136163328,4940611584,4096,5843771,46126994,1333629797,64367,30281834,1349816,6990720089,0
