time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-02 22:06:05,48.19,48.91,0.12,256.81,0.0,15.45,33.04,19.54,8.02,8.85,8.38,7.49,9.51,5.94,8.06,9.08,8.61,7.35,10.32,5.49,0
2022-05-02 22:07:05,65.31,64.78,1.91,7726.32,4.4,12.82,49.61,20.08,10.98,11.42,11.05,10.8,11.23,9.84,10.65,11.4,10.82,10.89,11.48,9.55,0
2022-05-02 22:08:05,5805.98,4162.03,0.42,2017.73,0.0,92.69,68.86,91.16,967.52,968.21,967.6,967.23,969.36,966.05,693.63,694.49,694.14,692.71,695.83,691.23,0
2022-05-02 22:09:05,58.1,44.56,1.79,6768.54,0.0,12.09,55.04,16.89,9.92,10.28,10.17,10.17,9.22,8.34,7.66,8.06,7.86,8.19,6.98,5.8,0
2022-05-02 22:10:05,55.83,34.5,1.49,5952.59,0.0,12.38,49.95,18.38,9.52,9.82,9.53,9.24,9.62,8.1,5.94,6.45,5.99,5.72,6.2,4.2,0
2022-05-02 22:11:05,56.21,35.19,1.47,6108.09,0.0,13.22,44.11,18.48,9.45,9.58,9.43,9.38,10.2,8.16,5.89,6.27,5.94,5.84,6.96,4.27,0
2022-05-02 22:12:05,70.84,51.62,1.43,6406.54,0.0,14.87,36.8,19.2,12.16,12.43,12.16,11.46,12.85,9.78,8.96,9.35,8.93,8.15,10.07,6.14,0
2022-05-02 22:13:05,70.94,42.69,1.54,6612.22,0.0,16.5,37.61,20.47,11.86,12.02,11.91,11.8,13.24,10.12,7.18,7.44,7.27,6.94,8.97,4.88,0
2022-05-02 22:14:05,2145.9,880.61,0.42,1979.4,0.0,86.55,90.16,87.29,358.18,358.78,357.96,357.17,358.88,354.93,146.93,147.35,147.11,145.94,149.45,143.82,0
2022-05-02 22:15:05,65.63,85.59,2.08,8476.59,0.0,21.06,49.19,26.33,11.46,11.52,11.48,10.65,11.2,9.31,14.54,14.72,14.6,14.27,14.97,12.49,0
