time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-02 22:36:00,30992.97,14631.11,1.01,171202.11,11403.11,58.7,78.92,63.39,5208.19,5207.43,5206.88,5124.05,5123.35,5123.07,2444.91,2445.18,2444.22,2432.88,2432.39,2431.54,0
2022-05-02 22:37:00,109796.72,41571.95,0.34,56945.04,10249.09,93.09,99.01,96.1,18313.89,18312.1,18312.21,18286.55,18285.87,18286.1,6933.79,6934.9,6932.58,6924.52,6922.09,6924.06,0
2022-05-02 22:38:00,105334.9,46305.5,0.31,51830.92,12224.58,85.68,98.44,92.83,17569.84,17568.75,17569.59,17541.54,17541.45,17543.73,7764.59,7765.39,7763.87,7705.53,7653.3,7652.82,0
2022-05-02 22:39:00,93680.02,39238.08,0.6,102573.88,15510.76,85.26,103.61,94.29,15642.09,15640.17,15640.44,15584.07,15587.47,15585.78,6545.24,6546.4,6543.93,6533.73,6533.95,6534.82,50
2022-05-02 22:40:00,98438.8,44320.5,0.38,66664.91,11441.28,94.62,96.92,95.96,16420.65,16420.06,16419.84,16392.73,16392.34,16393.18,7391.22,7392.52,7390.27,7383.26,7380.47,7382.76,50
2022-05-02 22:41:00,84947.99,36171.89,0.6,104356.38,13858.13,82.98,95.95,89.57,14192.61,14191.85,14191.69,14123.72,14124.32,14123.8,6036.87,6037.96,6035.92,6020.77,6019.7,6020.68,50
2022-05-02 22:42:00,95705.29,43918.73,0.36,61776.87,11564.62,89.51,97.61,94.22,15965.62,15963.18,15963.84,15936.14,15938.19,15938.32,7324.59,7325.18,7323.57,7314.52,7314.64,7316.23,50
2022-05-02 22:43:00,86532.33,35369.54,0.56,97177.8,14873.12,79.52,102.46,90.42,14460.75,14459.4,14459.96,14383.26,14384.21,14384.74,5904.87,5906.34,5904.37,5884.21,5884.11,5885.64,50
2022-05-02 22:44:00,100068.35,41843.69,0.42,71047.58,9366.31,87.89,97.52,92.92,16692.35,16690.9,16692.08,16664.23,16664.72,16664.07,6979.9,6979.98,6978.7,6969.41,6968.08,6967.62,50
2022-05-02 22:45:00,92824.15,39694.14,0.54,93070.0,15100.29,87.23,92.55,90.04,15506.19,15504.54,15505.57,15434.14,15436.38,15437.32,6622.63,6624.3,6622.3,6608.77,6606.91,6609.24,50
