time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-02 19:41:41,45.61,47.05,0.12,236.38,0.0,14.66,29.46,17.96,7.72,8.02,7.77,7.39,9.27,5.44,7.87,8.38,8.04,7.47,10.16,5.13,0
2022-05-02 19:42:41,74.06,73.02,1.92,7734.16,4.41,12.68,56.79,20.05,12.71,13.2,12.66,12.07,12.3,11.12,12.25,13.01,12.37,12.2,12.4,10.79,0
2022-05-02 19:43:41,6723.3,1142.94,0.79,3629.7,0.0,93.09,24.62,77.93,1128.38,1129.3,1129.13,1112.54,1113.46,1110.48,192.56,193.52,192.96,188.01,190.13,185.77,0
2022-05-02 19:44:41,40.71,30.46,1.7,6766.64,0.0,11.61,51.65,16.32,6.78,6.94,6.91,7.23,7.33,5.52,5.07,5.36,5.25,5.62,5.7,3.47,0
2022-05-02 19:45:41,51.49,36.77,1.48,5916.66,0.0,13.91,52.77,19.58,8.78,8.76,8.61,8.76,9.21,7.38,6.32,6.44,6.21,6.35,6.87,4.58,0
2022-05-02 19:46:41,58.42,39.68,1.55,6321.9,0.0,15.29,42.94,20.38,9.89,10.21,10.01,9.49,10.35,8.47,6.72,7.37,6.93,6.31,7.43,4.92,0
2022-05-02 19:47:41,54.32,36.3,1.63,6567.09,0.0,13.89,47.78,19.4,9.07,9.34,9.18,9.05,9.8,7.87,6.02,6.6,6.24,6.0,6.94,4.49,0
2022-05-02 19:48:41,78.32,46.1,1.6,6568.71,0.0,19.18,41.64,22.72,13.62,13.68,13.46,12.63,13.57,11.35,8.05,8.38,7.99,7.39,8.56,5.73,0
2022-05-02 19:49:41,2435.8,1640.86,1.26,5974.64,0.0,50.41,27.1,47.33,406.49,406.77,406.02,405.12,407.82,403.58,274.0,274.29,273.56,272.52,275.93,270.56,0
2022-05-02 19:50:41,58.06,76.78,2.13,8471.84,0.0,19.81,58.32,26.65,9.63,10.3,10.18,9.99,9.59,8.37,12.45,13.25,13.16,13.37,13.16,11.38,0
2022-05-02 19:51:41,75.37,93.87,1.82,8604.7,0.0,22.6,40.88,26.77,12.93,13.23,12.99,12.28,13.86,10.09,15.65,16.14,15.91,15.48,17.85,12.84,0
2022-05-02 19:52:41,3385.6,258.7,1.34,6239.91,199.62,66.36,24.49,55.66,565.58,566.52,565.92,562.76,563.85,560.97,43.55,44.48,44.0,42.27,44.29,40.1,0
2022-05-02 19:53:41,47.67,35.07,1.39,5544.5,0.0,11.99,67.39,22.24,7.89,8.32,8.0,8.19,8.22,7.05,5.68,6.49,5.94,6.16,6.16,4.64,0
2022-05-02 19:54:41,52.39,35.12,1.34,5382.14,0.0,19.02,51.41,22.92,8.78,8.93,8.89,9.06,9.25,7.48,5.9,6.22,6.04,6.21,6.46,4.28,0
2022-05-02 19:55:41,46.48,34.86,1.35,5430.37,0.0,16.01,49.98,20.57,7.86,7.87,7.92,8.07,8.39,6.37,5.89,6.07,6.07,6.18,6.56,4.08,0
2022-05-02 19:56:41,48.27,32.77,1.39,5521.1,0.0,23.51,47.42,26.91,8.06,8.32,8.33,8.41,8.5,6.64,5.44,5.8,5.71,5.94,6.07,3.81,0
2022-05-02 19:57:42,63.12,33.42,1.56,6320.48,0.0,11.69,53.71,17.24,10.56,10.82,10.7,10.79,11.01,9.24,5.6,6.04,5.85,5.9,6.12,3.89,0
2022-05-02 19:58:42,68.62,31.9,1.3,5264.46,0.0,10.82,48.39,16.61,11.54,11.69,11.77,11.67,11.98,9.98,5.35,5.66,5.64,5.65,6.06,3.55,0
2022-05-02 19:59:42,64.44,32.8,1.2,4734.22,0.0,13.38,50.75,18.58,10.92,10.91,10.81,11.06,11.4,9.34,5.59,5.72,5.63,5.84,6.3,3.74,0
2022-05-02 20:00:42,61.43,51.15,1.45,5842.39,0.0,10.53,52.32,16.54,10.6,11.0,10.97,10.34,10.02,8.49,8.77,9.44,9.37,8.76,8.41,6.41,0
2022-05-02 20:01:42,50.08,32.97,1.37,5512.06,0.0,25.56,47.89,28.74,8.38,8.54,8.59,8.63,8.97,6.97,5.56,5.79,5.69,5.87,6.19,3.86,0
2022-05-02 20:02:42,524.05,748.35,1.29,5413.27,5.36,62.65,31.75,43.47,93.36,94.1,93.86,81.45,81.47,79.82,126.57,127.52,127.2,122.95,123.16,120.94,0
