time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-02 21:23:00,112436.78,40447.35,0.35,58581.82,9935.24,101.1,92.38,96.74,18755.53,18753.29,18753.19,18724.37,18723.5,18726.88,6748.69,6747.2,6745.56,6736.4,6733.91,6735.59,0
2022-05-02 21:24:00,103463.39,47117.39,0.3,51232.54,11647.42,86.57,94.37,91.25,17256.29,17257.23,17256.56,17229.88,17230.18,17233.25,7858.0,7858.71,7856.61,7848.02,7847.9,7848.16,0
2022-05-02 21:25:00,46061.33,27388.19,0.63,111413.42,2679.37,70.9,97.59,88.54,7679.65,7678.94,7678.58,7674.31,7674.76,7675.09,4567.38,4567.2,4565.99,4562.82,4562.31,4562.49,50
2022-05-02 21:26:00,91391.51,49995.86,0.34,59046.3,9872.9,89.2,98.42,94.35,15255.19,15254.71,15252.54,15208.6,15208.81,15211.66,8380.56,8333.08,8330.37,8316.7,8316.04,8319.12,50
2022-05-02 21:27:00,34822.78,25415.34,0.66,114734.89,0.74,29.48,83.52,54.82,5800.78,5801.34,5800.29,5807.07,5806.36,5806.95,4236.37,4236.82,4234.94,4236.27,4234.76,4236.19,50
2022-05-02 21:28:00,39604.25,19538.75,0.77,132773.86,145.06,22.25,88.07,63.75,6603.41,6602.78,6601.45,6599.25,6598.14,6599.22,3259.78,3259.37,3257.8,3254.54,3253.25,3254.02,50
2022-05-02 21:29:00,52097.41,25956.76,0.67,115885.17,25.67,92.49,99.03,96.81,8683.78,8683.46,8682.83,8682.88,8682.06,8682.39,4328.32,4328.66,4326.94,4324.81,4323.7,4324.33,50
2022-05-02 21:30:00,37053.32,24655.19,0.62,107176.81,63.1,94.8,86.49,89.29,6233.15,6232.12,6231.27,6118.8,6118.96,6119.02,4125.78,4125.22,4124.5,4093.98,4092.35,4093.35,50
2022-05-02 21:31:00,49387.41,31283.83,0.57,99052.9,6.67,93.56,112.0,105.65,8228.76,8229.82,8228.75,8233.45,8233.35,8233.27,5214.47,5215.43,5214.0,5213.89,5212.8,5213.24,50
2022-05-02 21:32:00,73532.67,38310.88,0.52,89093.69,3519.0,86.62,88.97,88.07,12289.04,12287.14,12286.9,12222.32,12223.2,12224.07,6397.46,6396.59,6395.52,6373.84,6373.32,6374.14,50
2022-05-02 21:33:00,54073.08,30473.81,0.63,106136.83,2383.87,62.46,89.71,75.41,9015.28,9013.47,9012.44,9011.15,9010.05,9010.68,5081.86,5081.24,5079.43,5077.98,5076.3,5077.0,50
2022-05-02 21:34:00,51319.25,27779.45,0.65,113509.36,0.85,92.56,99.72,97.27,8552.66,8553.1,8553.07,8554.75,8552.5,8553.16,4631.43,4631.82,4631.1,4629.32,4627.37,4628.4,50
2022-05-02 21:35:00,84653.19,36689.48,0.57,98149.09,4996.04,91.84,85.21,88.24,14143.42,14142.42,14140.85,14075.2,14074.68,14076.62,6129.16,6128.72,6127.24,6102.46,6100.32,6101.59,50
2022-05-02 21:36:00,82693.87,38490.52,0.52,90267.74,5340.32,87.39,100.87,94.88,13789.52,13788.04,13787.34,13775.44,13775.88,13777.65,6419.11,6417.89,6416.7,6412.35,6411.21,6413.26,50
2022-05-02 21:37:00,88984.58,47031.13,0.53,90400.02,11617.19,88.41,95.96,92.63,14881.75,14879.4,14879.83,14779.31,14781.18,14783.11,7851.73,7851.39,7850.05,7825.7,7824.96,7827.3,50
2022-05-02 21:38:00,29842.07,22706.41,0.68,117352.55,6.97,31.93,84.23,63.96,5000.71,5001.06,5000.52,4946.85,4945.97,4946.96,3793.68,3793.3,3792.5,3776.25,3775.25,3775.43,50
2022-05-02 21:39:00,54633.77,29170.48,0.56,98012.52,5629.19,82.45,99.54,94.76,9126.1,9125.7,9124.98,9085.03,9085.24,9086.71,4866.54,4866.13,4864.75,4857.74,4856.69,4858.63,50
2022-05-02 21:40:00,87247.09,32669.86,0.6,102430.22,4234.08,90.89,93.16,92.11,14548.04,14544.7,14544.38,14536.22,14536.7,14537.05,5449.33,5448.54,5447.4,5442.08,5440.58,5441.93,50
2022-05-02 21:41:00,88947.94,36883.11,0.56,96273.37,5939.77,87.28,94.63,91.38,14847.44,14846.15,14845.07,14802.1,14802.66,14804.51,6156.82,6155.65,6153.98,6138.9,6138.26,6139.5,50
2022-05-02 21:42:00,81412.91,38914.1,0.51,87702.78,4863.38,90.1,97.4,94.33,13588.87,13588.37,13585.72,13549.24,13549.63,13551.08,6494.05,6493.35,6491.95,6478.28,6477.57,6478.89,50
2022-05-02 21:43:00,76023.94,37973.84,0.52,88173.26,4859.41,88.62,90.24,89.56,12803.35,12801.99,12657.99,12587.01,12586.18,12587.41,6343.45,6343.14,6341.78,6316.12,6314.02,6315.34,50
2022-05-02 21:44:00,79014.73,37384.28,0.54,93428.91,5289.88,81.39,105.42,94.57,13174.76,13174.35,13173.22,13163.34,13163.54,13165.53,6234.33,6233.65,6231.96,6228.73,6226.62,6228.98,50
2022-05-02 21:45:00,93813.94,46974.61,0.4,69335.57,9794.33,89.05,96.41,93.59,15651.43,15651.06,15651.13,15619.6,15619.52,15621.2,7837.86,7837.78,7836.41,7821.62,7819.72,7821.22,0
2022-05-02 21:46:00,101572.13,38780.62,0.42,70441.82,12052.27,84.85,104.36,93.95,16963.82,16960.76,16958.83,16895.01,16895.72,16897.99,6474.16,6472.52,6470.42,6454.12,6453.93,6455.48,0
2022-05-02 21:47:00,114706.88,39644.68,0.34,58575.76,9074.86,88.21,100.18,93.72,19131.65,19129.69,19129.08,19104.99,19103.82,19107.66,6615.88,6614.13,6611.99,6601.55,6599.63,6601.51,0
2022-05-02 21:48:00,102796.92,47438.38,0.29,50183.88,12089.21,88.52,96.8,93.66,17149.45,17147.38,17146.61,17117.8,17117.87,17117.82,7911.44,7911.47,7909.35,7902.27,7901.65,7902.2,0
2022-05-02 21:49:00,105637.34,43475.13,0.36,61762.9,12000.9,88.59,96.26,92.8,17615.79,17613.0,17613.39,17597.1,17598.17,17599.89,7251.23,7249.15,7248.49,7242.13,7241.9,7242.22,0
2022-05-02 21:50:00,100303.77,41544.43,0.47,79377.03,16366.23,86.18,95.95,91.2,16757.58,16754.18,16754.56,16678.13,16678.06,16681.26,6933.38,6931.44,6929.85,6917.1,6915.38,6917.29,0
2022-05-02 21:51:00,107791.18,34942.66,0.4,68837.48,12582.69,86.12,100.97,93.35,17984.3,17981.76,17978.93,17947.14,17947.38,17951.67,5835.5,5833.21,5831.04,5814.49,5813.2,5815.21,0
2022-05-02 21:52:00,108676.65,43585.18,0.33,54955.43,10354.78,93.85,99.51,96.63,18129.23,18125.69,18127.93,18098.01,18096.91,18098.88,7270.99,7268.8,7268.47,7260.18,7257.7,7259.03,0
2022-05-02 21:53:00,102768.8,46520.65,0.33,53667.32,11716.73,91.55,98.83,95.86,17143.92,17141.46,17142.26,17112.09,17113.58,17115.48,7760.45,7759.2,7757.93,7747.75,7747.22,7748.09,0
2022-05-02 21:54:00,102747.17,42382.64,0.41,70373.49,12058.79,80.32,99.08,90.53,17139.23,17141.29,17142.51,17107.03,17106.94,17110.17,7070.14,7068.87,7067.66,7058.26,7057.7,7060.01,0
2022-05-02 21:55:00,96999.68,38728.12,0.47,79649.36,15154.43,83.37,105.11,93.16,16209.2,16206.42,16204.69,16124.72,16125.41,16129.24,6465.43,6463.93,6460.94,6445.54,6444.66,6447.63,0
2022-05-02 21:56:00,106928.51,33473.09,0.41,70578.83,10679.66,81.09,99.86,89.3,17841.61,17838.51,17837.45,17800.66,17802.98,17807.3,5591.02,5589.3,5587.47,5567.47,5567.41,5570.41,0
2022-05-02 21:57:00,109394.32,44059.45,0.33,55370.31,11253.37,94.95,98.2,96.63,18250.51,18247.31,18246.62,18215.4,18216.14,18218.33,7350.36,7349.09,7347.68,7336.7,7337.09,7338.54,0
2022-05-02 21:58:00,102478.57,41971.08,0.37,63081.96,10206.94,89.47,93.21,91.58,17087.97,17087.18,17085.51,17070.89,17073.38,17073.65,6998.97,6998.63,6996.84,6991.66,6991.69,6993.29,0
