time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-04 11:45:14,5209407.53,0.78,635522.36,15630203.76,19274.63,0.0,8252.2,0.0,0.0,0.0,1267011841,7540669109,7281534640,0,52.84615384615385,27.03,55.8,60.32,201218748416,197279604736,2.0,3149062144,189779259392,3508523008,3508523008,179847168,8110579712,4864,5846383,267822582,6919775965,65456,30281834,1349816,26056708984,0
2022-05-04 11:46:14,5209461.74,0.78,635527.22,15633987.25,19274.66,0.0,8252.2,0.0,0.0,0.0,1267214055,7540909596,7281654570,0,44.30769230769231,10.49,45.8,56.6,201218748416,192936288256,4.1,7492378624,189661593600,1404825600,1404825600,179847168,3884929024,4736,5846383,267829890,6920177624,65456,30281834,1349816,26058626495,0
2022-05-04 11:47:15,5209513.42,0.78,635536.77,15637769.0,19274.66,0.0,8252.2,0.0,0.0,0.0,1267411973,7541141832,7281737948,0,44.33846153846154,4.49,37.65,53.12,201218748416,172112683008,14.5,28315983872,168838123520,1404837888,1404837888,179847168,3884793856,4736,5846383,267830010,6925479268,65456,30281834,1349816,26060239808,0
2022-05-04 11:48:15,5209573.41,0.78,635537.92,15641546.69,19274.9,0.0,8252.2,0.0,0.0,0.0,1267611232,7541374824,7281821555,0,44.33846153846154,2.28,30.98,49.86,201218748416,171273822208,14.9,29155049472,167919624192,1484623872,1484623872,179847168,3964227584,4608,5846383,267880742,6925552973,65456,30281834,1349816,26060726140,0
2022-05-04 11:49:15,5209633.65,0.78,635538.9,15645327.19,19276.09,0.0,8252.22,0.0,0.0,0.0,1267814333,7541609687,7281906594,0,44.276923076923076,1.47,25.52,46.8,201218748416,171273990144,14.9,29154299904,167690129408,1714286592,1714286592,179847168,4194471936,4608,5846383,268054254,6925556725,65456,30281834,1349816,26061050983,0
2022-05-04 11:50:15,5209693.6,0.78,635540.21,15649107.52,19277.4,0.0,8252.24,0.0,0.0,0.0,1268020374,7541846874,7281993612,0,44.30769230769231,1.11,21.04,43.93,201218748416,171275837440,14.9,29152571392,167498059776,1908449280,1908449280,179847168,4388270080,4352,5846383,268270806,6925674611,65456,30281834,1349816,26061488357,0
2022-05-04 11:51:15,5209752.59,0.78,635542.43,15652887.67,19278.97,0.0,8252.26,0.0,0.0,0.0,1268224946,7542082233,7282079710,0,44.33846153846154,1.04,17.4,41.24,201218748416,171275390976,14.9,29152694272,167267876864,2138202112,2138202112,179847168,4618330112,4480,5846383,268489714,6925918459,65456,30281834,1349816,26062078307,0
2022-05-04 11:52:15,5209810.92,0.78,635545.25,15656667.56,19280.83,0.0,8252.28,0.0,0.0,0.0,1268432529,7542319285,7282165863,0,44.66153846153846,1.02,14.41,38.72,201218748416,171277529088,14.9,29150228480,167040868352,2367348736,2367348736,179847168,4847804416,4352,5846383,268721134,6926162188,65456,30281834,1349816,26062760474,0
2022-05-04 11:53:15,5209869.66,0.78,635547.75,15660448.14,19281.9,0.0,8252.31,0.0,0.0,0.0,1268635529,7542554115,7282251003,0,44.38461538461539,1.01,11.97,36.36,201218748416,171279400960,14.9,29149192192,166879371264,2530889728,2530889728,179847168,5010337792,4352,5846383,268883758,6926302021,65456,30281834,1349816,26063358301,0
2022-05-04 11:54:15,5209918.21,0.78,635560.41,15664229.28,19282.17,0.0,8252.31,0.0,0.0,0.0,1268836792,7542790519,7282338185,0,44.4,1.0,9.97,34.15,201218748416,196462452736,2.4,3966210048,192058245120,2446774272,2446774272,179847168,5014446080,4224,5846383,268936102,6933068613,65456,30281834,1349816,26073458543,0
