time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-04 12:16:00,98088.73,38974.6,0.52,89671.92,13787.89,81.91,88.66,85.31,16381.49,16379.33,16380.53,16315.31,16313.49,16318.57,6506.19,6505.52,6505.45,6485.81,6484.01,6487.62,0
2022-05-04 12:17:00,109285.39,35236.75,0.4,66723.78,11586.7,81.28,100.46,90.37,18231.8,18230.66,18230.41,18196.6,18196.52,18199.4,5882.2,5881.79,5881.64,5863.21,5863.09,5864.81,0
2022-05-04 12:18:00,109838.83,40332.03,0.34,56056.68,9806.05,99.58,104.49,102.12,18319.67,18320.13,18318.78,18294.1,18292.45,18293.7,6727.99,6727.49,6726.31,6717.2,6716.04,6717.0,30
2022-05-04 12:19:00,116.38,83.95,0.71,124793.83,7.46,20.19,26.03,21.85,20.19,20.85,19.0,18.91,18.77,18.67,14.78,15.51,13.62,13.73,13.29,13.03,30
2022-05-04 12:20:00,102.84,92.33,0.71,124824.27,0.78,22.59,29.53,24.45,18.03,19.41,16.91,15.61,16.23,16.65,16.2,17.77,14.99,14.17,14.47,14.72,30
2022-05-04 12:21:00,21060.8,6361.46,0.7,122431.25,3233.04,64.08,105.97,82.91,3514.0,3513.06,3512.7,3507.01,3507.25,3506.78,1062.53,1062.68,1061.4,1058.5,1058.15,1058.2,30
2022-05-04 12:22:00,12292.62,3223.41,0.72,127201.44,1686.02,64.5,104.33,77.47,2051.32,2051.22,2051.37,2045.92,2045.81,2046.99,539.56,539.51,539.45,535.38,534.53,534.99,30
2022-05-04 12:23:00,139.77,94.8,0.71,123152.56,24.61,30.78,20.78,26.71,24.22,24.7,22.55,22.06,23.56,22.67,16.74,17.36,14.96,14.85,15.96,14.92,30
2022-05-04 12:24:00,108.43,98.93,0.71,123300.71,0.91,21.17,22.26,21.45,18.67,20.29,17.55,16.64,17.99,17.28,16.97,18.73,15.96,15.38,16.41,15.47,30
2022-05-04 12:25:00,14953.46,3929.79,0.72,125647.06,2166.65,72.05,85.52,78.39,2495.68,2495.19,2494.03,2489.62,2489.49,2489.44,656.95,657.33,655.83,653.7,653.04,652.95,30
2022-05-04 12:26:00,14932.16,3950.69,0.74,127844.44,2696.91,76.51,66.85,72.85,2492.44,2492.21,2491.19,2485.78,2485.37,2485.17,660.85,661.73,660.09,656.66,655.66,655.71,30
2022-05-04 12:27:00,4606.5,1595.42,0.71,123127.75,211.22,74.64,50.08,58.03,771.73,770.74,768.26,765.79,764.62,765.35,267.93,268.27,265.83,264.66,263.72,265.03,30
2022-05-04 12:28:00,14855.05,3897.97,0.72,125481.33,2385.05,65.45,92.99,73.18,2479.28,2478.71,2477.78,2473.3,2472.82,2473.16,651.77,652.03,650.72,648.33,647.23,647.89,30
2022-05-04 12:29:00,14523.21,3779.38,0.72,125993.23,2149.11,71.88,60.17,68.4,2424.26,2423.04,2422.53,2418.18,2418.02,2417.19,632.17,631.78,631.03,628.83,628.12,627.44,30
2022-05-04 12:30:00,378.24,162.86,0.71,123324.35,119.37,24.23,38.59,28.49,64.49,64.68,62.49,61.9,62.81,61.88,28.34,28.62,26.33,26.47,27.08,26.01,30
2022-05-04 12:31:00,393.9,155.26,0.71,125112.28,102.7,19.22,51.03,28.0,67.19,67.93,65.59,64.62,64.12,64.45,27.07,28.04,25.55,25.38,24.46,24.76,30
2022-05-04 12:32:00,76794.57,33518.11,0.66,113269.55,13112.63,87.17,95.88,91.47,12832.1,12828.97,12830.91,12766.77,12768.17,12767.63,5593.13,5592.16,5591.72,5580.3,5580.22,5580.59,30
2022-05-04 12:33:00,50916.59,21143.74,0.69,121673.79,8501.3,78.51,93.62,85.06,8510.05,8508.2,8509.85,8463.12,8462.5,8462.86,3529.58,3529.18,3529.06,3519.23,3518.03,3518.67,30
2022-05-04 12:34:00,164.54,102.2,0.71,123333.29,33.54,25.47,36.77,28.85,28.3,29.05,27.0,26.57,26.99,26.63,17.72,18.7,16.45,16.63,16.53,16.17,30
2022-05-04 12:35:00,103.12,89.25,0.71,124762.29,0.57,23.95,26.64,24.86,18.44,19.44,15.79,14.66,19.21,15.59,16.07,17.14,13.24,12.74,16.88,13.19,30
2022-05-04 12:36:00,5079.93,1181.64,0.72,124208.18,1153.38,51.34,75.58,57.52,850.32,850.08,848.27,844.5,843.38,843.37,199.35,199.41,197.85,196.0,194.56,194.46,30
2022-05-04 12:37:00,77978.13,33854.66,0.67,116286.86,13260.85,85.85,91.86,88.83,13029.23,13027.39,13029.28,12963.7,12964.02,12964.52,5649.35,5648.82,5648.38,5636.27,5635.77,5636.07,30
2022-05-04 12:38:00,1441.02,333.82,0.71,125236.37,435.94,27.4,61.68,33.75,242.22,243.19,240.56,238.74,237.57,238.74,57.1,58.22,55.52,55.14,53.5,54.35,30
2022-05-04 12:39:00,102031.11,46662.3,0.31,54020.52,9393.29,87.36,97.18,93.45,17013.96,17014.75,17015.89,16995.93,16994.36,16996.22,7780.08,7780.7,7780.59,7773.77,7772.54,7774.61,0
2022-05-04 12:40:00,105734.64,43297.38,0.4,67249.05,11929.63,94.95,97.99,96.73,17635.37,17634.04,17634.75,17608.98,17609.19,17612.29,7222.66,7222.37,7220.72,7210.0,7209.52,7212.11,0
2022-05-04 12:41:00,97161.47,39689.5,0.5,86872.12,14520.59,86.97,94.35,90.43,16234.36,16231.58,16233.26,16151.69,16154.88,16155.7,6624.93,6623.8,6624.62,6604.03,6605.39,6606.73,0
2022-05-04 12:42:00,106843.32,34692.73,0.42,72242.58,11903.75,86.82,93.3,90.03,17823.6,17821.96,17823.74,17790.86,17790.58,17792.58,5790.7,5790.31,5791.59,5772.77,5773.49,5773.86,0
2022-05-04 12:43:00,107141.75,40906.4,0.33,55850.48,9023.94,95.25,96.57,95.93,17870.08,17869.84,17870.59,17844.28,17842.66,17844.3,6823.27,6822.79,6822.69,6813.05,6811.39,6813.19,0
2022-05-04 12:44:00,100740.76,45647.12,0.32,52678.77,11392.0,95.98,101.31,99.17,16805.11,16804.19,16804.59,16775.88,16774.46,16776.53,7612.25,7612.49,7610.96,7603.39,7602.97,7605.07,0
2022-05-04 12:45:00,105211.77,42002.11,0.43,73128.29,14008.94,87.87,101.08,94.41,17553.42,17551.86,17552.12,17518.19,17518.14,17518.04,7006.19,7005.47,7004.35,6995.16,6995.24,6995.71,0
2022-05-04 12:46:00,101351.23,41014.2,0.49,82947.66,17015.36,85.29,102.06,93.33,16929.42,16927.5,16928.15,16855.96,16853.83,16856.38,6844.08,6842.86,6842.89,6828.48,6826.83,6829.06,0
2022-05-04 12:47:00,105991.59,34175.45,0.43,72135.89,11666.2,86.06,99.58,92.5,17680.79,17679.9,17680.94,17649.65,17649.23,17651.07,5704.75,5704.59,5704.68,5686.27,5686.51,5688.65,0
