time,pid,status,create_time,puids_real,puids_effective,puids_saved,pgids_real,pgids_effective,pgids_saved,usr_cpu,kernel_cpu,children_user,children_system,iowait,cpu_affinity,mem_percent,rss,vms,shared,text,lib,data,dirty_pages,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars,num_threads,voluntary,involuntary,pname,faultFlag
2022-05-04 12:57:45,26170,running,1651640260.68,0,0,0,0,0,0,3.64,0.62,0.0,0.0,0.0,-1,1.5018807580256766,3022065664,3190460416,51642368,81920,0,2968182784,0,81,22,0,4096,98472,1624,1,0,5,blockMesh,0
2022-05-04 12:58:45,26170,running,1651640260.68,0,0,0,0,0,0,63.0,1.3,0.0,0.0,0.0,-1,2.3041863387474137,4636454912,4804636672,51642368,81920,0,4582359040,0,81,22,0,4096,98472,1624,1,25,22,blockMesh,0
2022-05-04 12:59:45,26170,running,1651640260.68,0,0,0,0,0,0,114.15,10.17,0.0,0.0,0.0,-1,12.929026455435084,26015625216,26183847936,51724288,81920,0,25961570304,0,81,885,0,7049216,98472,7038778,1,61,39,blockMesh,0
2022-05-04 13:00:45,26170,running,1651640260.68,0,0,0,0,0,0,174.14,10.23,0.0,0.0,0.0,-1,12.929026455435084,26015625216,26183847936,51724288,81920,0,25961570304,0,81,11697,0,95621120,98472,95609141,1,71,298,blockMesh,0
2022-05-04 13:01:45,26170,running,1651640260.68,0,0,0,0,0,0,233.99,10.44,0.0,0.0,0.0,-1,12.929026455435084,26015625216,26183847936,51724288,81920,0,25961570304,0,81,41311,0,338219008,98472,338206456,1,80,2837,blockMesh,0
2022-05-04 13:02:45,26170,running,1651640260.68,0,0,0,0,0,0,293.75,10.7,0.0,0.0,0.0,-1,12.929081416516427,26015735808,26183847936,51736576,81920,0,25961570304,0,81,66213,0,542216192,98472,542203640,1,135,5493,blockMesh,0
2022-05-04 13:03:45,26170,running,1651640260.68,0,0,0,0,0,0,353.46,10.99,0.0,0.0,0.0,-1,12.929081416516427,26015735808,26183847936,51736576,81920,0,25961570304,0,81,95110,0,778940416,98472,778927864,1,196,8603,blockMesh,0
2022-05-04 13:04:45,26170,running,1651640260.68,0,0,0,0,0,0,413.14,11.32,0.0,0.0,0.01,-1,12.929081416516427,26015735808,26183847936,51736576,81920,0,25961570304,0,81,123977,0,1015418880,98472,1015406328,1,258,11733,blockMesh,0
2022-05-04 13:05:45,26206,running,1651640743.81,0,0,0,0,0,0,1.62,0.02,0.0,0.0,0.0,-1,0.0482517582304372,97091584,1098043392,55390208,2281472,0,842125312,0,530,8,0,4096,3712413,1212,1,0,4,decomposePar,0
2022-05-04 13:06:45,26206,running,1651640743.81,0,0,0,0,0,0,60.75,0.96,0.0,0.0,0.0,-1,1.6868512594973004,3394260992,3591983104,55418880,2281472,0,3336065024,0,34064,8,0,4096,278413208,1212,1,1,28,decomposePar,0
2022-05-04 13:07:45,26206,running,1651640743.81,0,0,0,0,0,0,119.88,1.86,0.0,0.0,0.0,-1,2.6813577772810473,5395394560,5593280512,55418880,2281472,0,5337362432,0,91474,8,0,4096,748715928,1212,1,1,105,decomposePar,0
2022-05-04 13:08:45,26206,running,1651640743.81,0,0,0,0,0,0,178.48,3.29,0.0,0.0,0.0,-1,4.892083814997662,9843789824,13272489984,55681024,2281472,0,13016571904,0,138061,10,0,8192,1130294987,1296,1,1,182,decomposePar,0
2022-05-04 13:09:45,26206,running,1651640743.81,0,0,0,0,0,0,235.04,6.79,0.0,0.0,0.0,-1,8.289189576667564,16679403520,16876544000,55955456,2281472,0,16620625920,0,138141,5796,0,47157248,1130368767,47054903,1,3,237,decomposePar,0
2022-05-04 13:10:45,26206,running,1651640743.81,0,0,0,0,0,0,293.32,8.46,0.0,0.0,0.0,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,138349,23347,0,190234624,1130560595,189862991,1,9,262,decomposePar,0
2022-05-04 13:11:46,26206,running,1651640743.81,0,0,0,0,0,0,351.71,10.13,0.0,0.0,0.0,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,138557,40844,0,332869632,1130752423,332240618,1,17,437,decomposePar,0
2022-05-04 13:12:46,26206,running,1651640743.81,0,0,0,0,0,0,410.03,11.86,0.0,0.0,0.0,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,138765,58355,0,475611136,1130944251,474726247,1,22,473,decomposePar,0
2022-05-04 13:13:46,26206,running,1651640743.81,0,0,0,0,0,0,468.27,13.68,0.0,0.0,0.0,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,138957,75650,0,616599552,1131121323,615446371,1,29,974,decomposePar,0
2022-05-04 13:14:46,26206,running,1651640743.81,0,0,0,0,0,0,525.81,16.2,0.0,0.0,0.0,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,139165,92524,0,754208768,1131313151,752801386,1,35,1734,decomposePar,0
2022-05-04 13:15:46,26206,running,1651640743.81,0,0,0,0,0,0,583.78,18.28,0.0,0.0,0.0,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,139373,109854,0,895430656,1131504979,893743960,1,41,2919,decomposePar,0
2022-05-04 13:16:46,26206,running,1651640743.81,0,0,0,0,0,0,641.95,20.13,0.0,0.0,0.03,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,139581,127452,0,1038872576,1131696807,1036919417,1,56,3833,decomposePar,0
2022-05-04 13:17:46,26206,running,1651640743.81,0,0,0,0,0,0,700.18,21.92,0.0,0.0,0.06,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,139789,145077,0,1182535680,1131888635,1180317539,1,69,4566,decomposePar,0
2022-05-04 13:18:46,26206,running,1651640743.81,0,0,0,0,0,0,758.64,23.51,0.0,0.0,0.06,-1,8.289201790241197,16679428096,16876544000,55955456,2281472,0,16620625920,0,139981,162524,0,1324748800,1132065707,1322259817,1,84,5316,decomposePar,0
2022-05-04 13:19:46,26206,running,1651640743.81,0,0,0,0,0,0,817.36,24.83,0.0,0.0,0.06,-1,7.657969699793006,15409270784,15606423552,56188928,2281472,0,15350505472,0,158087,173641,0,1415241728,1276492625,1412587740,1,103,5379,decomposePar,0
2022-05-04 13:20:46,26206,running,1651640743.81,0,0,0,0,0,0,876.61,25.64,0.0,0.0,0.06,-1,7.657977842175429,15409287168,15606386688,56188928,2281472,0,15350468608,0,208955,173680,0,1415254016,1684726285,1412588871,1,103,5401,decomposePar,0
2022-05-04 13:21:46,26206,running,1651640743.81,0,0,0,0,0,0,935.97,26.3,0.0,0.0,0.06,-1,7.659732525587285,15412817920,15610929152,56188928,2281472,0,15355011072,0,260333,173719,0,1415266304,2097007983,1412590002,1,127,5420,decomposePar,0
2022-05-04 13:22:46,26206,running,1651640743.81,0,0,0,0,0,0,993.82,28.51,0.0,0.0,0.06,-1,2.6142095850456677,5260279808,5453840384,59441152,2281472,0,5197922304,0,307644,173756,0,1415270400,2476613156,1412591080,1,135,5449,decomposePar,0
2022-05-04 13:23:46,26329,running,1651641768.31,0,0,0,0,0,0,41.94,16.12,0.0,0.0,0.0,63,0.17311722826137071,348344320,1122344960,61452288,331776,0,456065024,0,3234,3678,0,12288,22186158,11369840,3,1675,71,snappyHexMesh,0
2022-05-04 13:23:46,26328,running,1651641768.31,0,0,0,0,0,0,53.92,4.15,0.0,0.0,0.0,62,0.18062654044969684,363454464,1137590272,61394944,331776,0,471310336,0,4000,3676,0,4096,26004582,15218256,3,1691,78,snappyHexMesh,0
2022-05-04 13:23:46,26327,running,1651641768.31,0,0,0,0,0,0,53.51,4.56,0.0,0.0,0.0,60,0.1803965181462865,362991616,1137016832,61435904,331776,0,470736896,0,3525,2821,0,4096,23232966,12075183,3,1680,80,snappyHexMesh,0
