time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-05 18:11:34,45.83,46.88,0.13,274.46,0.0,15.49,30.99,19.15,7.71,8.28,7.89,7.29,9.1,5.56,7.84,8.63,8.11,7.23,9.89,5.18,0
2022-05-05 18:12:34,73.49,72.81,1.91,7675.3,4.37,12.25,51.81,18.92,12.74,12.75,12.33,12.22,12.74,10.7,12.48,12.49,11.96,12.48,12.97,10.43,0
2022-05-05 18:13:34,7860.05,841.39,0.58,2754.18,0.0,94.09,71.85,93.12,1312.45,1312.6,1311.87,1307.57,1309.69,1305.88,140.61,140.83,140.1,139.57,142.71,137.57,0
2022-05-05 18:14:34,49.03,37.68,1.68,6802.1,0.0,13.4,47.64,18.24,8.42,8.79,7.8,8.3,8.73,6.99,6.53,6.99,5.86,6.56,7.01,4.73,0
2022-05-05 18:15:34,60.66,44.93,1.45,6004.77,0.0,13.58,108.76,28.69,10.28,10.41,10.02,10.53,10.5,8.92,7.69,7.84,7.43,7.99,8.04,5.93,0
2022-05-05 18:16:34,178.63,63.13,1.44,6267.16,0.0,18.01,44.89,22.81,30.38,31.57,29.21,28.99,30.32,28.17,11.28,12.04,10.07,9.74,11.55,8.45,0
2022-05-05 18:17:34,65.5,43.29,1.6,6643.18,0.0,16.07,50.85,22.38,10.96,11.45,10.8,11.25,11.4,9.64,7.27,7.84,7.09,7.67,7.9,5.52,0
2022-05-05 18:18:34,75.02,50.18,1.56,6584.23,0.0,16.19,39.17,20.23,12.8,13.26,12.54,12.48,13.14,10.8,8.63,9.19,8.42,8.37,9.39,6.18,0
2022-05-05 18:19:34,2413.15,1629.42,1.24,5929.63,0.0,49.16,26.27,46.26,402.13,402.59,402.09,402.08,403.98,400.29,271.48,272.22,271.54,271.29,273.82,269.06,0
2022-05-05 18:20:34,76.3,95.19,1.78,8524.44,0.0,22.83,38.71,26.56,12.94,13.78,12.58,11.92,14.17,10.93,15.75,16.85,15.54,15.07,18.24,13.75,0
2022-05-05 18:21:34,71.77,89.11,2.11,8565.7,0.0,20.44,51.95,25.96,12.68,13.02,12.2,11.48,12.08,10.31,15.37,15.7,14.78,14.79,15.39,13.08,0
2022-05-05 18:22:34,44.94,52.29,2.33,9100.7,0.0,19.91,52.96,24.4,7.8,8.33,7.48,7.63,7.4,6.3,8.87,9.51,8.47,9.2,8.85,7.39,0
2022-05-05 18:23:34,66.11,46.08,1.29,5186.7,0.0,13.53,44.88,19.01,11.38,11.76,11.29,11.21,11.21,9.26,8.07,8.46,7.92,7.95,8.14,5.53,0
2022-05-05 18:24:34,60.01,43.92,1.43,5849.45,0.0,14.4,47.31,19.14,10.35,10.55,9.78,10.06,10.56,8.71,7.6,7.88,6.98,7.59,8.14,5.74,0
