time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-06 07:09:00,106768.01,42874.09,0.46,76814.31,14103.7,93.29,96.48,94.95,17811.25,17810.02,17809.01,17777.42,17778.32,17782.0,7151.45,7151.32,7149.78,7140.22,7139.46,7141.86,0
2022-05-06 07:10:00,66288.78,21973.18,0.61,103995.76,6752.09,90.09,98.69,94.37,11089.42,11087.26,11086.29,11080.28,11079.84,10865.69,3665.49,3664.97,3663.13,3660.22,3659.59,3659.79,80
2022-05-06 07:11:00,80922.89,37202.31,0.54,91045.2,10350.06,86.03,99.68,94.02,13498.97,13497.54,13497.72,13476.81,13475.02,13476.84,6205.6,6205.46,6204.07,6197.39,6194.34,6195.45,80
2022-05-06 07:12:00,12882.6,3543.19,0.71,122998.4,2302.85,85.16,74.89,81.13,2149.25,2149.99,2147.74,2146.22,2144.07,2145.33,591.88,593.28,590.71,590.54,587.6,589.18,80
2022-05-06 07:13:00,3155.39,741.15,0.7,121785.65,1104.19,34.64,73.92,44.42,528.18,529.05,528.14,524.83,521.95,523.24,124.9,126.22,124.97,123.51,120.02,121.53,80
2022-05-06 07:14:00,90.51,75.79,0.7,120855.09,414.99,26.74,32.44,27.98,15.22,16.31,14.86,16.06,12.87,15.19,12.66,13.93,12.36,13.96,10.31,12.58,80
2022-05-06 07:15:00,100.36,89.13,0.7,120937.51,406.11,23.97,27.76,25.0,17.48,18.03,16.49,16.02,14.23,18.11,15.49,16.26,14.56,14.54,12.17,16.11,80
2022-05-06 07:16:00,70580.67,28323.1,0.58,97129.34,6968.56,88.58,108.37,99.4,11767.67,11765.95,11766.07,11760.13,11759.6,11761.25,4723.43,4722.83,4721.58,4718.99,4717.52,4718.76,80
2022-05-06 07:17:00,68248.54,31870.97,0.55,95439.14,8694.34,85.77,97.74,92.66,11381.83,11381.39,11382.31,11366.92,11366.8,11369.28,5314.43,5314.95,5314.74,5309.01,5308.02,5309.82,80
2022-05-06 07:18:00,86270.98,37688.93,0.69,118438.81,14434.64,84.09,92.75,88.74,14407.8,14408.51,14408.65,14347.69,14349.25,14349.08,6287.6,6287.77,6286.81,6275.4,6275.33,6276.01,80
2022-05-06 07:19:00,78568.26,31491.86,0.57,96194.77,7380.99,83.08,97.03,90.86,13099.6,13098.08,13098.43,13089.48,13090.24,13092.44,5252.77,5251.5,5251.5,5245.73,5244.82,5245.55,80
2022-05-06 07:20:00,68136.39,21253.19,0.6,105755.04,6896.99,88.33,106.1,96.42,11360.24,11358.77,11359.41,11351.52,11351.88,11354.56,3545.82,3544.94,3544.35,3539.21,3538.7,3540.18,80
2022-05-06 07:21:00,9346.9,2248.95,0.71,124418.47,1940.72,66.91,75.32,69.37,1559.42,1560.53,1560.13,1555.87,1554.48,1556.45,376.33,377.15,376.24,374.04,371.65,373.55,80
2022-05-06 07:22:00,76493.17,25938.17,0.6,103394.77,6606.39,91.65,86.76,89.35,12753.02,12751.38,12752.23,12744.27,12745.16,12747.11,4326.53,4325.46,4324.82,4320.32,4320.11,4320.93,80
2022-05-06 07:23:00,114.13,92.16,0.69,120691.49,430.53,24.65,22.14,24.12,20.07,20.36,18.86,19.16,17.17,18.52,16.43,16.74,15.15,15.85,13.37,14.62,80
2022-05-06 07:24:00,89812.52,36581.02,0.59,98372.21,9530.36,87.5,94.1,90.99,14980.53,14979.4,14979.73,14956.96,14957.34,14958.57,6102.35,6101.74,6100.49,6093.12,6091.36,6091.96,80
2022-05-06 07:25:00,139.26,105.12,0.7,120411.62,415.43,23.13,32.39,25.4,23.93,25.03,23.57,23.28,20.02,23.43,18.14,19.32,17.71,17.95,14.31,17.69,80
2022-05-06 07:26:00,78270.2,25518.11,0.6,102456.88,7830.14,89.12,100.14,94.68,13050.48,13049.57,13049.21,13039.42,13039.55,13041.97,4257.04,4256.81,4255.42,4249.82,4249.05,4249.97,80
2022-05-06 07:27:00,87164.71,37767.13,0.58,99487.26,9473.42,88.54,91.36,90.0,14539.75,14538.85,14538.89,14515.51,14515.0,14516.71,6299.82,6299.22,6298.15,6290.69,6289.36,6289.89,80
2022-05-06 07:28:00,91226.81,42700.68,0.51,85713.86,11316.77,86.0,98.35,93.27,15220.09,15218.99,15217.62,15189.96,15188.55,15191.6,7123.62,7123.11,7120.53,7112.07,7109.48,7111.86,80
