time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-05 19:52:00,8324172.27,0.86,1088333.99,19445447.26,31689.91,0.0,13716.53,0.0,0.0,0.0,1749886481,11938472143,11705387006,0,2774.661538461539,61.05,41.06,27.16,201218748416,187576307712,6.8,12845043712,181295194112,2339377152,2339377152,186499072,6892011520,9984,5847363,443540158,11260037551,66336,30281834,1349816,40494788133,0
2022-05-05 19:53:00,8327742.12,0.86,1088600.38,19445447.27,31690.03,0.0,13723.92,0.0,0.0,0.0,1749978708,11943154682,11710255427,0,2819.7846153846153,64.59,45.72,29.63,201218748416,171484545024,14.8,28930310144,165203247104,2204467200,2204467200,186499072,6898692096,10368,5847363,443725342,11268607946,66336,30281834,1349816,40507346049,0
2022-05-05 19:54:00,8331402.64,0.86,1088776.41,19445447.28,31690.03,0.0,13731.14,0.0,0.0,0.0,1750052698,11947771182,11715094838,0,2819.984615384616,66.19,49.6,31.97,201218748416,172069728256,14.5,28345122816,165788155904,2204463104,2204463104,186499072,6898970624,10368,5847363,443725662,11272203875,66336,30281834,1349816,40524035515,0
2022-05-05 19:55:00,8335065.52,0.86,1088949.89,19445447.28,31690.03,0.0,13738.55,0.0,0.0,0.0,1750126813,11952378388,11719943310,0,2810.8461538461543,66.74,52.77,34.16,201218748416,172246495232,14.4,28168359936,165964763136,2204467200,2204467200,186499072,6899126272,10624,5847363,443726046,11275983488,66336,30281834,1349816,40542034230,0
2022-05-05 19:56:00,8337936.27,0.86,1089921.11,19445447.28,31690.03,0.0,13740.35,0.0,0.0,0.0,1750281833,11956639442,11724440662,0,2969.4615384615386,79.08,58.77,37.39,201218748416,171094114304,15.0,29320740864,164812242944,2204475392,2204475392,186499072,6899265536,10752,5847363,443726490,11278330766,66336,30281834,1349816,40548882680,80
2022-05-05 19:57:00,8340719.09,0.86,1090980.8,19445447.29,31690.03,0.0,13741.62,0.0,0.0,0.0,1750441347,11960893332,11728956689,0,2979.9692307692308,84.52,64.05,40.54,201218748416,171132739584,15.0,29282115584,164850634752,2204491776,2204491776,186499072,6899499008,10752,5847363,443726906,11280062268,66336,30281834,1349816,40554799065,80
2022-05-05 19:58:00,8343536.92,0.86,1092005.25,19445447.29,31690.03,0.0,13743.11,0.0,0.0,0.0,1750601596,11965148485,11733504125,0,2894.3076923076924,86.24,68.25,43.46,201218748416,172008128512,14.5,28406726656,165725941760,2204495872,2204495872,186499072,6899580928,10624,5847363,443727154,11282329051,66336,30281834,1349816,40562828207,80
2022-05-05 19:59:00,8346368.93,0.86,1093015.48,19445447.29,31690.03,0.0,13744.64,0.0,0.0,0.0,1750762666,11969397881,11738022207,0,2902.5846153846155,86.86,71.72,46.2,201218748416,171676033024,14.7,28738822144,165393674240,2204499968,2204499968,186499072,6899752960,10752,5847363,443727878,11284579312,66336,30281834,1349816,40569844400,80
2022-05-05 20:00:00,8349177.52,0.86,1094049.3,19445447.29,31690.03,0.0,13746.02,0.0,0.0,0.0,1750925478,11973661311,11742569394,0,2929.492307692308,87.25,74.58,48.78,201218748416,171078017024,15.0,29336838144,164795572224,2204495872,2204495872,186499072,6899838976,10752,5847363,443728966,11286716737,66336,30281834,1349816,40575771239,80
2022-05-05 20:01:00,8352015.84,0.86,1095053.22,19445447.29,31690.03,0.0,13747.55,0.0,0.0,0.0,1751086412,11977925441,11747102400,0,2989.630769230769,87.19,76.88,51.19,201218748416,171030876160,15.0,29384007680,164748308480,2204491776,2204491776,186499072,6899933184,11008,5847363,443729602,11289103540,66336,30281834,1349816,40583865729,80
