time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-05-05 23:44:55,8701099.59,0.86,1133386.69,19913141.98,32780.4,0.0,14416.17,0.0,0.0,0.0,1800768558,12460429942,12232478933,0,51.8,57.37,64.86,60.53,201218748416,197267062784,2.0,3161636864,189728448512,3404713984,3404713984,186527744,8142135296,4736,5847363,459964058,11764111819,66411,30281834,1349816,42334936199,0
2022-05-05 23:45:55,8701153.91,0.86,1133391.41,19916923.09,32782.69,0.0,14416.18,0.0,0.0,0.0,1800981227,12460676470,12232604458,0,44.55384615384615,21.67,53.22,56.8,201218748416,192926830592,4.1,7501869056,189604450304,1301020672,1301020672,186527744,3925901312,4352,5847363,460273014,11764513414,66411,30281834,1349816,42336833701,0
2022-05-05 23:46:55,8701205.64,0.86,1133400.83,19920704.86,32782.69,0.0,14416.18,0.0,0.0,0.0,1801179204,12460908264,12232686881,0,44.30769230769231,8.59,43.72,53.31,201218748416,172098932736,14.5,28329766912,168776720384,1301032960,1301032960,186527744,3925733376,4480,5847363,460273190,11769806685,66411,30281834,1349816,42338438616,0
2022-05-05 23:47:55,8701265.67,0.86,1133402.05,19924486.13,32782.88,0.0,14416.18,0.0,0.0,0.0,1801379057,12461141739,12232770137,0,44.323076923076925,3.79,35.94,50.04,201218748416,171257815040,14.9,29171048448,167856132096,1380511744,1380511744,186527744,4005040128,4224,5847363,460337626,11769897465,66411,30281834,1349816,42338924360,0
2022-05-05 23:48:55,8701325.91,0.86,1133403.01,19928266.74,32783.95,0.0,14416.2,0.0,0.0,0.0,1801583005,12461377236,12232855954,0,44.292307692307695,2.02,29.58,46.97,201218748416,171257184256,14.9,29171351552,167626354688,1609658368,1609658368,186527744,4234514432,4224,5847363,460555642,11769901197,66411,30281834,1349816,42339249182,0
2022-05-05 23:49:55,8701386.11,0.86,1133404.02,19932047.62,32784.74,0.0,14416.23,0.0,0.0,0.0,1801786826,12461613039,12232941110,0,44.30769230769231,1.38,24.38,44.09,201218748416,171257511936,14.9,29170532352,167428501504,1807839232,1807839232,186527744,4433186816,4096,5847363,460760402,11770019125,66411,30281834,1349816,42339574057,0
2022-05-05 23:50:55,8701446.16,0.86,1133405.19,19935828.31,32785.66,0.0,14416.24,0.0,0.0,0.0,1801991315,12461848993,12233027660,0,44.38461538461539,1.14,20.13,41.39,201218748416,171259949056,14.9,29168529408,167195492352,2043383808,2043383808,186527744,4668198912,3968,5847363,460973522,11770270017,66411,30281834,1349816,42339899989,0
2022-05-05 23:51:55,8701506.2,0.86,1133406.33,19939608.85,32786.74,0.0,14416.24,0.0,0.0,0.0,1802195043,12462084012,12233113052,0,44.353846153846156,1.09,16.66,38.87,201218748416,171261747200,14.9,29167374336,166961213440,2279456768,2279456768,186527744,4903632896,3840,5847363,461151478,11770519319,66411,30281834,1349816,42340224856,0
2022-05-05 23:52:55,8701565.43,0.86,1133408.23,19943389.53,32787.78,0.0,14416.26,0.0,0.0,0.0,1802397992,12462318517,12233198041,0,44.63076923076923,1.07,13.82,36.51,201218748416,171272077312,14.9,29157330944,166820327424,2430672896,2430672896,186527744,5054562304,3712,5847363,461350270,11773004977,66411,30281834,1349816,42340552195,0
2022-05-05 23:53:55,8701622.98,0.86,1133411.95,19947170.7,32787.86,0.0,14416.26,0.0,0.0,0.0,1802597836,12462554914,12233286325,0,44.323076923076925,1.02,11.49,34.28,201218748416,194314190848,3.4,6114508800,189860372480,2240028672,2240028672,186531840,5057335296,3840,5847367,461381506,11775216705,66411,30281834,1349816,42347208615,0
