time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-06 00:46:16,59.01,57.51,0.12,234.77,0.0,14.19,32.37,18.36,9.81,10.29,10.1,9.6,11.42,7.79,9.46,10.12,9.86,9.18,11.9,6.99,0
2022-05-06 00:47:16,108.38,98.91,1.71,7725.48,4.42,29.0,51.45,34.58,18.53,19.17,18.71,17.38,18.69,15.9,16.72,17.46,16.9,15.92,17.79,14.12,0
2022-05-06 00:48:16,6676.49,1127.63,0.84,4003.77,0.0,94.49,24.69,78.49,1120.55,1120.77,1120.93,1104.6,1106.65,1102.99,190.27,190.62,190.73,185.04,188.08,182.89,0
2022-05-06 00:49:16,60.68,44.92,1.7,6801.15,0.0,31.31,61.93,36.91,10.04,10.45,10.39,10.19,10.41,9.19,7.32,8.01,7.73,7.62,7.93,6.31,0
2022-05-06 00:50:16,66.76,43.43,1.45,5768.52,0.0,30.85,65.9,36.5,10.92,11.47,11.51,11.55,11.2,10.11,6.86,7.7,7.7,7.81,7.45,5.92,0
2022-05-06 00:51:16,95.68,71.64,1.42,6464.65,0.0,32.62,45.99,35.62,16.11,16.76,16.65,15.76,16.6,13.8,11.97,12.81,12.7,11.71,13.1,9.35,0
2022-05-06 00:52:16,86.27,63.07,1.46,6556.05,0.0,14.61,57.84,24.27,14.63,14.82,14.48,13.97,15.65,12.73,10.7,11.09,10.57,10.03,12.32,8.36,0
2022-05-06 00:53:16,96.7,62.16,1.44,6525.73,0.0,23.64,49.76,30.28,16.5,16.81,16.16,15.43,17.43,14.36,10.51,11.11,10.27,9.71,12.33,8.23,0
2022-05-06 00:54:16,1391.08,2227.73,0.5,2344.88,0.0,88.06,91.93,88.88,232.53,233.04,232.87,231.06,232.6,228.98,371.32,371.96,371.68,370.86,373.32,368.59,0
2022-05-06 00:55:16,61.59,79.79,2.1,8472.91,0.0,20.92,51.78,26.48,10.57,10.85,10.49,10.24,10.59,8.86,13.26,13.84,13.29,13.54,14.08,11.78,0
2022-05-06 00:56:17,60.08,88.57,2.02,8558.04,0.0,22.33,51.44,28.09,10.2,10.63,10.28,9.67,10.7,8.59,14.79,15.52,14.97,14.43,15.88,12.97,0
2022-05-06 00:57:17,39.37,48.36,2.25,9092.73,0.0,21.49,54.64,25.92,6.88,7.02,6.95,6.85,6.66,5.01,8.37,8.62,8.46,8.42,8.25,6.23,0
2022-05-06 00:58:17,50.63,32.73,1.62,6516.85,0.0,12.95,47.1,18.25,8.64,8.47,8.75,8.86,9.13,6.79,5.65,5.64,5.81,5.89,6.32,3.43,0
2022-05-06 00:59:17,54.72,36.37,1.3,5347.52,0.0,12.69,39.69,17.59,9.65,9.38,9.44,9.08,9.92,7.25,6.53,6.49,6.4,6.0,7.09,3.86,0
2022-05-06 01:00:17,60.36,34.02,1.32,5355.12,0.0,12.06,43.3,17.6,10.29,10.43,10.06,10.08,10.69,8.8,5.8,6.16,5.67,5.78,6.53,4.08,0
2022-05-06 01:01:17,50.62,31.9,1.22,4970.17,0.0,13.44,43.13,18.86,8.29,8.79,8.6,8.92,8.9,7.13,5.1,5.84,5.49,5.77,6.03,3.67,0
2022-05-06 01:02:17,57.31,33.52,1.3,5268.57,0.0,12.56,48.84,17.39,9.49,10.03,9.75,10.0,9.76,8.29,5.44,6.16,5.83,6.11,5.97,4.01,0
2022-05-06 01:03:17,428.33,368.99,1.36,5731.58,0.0,57.63,56.09,56.91,73.55,74.74,73.51,69.51,69.22,67.81,62.42,62.67,62.39,60.92,61.79,58.79,0
2022-05-06 01:04:17,593.29,771.65,1.24,5215.79,0.0,54.02,30.05,37.59,104.89,107.17,105.02,92.65,92.68,90.88,130.69,131.6,130.75,126.72,127.2,124.68,0
2022-05-06 01:05:17,386.18,746.94,1.11,4611.75,0.0,63.52,28.76,41.19,70.87,71.34,70.67,57.91,58.66,56.73,126.71,127.41,126.58,122.3,123.23,120.71,0
2022-05-06 01:06:17,546.92,773.73,1.15,4855.15,0.0,59.84,44.89,50.18,97.58,98.24,97.34,84.61,85.42,83.72,131.16,132.04,130.97,126.66,127.6,125.29,0
2022-05-06 01:07:17,51.42,36.22,1.29,5211.29,0.0,10.8,100.92,39.75,8.81,8.9,8.63,8.91,8.94,7.24,6.11,6.44,6.11,6.53,6.56,4.47,0
2022-05-06 01:08:17,167.43,121.98,2.1,8607.96,0.0,18.93,52.08,23.23,28.33,28.53,28.44,27.73,28.19,26.2,20.59,20.91,20.7,20.36,20.94,18.48,0
2022-05-06 01:09:17,164.27,120.92,2.12,8580.19,6.29,34.67,48.02,36.64,27.76,28.11,27.88,27.23,27.58,25.72,20.37,20.82,20.52,20.22,20.67,18.33,0
2022-05-06 01:10:17,169.51,112.36,2.02,8312.53,0.0,43.38,42.1,43.21,28.58,28.73,28.59,28.21,28.78,26.61,18.8,19.06,18.84,18.97,19.73,16.95,0
2022-05-06 01:11:17,127.65,116.6,1.96,8054.31,0.0,16.94,25.3,19.06,21.49,21.9,21.41,21.35,21.53,19.98,19.41,20.11,19.43,19.68,19.99,17.99,0
2022-05-06 01:12:17,67818.98,34228.64,1.0,170579.59,1349.11,82.04,93.95,88.27,11329.56,11328.06,11326.65,11277.09,11277.94,11279.68,5712.37,5711.63,5711.73,5698.61,5696.38,5697.92,0
2022-05-06 01:13:17,48870.42,26073.96,0.84,145755.71,2418.81,91.05,85.15,89.98,8356.05,8114.2,8111.85,8093.4,8097.55,8097.37,4349.67,4349.21,4348.25,4340.59,4342.5,4343.75,0
