time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-07 14:13:29,45.61,46.34,0.22,504.32,0.0,11.39,6.6,7.76,6.14,5.61,7.62,11.88,6.33,7.75,5.93,5.61,7.5,13.21,0
2022-04-07 14:14:29,598.19,2488.64,1.07,5298.21,427.72,57.83,122.04,122.8,121.52,75.22,76.37,80.25,422.34,423.27,422.03,404.65,405.57,410.78,0
2022-04-07 14:15:29,75.43,107.35,1.84,7879.84,4.3,15.46,12.39,13.57,12.08,11.04,12.01,14.33,17.53,18.91,17.36,16.27,17.15,20.12,0
2022-04-07 14:16:29,48.19,36.41,1.71,7082.55,0.0,9.51,7.59,8.95,7.39,6.49,8.09,9.68,5.43,7.15,5.45,4.28,5.82,8.28,0
2022-04-07 14:17:29,102.09,57.44,1.45,6013.92,0.0,11.38,17.11,18.2,16.68,14.96,16.75,18.38,9.55,10.92,9.26,7.24,8.9,11.57,0
2022-04-07 14:18:29,84.65,100.85,1.46,6366.25,0.0,24.46,13.6,15.36,13.65,12.5,13.59,15.95,16.02,18.12,16.19,15.12,16.12,19.28,0
2022-04-07 14:19:29,66.04,84.7,1.59,6822.42,0.0,22.4,10.51,11.7,10.21,9.53,11.11,12.98,13.51,14.9,13.25,12.52,13.95,16.56,0
2022-04-07 14:20:29,164.03,98.63,1.4,6777.71,0.0,28.79,27.36,28.38,27.16,24.94,26.42,29.78,15.3,16.51,15.22,14.72,16.11,20.78,0
2022-04-07 14:21:29,93.75,48.88,1.46,6870.77,0.0,15.9,14.96,16.25,14.63,13.51,15.45,18.95,6.98,8.48,6.75,6.06,7.9,12.72,0
2022-04-07 14:22:30,3923.22,6011.58,1.25,6283.43,0.0,38.1,653.49,654.1,653.15,651.47,653.87,657.15,1001.06,1001.85,1000.79,999.42,1001.68,1006.76,0
2022-04-07 14:23:30,76.72,93.07,2.1,8798.97,0.0,16.07,12.91,13.81,12.7,10.93,12.17,14.2,15.25,16.34,15.24,13.65,14.83,17.77,0
2022-04-07 14:24:30,75.96,99.11,2.14,8872.12,0.0,18.56,12.46,14.0,12.57,10.89,12.1,13.94,15.93,17.75,16.27,14.67,15.86,18.63,0
2022-04-07 14:25:30,1352.24,640.06,1.0,5066.63,1371.42,27.6,230.17,230.94,230.1,218.11,219.52,223.4,107.32,108.17,107.34,103.04,104.47,109.71,0
2022-04-07 14:26:30,53.35,43.84,1.34,5672.28,0.0,8.13,8.58,9.83,8.5,7.33,8.43,10.68,6.92,8.44,6.98,5.56,6.51,9.42,0
2022-04-07 14:27:30,806.13,1226.38,1.15,5222.66,0.0,70.3,140.49,141.73,140.34,126.0,127.28,130.3,206.44,207.8,206.28,199.82,201.04,205.01,0
2022-04-07 14:28:30,65.7,49.98,1.28,5362.36,0.0,7.65,10.51,12.29,10.66,9.2,10.61,12.42,7.77,9.75,7.96,6.48,7.78,10.25,0
2022-04-07 14:29:30,54.95,44.53,1.35,5727.63,0.0,8.03,8.99,9.91,8.61,7.4,9.36,10.68,7.16,8.31,6.85,5.55,7.32,9.33,0
2022-04-07 14:30:30,64.34,35.3,1.5,6388.51,0.0,11.54,10.44,11.04,10.09,9.36,10.87,12.54,5.5,6.36,5.22,4.41,5.64,8.16,0
2022-04-07 14:31:30,87.12,59.56,1.2,5937.35,0.0,21.66,13.99,14.51,13.24,12.33,14.96,18.09,8.93,9.7,8.18,7.7,10.22,14.83,0
2022-04-07 14:32:30,74.14,62.36,1.15,5749.82,0.0,13.1,11.72,12.22,11.15,10.31,12.69,16.05,9.48,10.13,8.87,8.18,10.44,15.27,0
2022-04-07 14:33:30,84.38,59.67,1.36,6665.23,0.0,24.32,13.29,14.16,13.08,12.06,14.27,17.51,8.89,9.89,8.76,7.75,9.93,14.45,0
2022-04-07 14:34:30,56.47,37.46,1.43,6230.23,0.0,8.09,8.83,10.06,8.54,8.08,9.35,11.6,5.51,7.02,5.38,4.77,5.89,8.89,0
2022-04-07 14:35:30,595.82,991.78,1.04,5089.49,0.0,53.48,104.97,105.44,104.29,91.29,93.36,96.47,166.36,167.01,165.67,161.54,163.45,167.75,0
2022-04-07 14:36:30,194.68,170.27,1.96,8274.69,3.1,18.86,32.15,33.11,31.77,30.95,32.64,34.06,28.06,29.26,27.72,26.54,28.18,30.51,0
2022-04-07 14:37:30,209.64,214.71,1.88,7941.44,0.0,43.21,34.82,36.2,34.38,32.89,34.89,36.45,35.56,37.2,35.23,33.45,35.43,37.84,0
2022-04-07 14:38:30,86.9,77.1,2.12,8784.08,0.0,14.1,14.15,15.81,13.7,12.74,14.38,16.12,12.45,14.47,12.12,10.73,12.37,14.95,0
2022-04-07 14:39:30,185.54,124.67,1.97,8255.92,0.0,19.17,30.84,32.52,29.94,28.49,31.08,32.67,20.56,22.73,19.7,17.99,20.6,23.09,0
2022-04-07 14:40:30,79215.59,45406.33,0.84,143868.14,16.81,85.68,13217.46,13211.79,13216.69,13189.88,13192.7,13187.07,7573.38,7571.17,7574.07,7563.1,7562.96,7561.66,0
2022-04-07 14:41:30,40518.68,15454.63,1.04,180465.8,20170.6,80.23,6765.62,6763.55,6763.38,6740.03,6742.15,6743.95,2581.79,2581.1,2581.28,2569.48,2570.06,2570.92,0
2022-04-07 14:42:30,54906.61,18471.91,0.73,126126.22,5505.94,67.52,9164.27,9167.03,9167.43,9137.79,9137.25,9132.84,3091.51,3094.81,3094.38,3066.26,3062.99,3061.97,0
2022-04-07 14:43:31,53178.89,22395.79,0.96,166941.2,23532.32,75.96,8869.39,8878.1,8877.1,8858.01,8845.62,8850.67,3734.33,3745.8,3743.37,3730.21,3718.14,3723.95,0
