time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-07 16:25:52,9469365.51,5.06,1258975.87,66611676.7,39576.62,0.0,12842.61,0.0,0.0,0.0,5801857469,16420980591,14126949777,0,54.723076923076924,52.72,63.55,61.13,201184202752,197692551168,1.7,2415550464,177840218112,9535094784,9535094784,541294592,20387139584,4480,533364,809802870,20953072078,6501,0,0,128987142813,0
2022-04-07 16:26:52,9469367.75,5.06,1258980.53,66615505.43,39576.63,0.0,12842.61,0.0,0.0,0.0,5802149144,16421214778,14127029798,0,48.276923076923076,19.46,52.01,57.31,201184202752,197671575552,1.7,2438873088,182051733504,7431532544,7431532544,541294592,16152301568,4352,533364,809805530,20953195241,6501,0,0,128989324616,0
2022-04-07 16:27:52,9469426.78,5.06,1258984.07,66619281.86,39576.64,0.0,12842.61,0.0,0.0,0.0,5802436370,16421496875,14127123046,0,48.276923076923076,7.83,42.74,53.8,201184202752,193221267456,4.0,6886830080,177605095424,7431110656,7431110656,541294592,16150982656,4096,533364,809813046,20953586390,6501,0,0,128989692107,0
2022-04-07 16:28:52,9469479.31,5.06,1258995.35,66623054.67,39576.65,0.0,12842.61,0.0,0.0,0.0,5802725243,16421778419,14127215073,0,47.98461538461538,3.51,35.15,50.49,201184202752,171687235584,14.7,28420358144,156068483072,7433691136,7433691136,541294592,16154066944,4096,533364,809813378,20958869334,6501,0,0,128991527336,0
2022-04-07 16:29:52,9469539.74,5.06,1258996.45,66626831.12,39576.79,0.0,12842.61,0.0,0.0,0.0,5803014120,16422058184,14127302842,0,47.96923076923077,1.98,28.95,47.4,201184202752,171688853504,14.7,28417781760,155987460096,7516332032,7516332032,541294592,16237666304,3968,533364,809867446,20958873208,6501,0,0,128991914589,0
2022-04-07 16:30:52,9469600.71,5.06,1258998.33,66630606.37,39578.02,0.0,12842.61,0.0,0.0,0.0,5803309618,16422347364,14127391157,0,47.98461538461538,1.32,23.85,44.49,201184202752,171696414720,14.7,28410740736,155754119168,7757324288,7757324288,541294592,16478048256,4096,533364,810108114,20958881227,6501,0,0,128992303752,0
2022-04-07 16:31:53,9469661.49,5.06,1259000.16,66634382.41,39578.54,0.0,12842.61,0.0,0.0,0.0,5803600382,16422631970,14127480735,0,47.98461538461538,1.08,19.67,41.76,201184202752,171700760576,14.7,28403036160,155561889792,7953899520,7953899520,541294592,16677982208,3968,533364,810292754,20959023892,6501,0,0,128992714599,0
2022-04-07 16:32:53,9469721.74,5.06,1259002.41,66638155.08,39579.06,0.0,12842.61,0.0,0.0,0.0,5803893076,16422918659,14127570834,0,47.89230769230769,1.03,16.27,39.21,201184202752,171703939072,14.7,28403642368,155325128704,8194007040,8194007040,541294592,16914137088,3968,533364,810519934,20959272591,6501,0,0,128993432564,0
2022-04-07 16:33:53,9469781.53,5.06,1259005.45,66641930.84,39579.44,0.0,12842.61,0.0,0.0,0.0,5804182174,16423200973,14127660964,0,47.96923076923077,0.91,13.47,36.81,201184202752,171705081856,14.7,28402249728,155091812352,8425631744,8425631744,541294592,17148846080,3712,533364,810692542,20959518875,6501,0,0,128994029181,0
2022-04-07 16:34:53,9469836.89,5.06,1259013.13,66645702.99,39580.28,0.0,12842.61,0.0,0.0,0.0,5804472613,16423483540,14127751378,0,48.276923076923076,1.0,11.21,34.58,201184202752,171709894656,14.7,28397838336,154958422016,8560427008,8560427008,541294592,17286647808,3584,533364,810920370,20961441307,6501,0,0,128996604246,0
