time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-09 23:49:55,47.7,47.55,0.21,501.33,0.0,12.42,6.86,8.14,6.68,6.14,8.04,11.83,6.47,8.01,6.38,5.92,7.76,13.01,0
2022-04-09 23:50:56,444.18,2303.05,1.15,5610.87,366.88,35.95,96.93,97.8,96.22,48.44,50.62,54.18,390.59,391.71,389.82,373.98,376.07,380.89,0
2022-04-09 23:51:56,80.48,74.36,1.84,8055.8,4.38,11.04,12.89,14.46,12.75,11.74,13.17,15.46,11.58,13.37,11.56,10.67,12.03,15.16,0
2022-04-09 23:52:56,61.78,51.16,1.51,7145.76,0.0,15.09,9.76,10.91,9.39,8.22,10.41,13.08,7.78,9.12,7.39,6.27,8.42,12.18,0
2022-04-09 23:53:56,45.03,39.4,1.55,6633.52,0.0,9.56,7.23,8.45,7.31,6.02,6.9,9.11,6.15,7.63,6.44,4.92,5.68,8.57,0
2022-04-09 23:54:56,56.93,37.8,1.48,6344.42,0.0,10.95,8.94,10.3,8.73,7.91,9.73,11.32,5.63,7.28,5.49,4.52,6.26,8.61,0
2022-04-09 23:55:56,134.69,51.58,1.52,6888.89,0.0,15.16,21.91,22.4,21.83,22.05,22.25,24.26,7.94,9.14,7.7,6.82,8.57,11.42,0
2022-04-09 23:56:56,64.17,43.62,1.54,6854.16,0.0,9.63,10.04,11.54,9.67,8.88,10.93,13.11,6.44,8.31,6.18,5.27,7.18,10.23,0
2022-04-09 23:57:56,117.94,49.99,1.55,6835.64,0.0,18.71,19.79,20.8,20.03,17.36,18.9,21.05,8.16,9.39,8.36,6.07,7.48,10.54,0
2022-04-09 23:58:56,44.41,62.09,1.71,7036.34,0.0,9.75,8.08,9.17,7.42,4.9,6.54,8.3,10.7,12.12,10.26,7.79,9.31,11.91,0
2022-04-09 23:59:56,73.58,99.28,2.1,8751.17,0.0,13.8,12.08,13.94,12.2,10.0,11.74,13.62,15.96,18.22,16.17,14.23,15.95,18.74,0
2022-04-10 00:00:56,66.52,90.38,2.08,8834.86,0.0,14.88,11.02,12.09,10.46,9.22,10.99,12.74,14.63,15.93,14.19,13.15,14.9,17.58,0
2022-04-10 00:01:56,749.04,562.6,0.94,4784.08,1750.48,15.96,129.96,130.71,129.9,117.19,118.64,122.65,94.8,95.63,94.85,89.68,91.04,96.6,0
2022-04-10 00:02:56,58.59,40.34,1.36,5708.79,0.0,11.36,9.51,10.8,8.71,7.81,10.13,11.63,6.35,7.92,5.65,4.46,6.75,9.19,0
2022-04-10 00:03:56,66.01,40.58,1.48,6261.53,0.0,8.94,10.63,12.24,10.35,9.06,11.08,12.65,6.12,8.13,6.0,4.61,6.61,9.1,0
2022-04-10 00:04:56,65.63,48.72,1.57,6567.65,0.0,10.89,10.62,12.15,10.73,9.2,10.65,12.27,7.62,9.63,7.88,6.11,7.45,10.03,0
2022-04-10 00:05:56,62.1,41.25,1.45,6030.07,0.0,11.34,9.94,11.28,9.86,8.78,10.38,11.86,6.27,7.95,6.35,5.1,6.59,9.0,0
2022-04-10 00:06:56,68.69,40.96,1.7,7036.08,0.0,10.89,10.82,12.8,11.9,9.68,11.06,12.42,6.03,8.42,7.2,4.75,6.17,8.37,0
2022-04-10 00:07:56,67.26,49.16,1.32,5511.54,0.0,9.07,11.26,12.93,10.44,8.52,11.31,12.81,8.05,10.22,7.37,5.2,7.9,10.43,0
2022-04-10 00:08:56,71.54,48.1,1.31,5443.9,0.0,9.61,11.66,13.46,11.52,9.9,11.26,13.74,7.51,9.66,7.46,5.8,7.1,10.56,0
2022-04-10 00:09:56,58.3,39.14,1.58,6580.59,0.0,10.44,9.37,10.81,8.96,7.74,9.97,11.45,6.08,7.88,5.74,4.22,6.4,8.82,0
2022-04-10 00:10:56,74.51,42.22,1.6,6662.39,0.0,12.22,12.28,13.76,11.89,10.38,12.09,14.12,6.6,8.51,6.41,4.84,6.45,9.41,0
2022-04-10 00:11:56,54.67,42.88,1.42,5846.29,0.0,8.35,9.09,10.19,8.46,6.97,9.4,10.55,7.06,8.38,6.46,4.72,7.14,9.12,0
2022-04-10 00:12:57,115.14,99.72,1.93,8105.39,0.0,15.05,19.0,19.96,18.43,17.57,19.43,20.74,16.38,17.55,15.83,14.74,16.5,18.72,0
2022-04-10 00:13:57,170.22,108.35,2.06,8752.21,3.45,16.82,28.09,29.33,27.62,26.69,28.5,29.98,17.71,19.18,17.27,16.12,17.84,20.24,0
2022-04-10 00:14:57,181.4,119.95,1.97,8400.36,6.57,17.44,29.76,31.36,29.96,28.61,29.98,31.72,19.33,21.32,19.73,18.11,19.42,22.05,0
2022-04-10 00:15:57,93.56,54.92,1.37,237758.81,0.0,35.02,15.95,17.54,15.92,14.74,13.47,15.95,9.34,11.22,9.54,8.39,6.83,9.6,0
2022-04-10 00:16:57,77165.86,44670.17,0.83,145684.04,17.26,87.5,12872.5,12870.58,12873.76,12849.91,12849.82,12849.3,7449.44,7448.96,7451.02,7439.35,7440.87,7440.54,0
2022-04-10 00:17:57,86989.57,37468.52,0.95,163792.66,1557.31,78.8,14519.28,14516.41,14519.69,14475.79,14477.72,14480.69,6257.75,6255.29,6256.2,6230.63,6234.4,6234.26,0
2022-04-10 00:18:57,77434.37,35262.32,1.27,213213.08,153.69,68.36,12917.43,12915.95,12920.81,12894.86,12893.57,12891.76,5879.7,5879.25,5886.06,5874.89,5872.07,5870.35,0
2022-04-10 00:19:57,15536.41,4650.06,0.94,163241.49,1940.17,57.97,2597.34,2591.58,2617.42,2584.29,2572.44,2573.34,777.06,773.51,799.67,773.98,762.42,763.42,0
2022-04-10 00:20:57,476.91,148.17,1.42,32033.89,49.25,25.65,82.5,86.16,76.37,74.22,77.33,80.33,24.06,25.69,23.56,22.35,25.33,27.18,0
2022-04-10 00:21:57,20035.25,9470.87,0.98,169988.48,10566.58,76.01,3368.34,3366.73,3365.92,3310.07,3311.44,3312.74,1583.66,1582.6,1581.88,1573.07,1574.0,1575.67,0
2022-04-10 00:22:57,50.54,50.24,1.37,238976.18,0.0,8.4,8.28,9.82,9.29,8.23,6.32,8.59,8.14,9.94,9.45,8.14,5.93,8.63,0
