time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-06 08:24:53,48.48,49.52,0.22,514.18,0.0,11.23,7.27,8.16,6.6,5.88,8.22,12.34,7.03,8.19,6.41,5.93,8.14,13.81,0
2022-04-06 08:25:53,431.89,2203.29,1.11,5495.9,510.44,39.6,93.75,94.73,93.93,47.82,49.02,52.63,373.64,374.55,373.84,358.08,359.16,364.04,0
2022-04-06 08:26:53,114.17,101.02,1.67,8007.44,4.35,23.04,18.83,19.71,18.33,16.6,18.62,22.08,16.01,17.15,15.6,14.53,16.42,21.3,0
2022-04-06 08:27:53,72.66,56.42,1.65,7128.59,0.0,22.13,11.73,12.74,11.48,10.4,12.26,14.06,8.84,10.08,8.7,7.47,9.33,12.0,0
2022-04-06 08:28:53,71.25,65.21,1.54,6732.8,0.0,19.16,11.72,12.88,11.28,9.87,11.59,13.91,10.49,11.94,10.15,8.76,10.34,13.53,0
2022-04-06 08:29:53,75.77,70.87,1.45,6383.65,0.0,11.5,12.21,13.23,11.76,10.96,12.43,15.17,11.19,12.47,10.86,10.03,11.4,14.92,0
2022-04-06 08:30:53,101.76,69.25,1.4,6939.44,0.0,23.03,16.06,16.84,16.03,15.22,16.96,20.65,10.32,11.27,10.38,9.61,11.25,16.43,0
2022-04-06 08:31:53,122.06,92.48,1.41,6867.77,0.0,23.36,19.34,20.6,19.27,18.39,20.43,24.02,14.06,15.55,14.09,13.26,15.24,20.29,0
2022-04-06 08:32:53,136.89,73.62,1.35,6845.07,0.0,28.95,22.02,22.73,21.71,20.81,22.82,26.8,11.03,11.98,10.81,10.16,12.0,17.63,0
2022-04-06 08:33:53,54.86,43.83,1.67,6947.71,0.0,12.83,9.03,10.29,8.78,7.32,8.89,10.56,6.84,8.49,6.85,5.4,6.84,9.42,0
2022-04-06 08:34:53,66.77,90.85,2.11,8805.07,0.0,16.23,10.83,12.5,10.8,9.58,10.45,12.61,14.38,16.29,14.63,13.61,14.44,17.49,0
2022-04-06 08:35:53,69.52,86.25,2.1,8841.76,0.0,13.92,11.94,12.98,11.31,9.42,10.92,12.96,14.31,15.66,13.81,12.18,13.67,16.62,0
2022-04-06 08:36:53,743.12,555.97,0.95,4785.44,1758.09,15.42,128.78,129.58,128.87,116.3,117.85,121.75,93.49,94.4,93.71,88.72,90.16,95.48,0
2022-04-06 08:37:53,59.46,40.93,1.33,5510.13,0.0,8.68,9.89,10.79,9.31,8.02,10.21,11.24,6.68,7.85,6.2,4.64,6.81,8.75,0
2022-04-06 08:38:54,54.86,34.79,1.39,5819.88,0.0,12.77,8.92,10.07,8.48,7.3,9.22,10.86,5.36,6.82,5.03,3.77,5.64,8.18,0
2022-04-06 08:39:54,62.74,36.41,1.35,5540.81,0.0,12.14,9.92,11.63,10.03,8.93,10.15,12.09,5.26,7.32,5.58,4.33,5.56,8.35,0
2022-04-06 08:40:54,116.77,39.3,1.37,5664.59,0.0,9.01,21.76,19.27,16.98,19.2,20.11,19.46,5.8,7.91,5.67,4.49,6.18,9.25,0
2022-04-06 08:41:54,559.42,769.02,1.27,5685.57,5.4,55.85,98.78,99.82,98.6,85.52,87.1,89.61,129.29,130.7,129.31,124.3,125.89,129.53,0
2022-04-06 08:42:54,49.3,43.5,1.25,5207.09,0.0,8.43,7.91,9.18,7.37,6.3,8.46,10.08,6.81,8.41,6.36,5.06,7.16,9.7,0
2022-04-06 08:43:54,106.21,50.68,1.37,5637.13,0.0,18.24,18.98,20.39,17.08,14.4,16.16,19.21,7.82,10.0,7.69,6.46,8.0,10.71,0
2022-04-06 08:44:54,102.86,60.7,1.24,5436.65,0.0,16.69,21.89,17.13,16.06,13.82,16.48,17.49,9.82,11.05,9.64,8.19,9.54,12.46,0
2022-04-06 08:45:54,56.38,47.07,1.36,5646.36,0.0,14.7,9.41,10.38,8.87,7.5,9.54,10.67,7.74,8.98,7.31,5.67,7.69,9.69,0
2022-04-06 08:46:54,64.93,41.1,1.43,5880.74,0.0,19.03,10.9,11.86,10.24,8.93,10.91,12.08,6.8,7.98,6.25,4.75,6.66,8.67,0
2022-04-06 08:47:54,91.08,83.87,2.08,8621.31,0.0,15.23,14.93,16.02,14.49,13.54,15.42,16.69,13.63,15.01,13.27,12.09,13.84,16.03,0
2022-04-06 08:48:54,182.79,103.67,2.07,8686.81,5.37,12.33,30.14,31.29,29.94,28.96,30.28,32.18,16.77,18.06,16.69,15.65,16.81,19.71,0
2022-04-06 08:49:54,137.64,164.03,1.9,8279.86,0.0,21.15,22.58,23.69,22.37,21.53,22.74,24.74,26.86,28.25,26.75,25.78,26.83,29.56,0
2022-04-06 08:50:54,1111.55,1818.31,1.45,256054.94,0.0,50.45,194.21,194.57,193.79,176.93,175.42,176.63,304.02,304.56,303.84,302.43,300.89,302.57,0
2022-04-06 08:51:54,79369.29,45701.99,0.82,140846.37,13.59,87.97,13237.88,13241.56,13240.62,13215.33,13216.56,13217.33,7619.89,7622.09,7623.21,7612.46,7610.89,7613.45,0
2022-04-06 08:52:54,87153.6,41247.47,0.85,144640.01,2077.67,91.8,14541.67,14539.55,14540.82,14508.51,14511.5,14511.55,6879.46,6878.62,6879.48,6868.97,6870.19,6870.74,0
2022-04-06 08:53:54,66308.81,26884.2,1.01,175572.55,135.12,83.85,11060.47,11051.57,11057.29,11040.53,11045.34,11053.6,4482.41,4477.29,4480.51,4475.57,4478.87,4489.55,0
2022-04-06 08:54:54,42188.23,13540.47,1.07,189093.23,52137.8,84.57,7035.01,7035.34,7036.29,7025.53,7025.68,7030.37,2260.29,2260.44,2260.93,2251.31,2251.09,2256.42,0
2022-04-06 08:55:54,72508.31,35633.65,1.06,182282.6,23.87,78.22,12095.37,12095.3,12095.48,12070.75,12075.23,12076.18,5942.53,5943.19,5943.0,5932.8,5934.29,5937.84,0
2022-04-06 08:56:54,38.78,35.6,1.37,240526.02,0.0,10.14,6.8,7.22,6.17,6.14,5.59,6.86,6.07,6.97,5.8,5.64,4.66,6.46,0
2022-04-06 08:57:54,40.06,36.52,1.36,235555.94,0.0,9.78,6.51,7.6,6.63,6.5,5.61,7.2,5.81,7.25,6.16,5.95,4.67,6.69,0
2022-04-06 08:58:55,54.28,36.42,1.01,175724.48,0.0,21.8,9.03,9.76,9.46,8.79,8.18,9.06,6.03,6.84,6.68,5.83,4.92,6.12,0
2022-04-06 08:59:55,100254.13,39805.92,0.57,99937.68,17158.91,82.3,16739.29,16736.62,16738.49,16677.65,16680.65,16681.42,6645.13,6645.84,6646.08,6620.99,6621.89,6626.0,0
2022-04-06 09:00:55,110402.1,35949.38,0.45,76756.07,12019.12,82.65,18417.06,18414.23,18417.37,18383.98,18385.25,18384.2,6001.94,6001.86,6003.65,5980.61,5979.66,5981.67,0
2022-04-06 09:01:55,110728.43,42389.99,0.37,62436.62,9149.34,95.89,18470.95,18468.34,18472.67,18438.26,18439.36,18438.84,7072.2,7072.78,7073.69,7056.65,7056.16,7058.49,0
2022-04-06 09:02:55,105334.78,43630.17,0.46,78423.74,11670.23,88.76,17569.82,17568.89,17568.71,17541.04,17541.7,17544.61,7277.84,7279.61,7277.76,7263.78,7263.64,7267.55,0
2022-04-06 09:03:55,98579.57,39233.14,0.52,87573.88,15447.85,88.11,16471.56,16466.69,16467.8,16390.46,16392.17,16390.9,6551.82,6551.37,6550.86,6525.59,6525.36,6528.14,0
2022-04-06 09:04:55,111256.68,41174.04,0.41,70997.77,10823.44,93.15,18557.22,18553.35,18557.64,18528.41,18529.58,18530.48,6869.7,6869.26,6870.33,6854.21,6854.43,6856.11,0
2022-04-06 09:05:55,100016.12,45844.02,0.33,57609.71,9617.03,91.43,16838.89,16726.14,16629.89,16606.03,16607.53,16607.63,7644.96,7645.89,7646.88,7634.55,7634.97,7636.78,0
2022-04-06 09:06:55,102089.04,44934.88,0.47,82155.82,15460.63,92.19,17046.27,17043.22,17045.79,16985.43,16983.47,16984.86,7494.6,7495.18,7495.56,7483.57,7481.91,7484.06,0
2022-04-06 09:07:55,100554.08,37875.87,0.42,74522.06,12634.29,91.69,16791.38,16787.12,16791.24,16727.14,16729.48,16727.72,6324.1,6323.97,6325.08,6299.42,6300.64,6302.68,0
2022-04-06 09:08:55,110634.75,41927.83,0.38,67229.64,9542.68,92.61,18452.16,18450.4,18453.35,18426.21,18426.66,18425.98,6994.36,6995.09,6996.09,6981.02,6980.39,6980.88,0
2022-04-06 09:09:55,105942.91,43539.62,0.37,64542.92,11320.03,91.9,17666.01,17663.95,17667.03,17647.98,17649.46,17648.49,7261.6,7262.55,7263.45,7249.39,7250.8,7251.83,0
2022-04-06 09:10:55,97792.82,39677.59,0.53,92328.86,15132.38,78.5,16336.53,16333.05,16336.72,16260.9,16262.71,16262.91,6624.07,6624.24,6625.22,6600.62,6600.01,6603.43,0
2022-04-06 09:11:55,105582.34,35909.15,0.44,77647.27,11507.15,84.38,17611.89,17610.87,17613.71,17580.33,17582.44,17583.1,5994.48,5996.59,5996.37,5972.29,5973.65,5975.77,0
2022-04-06 09:12:55,111316.24,41494.43,0.41,70736.31,9983.86,87.97,18567.16,18565.64,18567.57,18538.88,18537.48,18539.51,6923.13,6923.0,6923.76,6908.69,6907.51,6908.34,0
2022-04-06 09:13:55,107202.31,44568.27,0.37,63489.63,12921.85,88.73,17877.86,17875.13,17880.03,17856.35,17855.85,17857.09,7433.35,7432.99,7434.82,7422.03,7422.64,7422.45,0
2022-04-06 09:14:55,100594.85,41587.86,0.53,92828.66,17190.55,86.44,16800.5,16797.66,16800.82,16731.51,16731.4,16732.96,6939.58,6940.29,6940.53,6921.74,6921.26,6924.46,0
2022-04-06 09:15:55,108437.01,35407.22,0.45,77960.11,10825.13,82.39,18090.55,18087.25,18090.29,18055.68,18056.9,18056.35,5912.63,5912.66,5913.4,5889.23,5889.14,5890.16,0
2022-04-06 09:16:56,109872.25,42108.15,0.38,65642.24,9678.1,94.65,18327.86,18326.72,18328.15,18296.34,18296.0,18297.17,7024.73,7025.63,7025.77,7010.74,7009.71,7011.57,0
2022-04-06 09:17:56,102972.03,46916.51,0.35,58627.96,11940.75,87.42,17179.88,17177.18,17178.99,17144.77,17145.42,17145.79,7826.39,7825.58,7826.29,7812.72,7811.84,7813.7,0
2022-04-06 09:18:56,100189.73,41196.43,0.5,86206.32,17035.53,88.73,16733.1,16730.97,16733.86,16663.59,16663.44,16664.77,6874.5,6875.09,6875.65,6856.99,6855.56,6858.64,0
2022-04-06 09:19:56,106314.43,38115.82,0.43,72478.93,12152.1,86.76,17749.89,17745.43,17747.35,17689.19,17691.23,17691.34,6363.36,6363.95,6364.37,6339.81,6340.5,6343.83,0
2022-04-06 09:20:56,109505.33,41664.59,0.34,57557.65,9422.12,90.78,18267.67,18265.92,18267.01,18234.22,18234.48,18236.03,6950.56,6950.29,6951.24,6937.91,6936.28,6938.33,0
2022-04-06 09:21:56,102307.19,46641.1,0.33,57299.8,10594.16,92.18,17061.44,17060.13,17061.63,17040.89,17041.02,17042.08,7778.41,7778.66,7779.49,7767.89,7767.35,7769.3,0
2022-04-06 09:22:56,101331.72,44610.82,0.45,77669.75,14928.34,89.27,16918.64,16917.56,16919.72,16857.27,16858.44,16860.08,7440.71,7440.73,7441.74,7428.89,7428.62,7430.14,0
2022-04-06 09:23:56,106758.06,38006.7,0.43,73856.09,11592.47,86.2,17820.98,17817.51,17821.09,17765.84,17766.53,17766.11,6345.32,6346.12,6346.7,6322.58,6321.83,6324.14,0
2022-04-06 09:24:56,114052.48,39788.68,0.41,70178.45,10201.0,88.54,19020.51,19017.32,19020.59,18997.33,18999.01,18997.71,6638.33,6637.77,6639.02,6624.31,6624.21,6625.03,0
2022-04-06 09:25:56,102515.39,47984.35,0.32,54825.9,12354.16,94.21,17102.11,17101.27,17103.16,17068.08,17069.34,17071.42,8003.33,8003.82,8004.44,7990.39,7990.33,7992.05,0
2022-04-06 09:26:56,99745.66,42926.92,0.44,75979.63,15428.66,89.47,16656.62,16654.35,16656.23,16592.04,16592.01,16594.41,7160.49,7160.56,7160.97,7148.0,7147.1,7149.79,0
2022-04-06 09:27:56,134.94,108.55,0.88,153329.81,0.0,25.33,23.28,24.23,23.38,21.21,20.78,22.05,18.75,19.95,19.2,16.94,16.01,17.69,0
