time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-06 03:56:23,6980428.21,4.98,833286.55,61135654.05,33031.3,0.0,7956.86,0.0,0.0,0.0,5107068129,12606664384,10361571736,0,54.784615384615385,37.79,59.88,60.14,201184202752,197679755264,1.7,2428313600,177864773632,9526394880,9526394880,539484160,20351631360,4992,533336,668064550,17663316817,5763,0,0,117478393045,0
2022-04-06 03:57:23,6980430.76,4.98,833291.63,61139486.32,33031.31,0.0,7956.86,0.0,0.0,0.0,5107360720,12606899407,10361651898,0,49.6,14.07,49.04,56.4,201184202752,197638303744,1.8,2473197568,182067224576,7423569920,7423569920,539484160,16104296448,4864,533336,668066718,17663442204,5763,0,0,117480582118,0
2022-04-06 03:58:24,6980489.78,4.98,833294.98,61143262.59,33031.33,0.0,7956.86,0.0,0.0,0.0,5107649328,12607183995,10361747525,0,48.04615384615385,5.87,40.31,52.94,201184202752,193206718464,4.0,6901342208,177640288256,7422500864,7422500864,539484160,16103088128,4608,533336,668073742,17663832728,5763,0,0,117480959173,0
2022-04-06 03:59:24,6980542.6,4.98,833305.91,61147039.11,33031.34,0.0,7956.86,0.0,0.0,0.0,5107937092,12607466376,10361841537,0,48.06153846153846,2.79,33.16,49.69,201184202752,171674910720,14.7,28433199104,156105383936,7425589248,7425589248,539484160,16106135552,4480,533336,668074310,17669108292,5763,0,0,117482796378,0
2022-04-06 04:00:24,6980604.21,4.98,833308.15,61150815.38,33031.6,0.0,7956.86,0.0,0.0,0.0,5108226780,12607748237,10361935021,0,48.030769230769224,1.66,27.3,46.64,201184202752,171675017216,14.7,28433399808,156019847168,7511232512,7511232512,539484160,16191471616,4480,533336,668157570,17669114939,5763,0,0,117483184839,0
2022-04-06 04:01:24,6980665.33,4.98,833310.22,61154587.88,33032.37,0.0,7956.86,0.0,0.0,0.0,5108520265,12608032391,10362025954,0,48.0,1.17,22.5,43.78,201184202752,171675095040,14.7,28432564224,155780804608,7750352896,7750352896,539484160,16431349760,4352,533336,668369246,17669123752,5763,0,0,117483573979,0
2022-04-06 04:02:24,6980726.21,4.98,833312.43,61158363.75,33033.08,0.0,7956.86,0.0,0.0,0.0,5108812245,12608314519,10362115755,0,48.184615384615384,1.06,18.59,41.1,201184202752,171677433856,14.7,28429676544,155580506112,7950409728,7950409728,539484160,16634535936,4352,533336,668554942,17669261439,5763,0,0,117484046086,0
2022-04-06 04:03:24,6980785.73,4.98,833315.97,61162138.26,33033.92,0.0,7956.87,0.0,0.0,0.0,5109092904,12608591919,10362206356,0,47.98461538461538,1.02,15.39,38.59,201184202752,171681951744,14.7,28426084352,155347759104,8181968896,8181968896,539484160,16870875136,4224,533336,668780102,17669505490,5763,0,0,117484733101,0
2022-04-06 04:04:24,6980844.97,4.98,833320.03,61165914.34,33034.36,0.0,7956.87,0.0,0.0,0.0,5109375837,12608871355,10362298513,0,48.01538461538462,1.06,12.78,36.24,201184202752,171682111488,14.7,28425302016,155112980480,8410935296,8410935296,539484160,17106436096,4224,533336,669006206,17669748351,5763,0,0,117485476673,0
2022-04-06 04:05:24,6980901.29,4.98,833325.91,61169689.72,33034.44,0.0,7956.87,0.0,0.0,0.0,5109655893,12609147132,10362387878,0,48.0,1.02,10.64,34.04,201184202752,171691335680,14.7,28416159744,154977640448,8552108032,8552108032,539484160,17250918400,3968,533336,669181438,17671159544,5763,0,0,117487518596,0
2022-04-06 04:06:24,6980953.53,4.98,833337.31,61173464.04,33034.45,0.0,7956.87,0.0,0.0,0.0,5109936777,12609426018,10362481745,0,47.98461538461538,1.01,8.89,31.97,201184202752,194936561664,3.1,5171490816,178222391296,8407105536,8407105536,539484160,17250836480,3840,533336,669181822,17676878212,5763,0,0,117496241311,0
2022-04-06 04:07:24,6981014.43,4.98,833340.32,61177240.7,33034.46,0.0,7956.87,0.0,0.0,0.0,5110216188,12609702018,10362574808,0,47.969230769230776,1.0,7.45,30.03,201184202752,192907722752,4.1,7200329728,176193564672,7935848448,7935848448,539484160,17250824192,3712,533336,669182098,17677379202,5763,0,0,117496605667,0
2022-04-06 04:08:24,6981075.1,4.98,833342.78,61181017.39,33034.47,0.0,7956.87,0.0,0.0,0.0,5110495115,12609977116,10362663742,0,47.92307692307693,1.0,6.28,28.21,201184202752,191213223936,5.0,8894824448,174499057664,7522025472,7522025472,539484160,17250836480,3712,533336,669182442,17677642546,5763,0,0,117496968178,0
2022-04-06 04:09:24,6981132.4,4.98,833349.11,61184792.18,33034.48,0.0,7956.87,0.0,0.0,0.0,5110775171,12610253329,10362753994,0,48.04615384615385,1.0,5.32,26.51,201184202752,181048561664,10.0,19059286016,164326240256,7430787072,7430787072,539484160,17259192320,3584,533336,669182802,17679904442,5763,0,0,117498302421,0
2022-04-06 04:10:24,6981191.69,4.98,833352.59,61188568.68,33034.64,0.0,7956.87,0.0,0.0,0.0,5111056613,12610531602,10362846082,0,47.90769230769231,1.0,4.53,24.91,201184202752,181045506048,10.0,19062075392,164177596416,7573266432,7573266432,539484160,17405046784,3840,533336,669311454,17680049138,5763,0,0,117500569769,0
2022-04-06 04:11:24,6981249.79,4.98,833356.28,61192345.0,33035.04,0.0,7956.87,0.0,0.0,0.0,5111339813,12610809338,10362935754,0,47.89230769230769,1.0,3.89,23.42,201184202752,181047197696,10.0,19060867072,164035420160,7713521664,7713521664,539488256,17548427264,3584,533336,669451918,17680349912,5763,0,0,117503269283,0
2022-04-06 04:12:24,6981308.28,4.98,833361.28,61196121.64,33035.08,0.0,7956.87,0.0,0.0,0.0,5111620222,12611086595,10363026814,0,48.06153846153846,0.97,3.35,22.01,201184202752,181045555200,10.0,19061874688,163890483200,7852535808,7852535808,539488256,17692356608,3584,533336,669531890,17681068678,5763,0,0,117506091437,0
2022-04-06 04:13:24,6981367.82,4.98,833365.37,61199897.55,33035.54,0.0,7956.87,0.0,0.0,0.0,5111900891,12611365357,10363119755,0,47.98461538461538,0.99,2.92,20.7,201184202752,181047717888,10.0,19060277248,163747184640,7994834944,7994834944,539488256,17837252608,3712,533336,669728966,17681350409,5763,0,0,117508189512,0
2022-04-06 04:14:24,6981427.57,4.98,833369.4,61203672.15,33035.59,0.0,7956.87,0.0,0.0,0.0,5112182210,12611643737,10363212613,0,47.969230769230776,1.0,2.57,19.46,201184202752,181048385536,10.0,19060080640,163606048768,8133541888,8133541888,539488256,17978585088,3584,533336,669811342,17681667051,5763,0,0,117510420819,0
2022-04-06 04:15:24,6981486.53,4.98,833373.52,61207448.65,33036.36,0.0,7956.87,0.0,0.0,0.0,5112462049,12611920773,10363304182,0,48.0,1.0,2.29,18.31,201184202752,181045215232,10.0,19063070720,163459592192,8272699392,8272699392,539488256,18122051584,3584,533336,669982686,17681962278,5763,0,0,117512702512,0
2022-04-06 04:16:24,6981546.44,4.98,833377.46,61211223.84,33036.45,0.0,7956.87,0.0,0.0,0.0,5112743835,12612198902,10363396822,0,48.30769230769231,0.94,2.04,17.22,201184202752,181048475648,10.0,19059171328,163314774016,8416251904,8416251904,539488256,18270769152,3712,533336,670088118,17682202144,5763,0,0,117514985227,0
2022-04-06 04:17:24,6981605.99,4.98,833381.43,61215000.22,33036.67,0.0,7956.87,0.0,0.0,0.0,5113023678,12612475387,10363487299,0,47.969230769230776,0.98,1.85,16.2,201184202752,181047291904,10.0,19060232192,163166035968,8560185344,8560185344,539488256,18418446336,3712,533336,670230110,17682479950,5763,0,0,117517235535,0
2022-04-06 04:18:25,6981665.58,4.98,833385.47,61218775.62,33036.88,0.0,7956.87,0.0,0.0,0.0,5113306909,12612754277,10363579915,0,47.969230769230776,0.99,1.69,15.25,201184202752,181047980032,10.0,19059724288,163019157504,8703344640,8703344640,539488256,18565832704,3584,533336,670411422,17682703281,5763,0,0,117519351991,0
2022-04-06 04:19:25,6981725.46,4.98,833389.46,61222550.2,33036.96,0.0,7956.87,0.0,0.0,0.0,5113595236,12613035287,10363674356,0,47.969230769230776,1.0,1.57,14.36,201184202752,182299078656,9.4,17808408576,164132798464,8819634176,8819634176,539488256,18703507456,3584,533336,670578390,17682964576,5763,0,0,117521773512,0
2022-04-06 04:20:25,6981786.71,4.98,833391.8,61226324.89,33036.97,0.0,7956.87,0.0,0.0,0.0,5113885335,12613317217,10363769297,0,48.0,1.0,1.46,13.53,201184202752,182301761536,9.4,17806241792,164134965248,8411160576,8411160576,539488256,18703507456,3456,533336,670579106,17683009220,5763,0,0,117522293968,0
2022-04-06 04:21:25,6981848.09,4.98,833394.15,61230101.43,33036.99,0.0,7956.87,0.0,0.0,0.0,5114174263,12613598132,10363864819,0,48.06153846153846,1.0,1.38,12.74,201184202752,182300442624,9.4,17807044608,164134162432,8000782336,8000782336,539488256,18703507456,3456,533336,670580198,17683054889,5763,0,0,117522718722,0
2022-04-06 04:22:25,6981909.32,4.98,833396.42,61233874.38,33037.0,0.0,7956.87,0.0,0.0,0.0,5114463936,12613879378,10363959862,0,48.030769230769224,1.0,1.31,12.01,201184202752,182302220288,9.4,17805783040,164135424000,7587110912,7587110912,539488256,18703507456,3328,533336,670580810,17683099458,5763,0,0,117523106315,0
2022-04-06 04:23:25,6983677.16,4.98,834016.19,61235328.22,33037.25,0.0,7957.05,0.0,0.0,0.0,5115007020,12616630539,10366919198,0,2776.2923076923075,30.83,8.77,13.84,201184202752,187558211584,6.8,12544516096,169377452032,7478824960,7478824960,539488256,18722746368,11136,533336,670609710,17690028765,5777,0,0,117528957796,0
2022-04-06 04:24:25,6985681.28,4.98,835064.11,61235983.27,33166.77,0.0,7957.59,0.0,0.0,0.0,5123392515,12623948519,10370775954,0,2795.353846153846,47.27,17.69,16.6,201184202752,193818820608,3.7,6284496896,175498514432,8525086720,8525086720,539488256,18861703168,9472,533336,671948846,17695130046,5784,0,0,117535780474,0
2022-04-06 04:25:25,6988353.44,4.98,835867.6,61236324.88,33179.98,0.0,7967.48,0.0,0.0,0.0,5127740496,12630722490,10375793631,0,2814.8,56.87,25.91,19.5,201184202752,188994727936,6.1,11108044800,170010988544,9100795904,9100795904,539488256,19525681152,9984,533336,672776986,17703090092,5791,0,0,117545248102,0
2022-04-06 04:26:25,6990826.27,4.98,837176.29,61236379.3,33180.28,0.0,7974.79,0.0,0.0,0.0,5128134307,12635446798,10380899027,0,2870.1538461538457,63.86,33.59,22.55,201184202752,171069714432,15.0,29031747584,152084037632,8776577024,8776577024,539508736,19528908800,10240,533336,672855814,17713420439,5798,0,0,117552663470,0
2022-04-06 04:27:25,6994192.69,4.98,837618.09,61236379.31,33180.28,0.0,8010.59,0.0,0.0,0.0,5128211827,12642678141,10387701204,0,2835.3230769230768,65.2,39.5,25.27,201184202752,169994412032,15.5,30107045888,151007895552,8776585216,8776585216,539508736,19529752576,10368,533336,672856206,17716182897,5798,0,0,117561982996,0
2022-04-06 04:28:25,6997587.62,4.98,838033.8,61236379.31,33180.28,0.0,8043.68,0.0,0.0,0.0,5128290552,12649620524,10394280146,0,2771.1384615384613,66.49,44.57,27.91,201184202752,169941090304,15.5,30160367616,150953701376,8776585216,8776585216,539508736,19530625024,10496,533336,672856666,17718924306,5798,0,0,117571851955,0
2022-04-06 04:29:25,7000974.13,4.98,838456.53,61236379.32,33180.28,0.0,8078.13,0.0,0.0,0.0,5128368978,12656592382,10400888300,0,2789.507692307692,66.71,48.65,30.35,201184202752,169862291456,15.6,30239170560,150873927680,8776597504,8776597504,539508736,19531595776,10752,533336,672857122,17721624160,5798,0,0,117581453767,0
2022-04-06 04:30:25,7004380.51,4.98,838861.77,61236379.32,33180.28,0.0,8110.23,0.0,0.0,0.0,5128447801,12663278786,10407279082,0,2917.9692307692308,67.89,52.21,32.72,201184202752,169479999488,15.8,30621458432,150492340224,8776597504,8776597504,539508736,19530895360,11264,533336,672857566,17724405093,5798,0,0,117591281240,80
