time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-07 21:40:53,9883025.73,5.06,1336091.71,67327840.67,40802.14,0.0,13573.62,0.0,0.0,0.0,5901890718,17036750889,14741350679,0,54.738461538461536,29.82,56.93,58.54,201184202752,197693992960,1.7,2414071808,178012426240,9369120768,9369120768,541470720,20216233984,4736,533376,833157502,21487725430,6616,0,0,130699153729,0
2022-04-07 21:41:53,9883027.94,5.06,1336096.48,67331673.05,40802.15,0.0,13573.62,0.0,0.0,0.0,5902181978,17036983753,14741419677,0,49.87692307692308,11.01,46.58,54.88,201184202752,197665353728,1.7,2444537856,182206889984,7266799616,7266799616,541470720,15991304192,4352,533376,833158066,21487850655,6616,0,0,130701331736,0
2022-04-07 21:42:53,9883087.11,5.06,1336100.42,67335449.42,40802.17,0.0,13573.63,0.0,0.0,0.0,5902470028,17037267762,14741517348,0,48.01538461538462,4.53,38.25,51.49,201184202752,193243914240,3.9,6864146432,177791135744,7265288192,7265288192,541470720,15987449856,4224,533376,833165546,21488235024,6616,0,0,130701853270,0
2022-04-07 21:43:53,9883139.39,5.06,1336111.88,67339225.94,40802.18,0.0,13573.63,0.0,0.0,0.0,5902760634,17037550479,14741610038,0,48.01538461538462,2.22,31.46,48.33,201184202752,171690049536,14.7,28418273280,156236238848,7266320384,7266320384,541470720,15988219904,4096,533376,833165858,21493647804,6616,0,0,130703803417,0
2022-04-07 21:44:53,9883200.47,5.06,1336113.62,67343002.3,40802.33,0.0,13573.63,0.0,0.0,0.0,5903051084,17037832576,14741699503,0,48.0,1.37,25.9,45.36,201184202752,171693912064,14.7,28413952000,156154986496,7351435264,7351435264,541470720,16073793536,4096,533376,833232190,21493651652,6616,0,0,130704190994,0
2022-04-07 21:45:53,9883261.25,5.06,1336116.93,67346777.91,40803.18,0.0,13573.63,0.0,0.0,0.0,5903340388,17038117058,14741792427,0,47.96923076923077,1.09,21.35,42.58,201184202752,171692191744,14.7,28415627264,155919142912,7585566720,7585566720,541470720,16307961856,3968,533376,833391886,21493695436,6616,0,0,130704672651,0
2022-04-07 21:46:53,9883320.17,5.06,1336120.45,67350553.29,40804.32,0.0,13573.63,0.0,0.0,0.0,5903627715,17038400634,14741881977,0,48.0,1.07,17.66,39.98,201184202752,171689369600,14.7,28417142784,155723010048,7778877440,7778877440,541470720,16502579200,3968,533376,833649898,21493908824,6616,0,0,130705372284,0
2022-04-07 21:47:53,9883378.57,5.06,1336123.72,67354329.02,40805.19,0.0,13573.63,0.0,0.0,0.0,5903908885,17038677015,14741967635,0,48.10769230769231,1.1,14.64,37.55,201184202752,171690467328,14.7,28417245184,155494297600,8008572928,8008572928,541470720,16731189248,3584,533376,833874082,21494151640,6616,0,0,130706115760,0
2022-04-07 21:48:53,9883437.59,5.06,1336127.54,67358104.82,40805.98,0.0,13573.63,0.0,0.0,0.0,5904190247,17038955908,14742057064,0,47.96923076923077,1.04,12.16,35.26,201184202752,171690266624,14.7,28417630208,155264921600,8237735936,8237735936,541470720,16960180224,3584,533376,834101550,21494395174,6616,0,0,130706859485,0
2022-04-07 21:49:53,9883497.02,5.06,1336131.05,67361881.05,40806.34,0.0,13573.63,0.0,0.0,0.0,5904470134,17039233024,14742141785,0,48.03076923076923,1.01,10.13,33.12,201184202752,171698642944,14.7,28408541184,155116404736,8394113024,8394113024,541470720,17117786112,3456,533376,834220134,21494649989,6616,0,0,130707709263,0
2022-04-07 21:50:54,9883548.37,5.06,1336143.19,67365657.3,40806.35,0.0,13573.63,0.0,0.0,0.0,5904751142,17039514612,14742238401,0,49.246153846153845,0.96,8.45,31.1,201184202752,195027636224,3.1,5080289280,178443804672,8268681216,8268681216,541470720,17118638080,3840,533376,834273082,21500755498,6616,0,0,130716941711,0
2022-04-07 21:51:54,9883609.39,5.06,1336146.22,67369433.96,40806.35,0.0,13573.63,0.0,0.0,0.0,5905030200,17039791071,14742330527,0,48.04615384615385,0.99,7.1,29.22,201184202752,192990777344,4.1,7117205504,176406896640,7795875840,7795875840,541470720,17118629888,3584,533376,834273366,21501256753,6616,0,0,130717304325,0
2022-04-07 21:52:54,9883670.52,5.06,1336149.0,67373210.59,40806.36,0.0,13573.63,0.0,0.0,0.0,5905310131,17040067883,14742421219,0,47.96923076923077,1.06,6.0,27.46,201184202752,191268921344,4.9,8839036928,174685032448,7389315072,7389315072,541474816,17118658560,3840,533376,834273786,21501537731,6616,0,0,130717667134,0
2022-04-07 21:53:54,9883728.03,5.06,1336155.27,67376987.28,40806.37,0.0,13573.63,0.0,0.0,0.0,5905589516,17040343973,14742513858,0,48.01538461538462,1.02,5.09,25.8,201184202752,181056921600,10.0,19050803200,164470956032,7267393536,7267393536,541474816,17120968704,3584,533376,834274106,21503799693,6616,0,0,130719000747,0
2022-04-07 21:54:54,9883787.91,5.06,1336158.88,67380763.76,40806.43,0.0,13573.63,0.0,0.0,0.0,5905869990,17040622087,14742603646,0,48.16923076923077,1.01,4.35,24.25,201184202752,181053911040,10.0,19054026752,164320268288,7411326976,7411326976,541474816,17268432896,3456,533376,834339926,21503941076,6616,0,0,130721138613,0
2022-04-07 21:55:54,9883847.8,5.06,1336162.57,67384540.35,40806.44,0.0,13573.63,0.0,0.0,0.0,5906149560,17040899327,14742696440,0,47.98461538461538,1.0,3.74,22.79,201184202752,181053198336,10.0,19054649344,164172902400,7554703360,7554703360,541474816,17415176192,3456,533376,834481434,21504195061,6616,0,0,130723268384,0
