time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-08 07:22:22,49.74,50.0,0.24,538.58,0.0,12.0,7.57,8.22,7.22,6.2,8.43,12.09,7.29,8.07,6.9,6.11,8.19,13.42,0
2022-04-08 07:23:22,441.93,2255.62,1.15,5472.6,485.86,36.8,96.55,97.15,95.64,48.2,50.68,53.7,383.16,383.92,382.26,365.79,368.06,372.43,0
2022-04-08 07:24:22,82.47,76.23,1.87,7994.92,4.38,9.96,13.31,14.93,13.83,12.16,12.91,15.34,11.94,13.85,12.61,11.15,11.74,14.95,0
2022-04-08 07:25:22,51.9,40.72,1.64,7074.15,0.0,9.82,8.55,9.88,7.87,6.5,8.41,10.69,6.5,8.23,5.92,4.44,6.25,9.37,0
2022-04-08 07:26:22,55.78,39.41,1.58,6726.74,0.0,10.17,9.0,10.43,8.78,7.28,8.98,11.31,6.18,7.87,6.01,4.41,6.0,8.94,0
2022-04-08 07:27:22,75.14,37.92,1.47,6361.83,0.0,10.69,11.79,14.35,11.99,10.86,11.85,14.28,5.6,7.15,5.84,4.8,5.68,8.84,0
2022-04-08 07:28:22,63.21,42.78,1.57,6909.32,0.0,10.69,10.12,10.94,9.66,8.83,10.73,12.92,6.6,7.55,6.15,5.31,7.06,10.11,0
2022-04-08 07:29:22,67.28,45.04,1.58,6933.48,0.0,16.42,11.01,12.12,10.69,9.37,10.79,13.28,7.13,8.5,6.91,5.58,6.82,10.1,0
2022-04-08 07:30:22,108.08,40.78,1.55,6865.03,0.0,13.36,17.91,18.91,17.17,15.91,17.77,20.41,6.23,7.55,5.62,4.81,6.5,10.07,0
2022-04-08 07:31:22,44.53,57.79,1.61,6948.34,0.0,11.96,7.5,8.68,6.86,5.05,6.84,9.59,9.4,10.92,8.84,7.26,8.9,12.47,0
2022-04-08 07:32:22,68.83,83.61,1.92,8419.32,0.0,15.14,11.09,12.68,11.21,9.78,10.65,13.42,13.17,15.01,13.42,12.33,13.05,16.63,0
2022-04-08 07:33:22,69.9,91.1,1.92,8514.96,0.0,16.36,11.61,12.59,11.06,9.59,11.48,13.57,14.74,16.03,14.26,13.18,14.97,17.92,0
2022-04-08 07:34:22,2754.29,476.52,1.07,5382.83,603.77,41.88,462.06,462.63,461.4,453.16,455.68,459.36,79.33,80.32,78.84,76.1,78.19,83.73,0
