time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-06 02:52:16,6853435.76,4.61,815951.37,61034540.44,32585.85,0.0,7711.16,0.0,0.0,0.0,5088088800,12428725154,10178796855,0,55.2,29.75,57.0,58.67,201184202752,197682835456,1.7,2425200640,177867087872,9526087680,9526087680,539430912,20352483328,4352,533336,660295274,17482460905,5694,0,0,116823258188,0
2022-04-06 02:53:16,6853437.55,4.61,815955.84,61038372.78,32585.86,0.0,7711.16,0.0,0.0,0.0,5088380392,12428957712,10178875405,0,49.784615384615385,10.96,46.64,55.0,201184202752,197639921664,1.8,2470653952,182070824960,7423389696,7423389696,539430912,16103292928,4096,533336,660297570,17482586708,5694,0,0,116825444017,0
2022-04-06 02:54:16,6853496.84,4.61,815959.63,61042149.03,32585.88,0.0,7711.16,0.0,0.0,0.0,5088669875,12429245459,10178974574,0,48.26153846153846,4.69,38.34,51.62,201184202752,193204260864,4.0,6903762944,177639337984,7422226432,7422226432,539430912,16101670912,3968,533336,660304422,17482977396,5694,0,0,116825858523,0
2022-04-06 02:55:16,6853548.4,4.61,815971.19,61045925.37,32585.89,0.0,7711.16,0.0,0.0,0.0,5088957626,12429526435,10179065757,0,48.16923076923078,2.36,31.54,48.45,201184202752,171677216768,14.7,28430811136,156111011840,7423774720,7423774720,539430912,16102948864,3840,533336,660304774,17490054465,5694,0,0,116827787266,0
2022-04-06 02:56:16,6853609.16,4.61,815973.55,61049701.43,32586.38,0.0,7711.16,0.0,0.0,0.0,5089249153,12429808841,10179156634,0,48.13846153846154,1.5,25.98,45.48,201184202752,171682463744,14.7,28425515008,156031225856,7508807680,7508807680,539430912,16188030976,3840,533336,660382774,17490059235,5694,0,0,116828242499,0
2022-04-06 02:57:16,6853670.27,4.61,815976.11,61053477.35,32586.96,0.0,7711.16,0.0,0.0,0.0,5089540077,12430091238,10179248526,0,48.153846153846146,1.18,21.44,42.7,201184202752,171685466112,14.7,28421861376,155798204416,7744819200,7744819200,539430912,16424706048,3840,533336,660608074,17490120903,5694,0,0,116828629776,0
2022-04-06 02:58:16,6853731.41,4.61,815978.79,61057252.31,32587.24,0.0,7711.16,0.0,0.0,0.0,5089830882,12430373605,10179340048,0,48.323076923076925,1.12,17.73,40.1,201184202752,171685257216,14.7,28422025216,155594162176,7944773632,7944773632,539430912,16628584448,3840,533336,660802622,17490340227,5694,0,0,116829017242,0
2022-04-06 02:59:16,6853792.47,4.61,815981.49,61061028.27,32587.72,0.0,7711.16,0.0,0.0,0.0,5090120411,12430654805,10179432921,0,48.43076923076922,0.96,14.67,37.64,201184202752,171687608320,14.7,28420321280,155354091520,8181309440,8181309440,539430912,16870359040,3840,533336,661034642,17490589497,5694,0,0,116829404430,0
2022-04-06 03:00:16,6853853.58,4.61,815984.38,61064801.54,32588.07,0.0,7711.16,0.0,0.0,0.0,5090410670,12430937295,10179525411,0,48.06153846153846,0.99,12.18,35.35,201184202752,171689107456,14.7,28418822144,155114139648,8417153024,8417153024,539430912,17111810048,3712,533336,661267438,17490841447,5694,0,0,116829793282,0
2022-04-06 03:01:16,6853913.14,4.61,815988.55,61068577.45,32588.51,0.0,7711.16,0.0,0.0,0.0,5090699721,12431218757,10179617280,0,47.95384615384615,0.99,10.15,33.2,201184202752,175590711296,12.7,24517210112,158876987392,8552366080,8552366080,539430912,17250574336,3712,533336,661412030,17495007174,5694,0,0,116831135083,0
2022-04-06 03:02:16,6853972.74,4.61,815992.66,61072352.95,32588.52,0.0,7711.16,0.0,0.0,0.0,5090988794,12431500364,10179705213,0,47.969230769230776,0.96,8.47,31.18,201184202752,194501865472,3.3,5606072320,177788104704,8306782208,8306782208,539430912,17250594816,3456,533336,661412418,17495426768,5694,0,0,116836897555,0
2022-04-06 03:03:17,6854033.7,4.61,815995.58,61076127.58,32588.53,0.0,7711.16,0.0,0.0,0.0,5091276379,12431780636,10179797473,0,48.030769230769224,0.99,7.11,29.29,201184202752,192484593664,4.3,7623340032,175770832896,7834439680,7834439680,539430912,17250598912,3456,533336,661412702,17495925046,5694,0,0,116837261950,0
