time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-07 11:41:49,48.09,49.25,0.22,511.05,0.0,11.25,7.07,8.02,6.76,6.16,8.08,12.0,6.91,8.03,6.66,6.17,8.03,13.46,0
2022-04-07 11:42:49,432.09,2161.36,1.12,5435.8,574.77,36.1,93.46,94.12,93.0,48.07,50.4,53.06,366.7,367.44,366.01,350.95,353.02,357.23,0
2022-04-07 11:43:49,79.39,72.69,1.84,8054.81,4.39,12.63,13.1,14.21,12.55,11.46,12.88,15.2,11.67,13.08,11.16,10.34,11.66,14.78,0
2022-04-07 11:44:49,45.58,33.18,1.64,7094.71,0.0,10.12,7.05,8.0,6.83,6.16,7.75,9.79,4.94,6.05,4.63,3.89,5.41,8.25,0
2022-04-07 11:45:49,41.88,36.84,1.44,6325.98,0.0,11.75,6.55,7.41,6.0,5.49,7.29,9.14,5.63,6.61,5.1,4.45,6.19,8.85,0
2022-04-07 11:46:49,240.71,96.1,1.5,6429.14,0.0,34.28,41.8,40.76,44.28,36.27,37.34,40.26,15.28,17.67,15.35,13.67,15.46,18.66,0
2022-04-07 11:47:49,234.98,88.26,1.57,6749.53,0.0,29.15,39.24,40.26,38.8,36.99,38.68,41.01,14.05,15.41,13.74,12.81,14.48,17.77,0
2022-04-07 11:48:49,129.15,79.77,1.59,6668.36,0.0,41.11,21.59,22.95,21.21,19.39,20.89,23.13,12.63,14.27,12.43,11.52,12.89,16.04,0
2022-04-07 11:49:49,191.26,90.01,1.59,6761.36,0.0,27.97,32.3,33.21,31.52,29.55,31.28,33.4,14.67,15.97,14.0,12.97,14.63,17.76,0
2022-04-07 11:50:49,1480.45,2333.45,0.54,2762.82,0.0,85.23,247.75,248.36,247.01,242.88,245.31,249.14,388.05,388.84,387.31,386.44,388.7,394.1,0
2022-04-07 11:51:49,68.44,85.51,2.1,8773.98,0.0,17.98,11.6,12.61,10.89,9.37,10.97,13.0,14.0,15.37,13.45,12.22,13.77,16.7,0
