time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-06 01:47:07,6726720.32,4.61,795881.11,60931915.52,32153.81,0.0,7467.55,0.0,0.0,0.0,5065685667,12246376386,9993629179,0,54.615384615384606,0.15,1.92,18.19,201184202752,197680803840,1.7,2427228160,179133960192,8303128576,8303128576,537387008,19085627392,4608,533272,652536550,17304240740,5654,0,0,116195493976,0
2022-04-06 01:48:07,6726722.66,4.61,795885.78,60935747.87,32153.82,0.0,7467.55,0.0,0.0,0.0,5065977071,12246610145,9993709413,0,49.784615384615385,0.18,1.6,17.06,201184202752,197597585408,1.8,2512896000,182036344832,7422894080,7422894080,537387008,16097574912,4096,533272,652537074,17304370924,5654,0,0,116197372870,0
2022-04-06 01:49:07,6726782.14,4.61,795889.37,60939524.17,32153.83,0.0,7467.55,0.0,0.0,0.0,5066265717,12246896016,9993807357,0,48.06153846153846,0.7,1.49,16.06,201184202752,193196855296,4.0,6911168512,177639952384,7421939712,7421939712,537387008,16095694848,3968,533272,652543478,17304761607,5654,0,0,116197738920,0
2022-04-06 01:50:07,6726834.81,4.61,795900.41,60943300.67,32153.84,0.0,7467.55,0.0,0.0,0.0,5066552874,12247176132,9993898748,0,48.06153846153846,0.89,1.4,15.12,201184202752,171669368832,14.7,28438671360,156109369344,7425036288,7425036288,537387008,16098775040,3968,533272,652543918,17310045701,5654,0,0,116199576185,0
2022-04-06 01:51:07,6726896.37,4.61,795902.48,60947077.05,32153.97,0.0,7467.55,0.0,0.0,0.0,5066841958,12247457385,9993990739,0,48.06153846153846,1.02,1.35,14.24,201184202752,171670818816,14.7,28436860928,156026949632,7508905984,7508905984,537387008,16183005184,3840,533272,652591766,17310049385,5654,0,0,116199963655,0
2022-04-06 01:52:07,6726957.73,4.61,795904.61,60950851.72,32154.76,0.0,7467.55,0.0,0.0,0.0,5067133182,12247739332,9994082265,0,48.030769230769224,1.01,1.28,13.41,201184202752,171670720512,14.7,28436738048,155792093184,7743139840,7743139840,537387008,16417984512,3840,533272,652751074,17310053257,5654,0,0,116200350977,0
2022-04-06 01:53:07,6727019.08,4.61,795907.01,60954626.6,32156.36,0.0,7467.55,0.0,0.0,0.0,5067427957,12248023333,9994174273,0,48.184615384615384,1.0,1.23,12.63,201184202752,171672195072,14.7,28435742720,155592060928,7939833856,7939833856,537387008,16619012096,3712,533272,653015318,17310187659,5654,0,0,116200738553,0
2022-04-06 01:54:07,6727080.4,4.61,795909.42,60958402.09,32157.29,0.0,7467.55,0.0,0.0,0.0,5067719772,12248306595,9994266148,0,48.44615384615385,1.05,1.21,11.91,201184202752,171671269376,14.7,28435435520,155354595328,8171212800,8171212800,537387008,16856784896,3712,533272,653277962,17310433034,5654,0,0,116201126133,0
2022-04-06 01:55:07,6727141.65,4.61,795911.7,60962177.86,32158.11,0.0,7467.55,0.0,0.0,0.0,5068008926,12248587470,9994356362,0,48.0,1.02,1.17,11.23,201184202752,171672735744,14.7,28434825216,155118235648,8402845696,8402845696,537387008,17093754880,3584,533272,653394710,17310677192,5654,0,0,116201513380,0
2022-04-06 01:56:07,6727202.13,4.61,795914.67,60965953.3,32159.06,0.0,7467.55,0.0,0.0,0.0,5068299431,12248869419,9994446491,0,48.07692307692307,1.01,1.14,10.59,201184202752,171684200448,14.7,28423499776,154976505856,8551735296,8551735296,537387008,17246810112,3584,533272,653648890,17313013565,5654,0,0,116201903438,0
2022-04-06 01:57:07,6727260.91,4.61,795919.57,60969729.64,32159.07,0.0,7467.55,0.0,0.0,0.0,5068586860,12249151600,9994539536,0,49.353846153846156,0.97,1.1,9.98,201184202752,194650349568,3.2,5457641472,177942044672,8343318528,8343318528,537387008,17247129600,3328,533272,653650978,17314839203,5654,0,0,116208620864,0
2022-04-06 01:58:07,6727321.62,4.61,795922.44,60973506.21,32159.08,0.0,7467.55,0.0,0.0,0.0,5068875266,12249432106,9994631296,0,47.98461538461538,0.99,1.08,9.42,201184202752,192627204096,4.3,7480782848,175918923776,7871070208,7871070208,537387008,17247109120,3456,533272,653651270,17315336786,5654,0,0,116208983642,0
2022-04-06 01:59:07,6727382.71,4.61,795925.14,60977282.81,32159.09,0.0,7467.55,0.0,0.0,0.0,5069162290,12249711972,9994723922,0,48.06153846153846,1.0,1.07,8.89,201184202752,191020318720,5.1,9087664128,174312026112,7429038080,7429038080,537391104,17247121408,3328,533272,653651638,17315534412,5654,0,0,116209346980,0
2022-04-06 02:00:07,6727439.89,4.61,795931.39,60981056.35,32159.1,0.0,7467.55,0.0,0.0,0.0,5069451392,12249993300,9994815541,0,48.030769230769224,0.97,1.04,8.39,201184202752,181030105088,10.0,19076845568,164294168576,7449456640,7449456640,537391104,17275797504,3456,533272,653660702,17317804090,5654,0,0,116210961919,0
2022-04-06 02:01:07,6727499.83,4.61,795934.94,60984832.73,32159.11,0.0,7467.55,0.0,0.0,0.0,5069739632,12250274052,9994908758,0,48.01538461538462,0.99,1.03,7.93,201184202752,181028544512,10.0,19078680576,164146065408,7592386560,7592386560,537391104,17422065664,3328,533272,653747074,17317968981,5654,0,0,116213093747,0
2022-04-06 02:02:07,6727559.6,4.61,795938.56,60988609.12,32159.13,0.0,7467.55,0.0,0.0,0.0,5070028632,12250555392,9995000920,0,48.030769230769224,1.0,1.03,7.5,201184202752,181026111488,10.0,19081469952,163996573696,7735832576,7735832576,537391104,17568768000,3328,533272,653889222,17318266162,5654,0,0,116215223970,0
2022-04-06 02:03:07,6727619.52,4.61,795942.2,60992385.57,32159.28,0.0,7467.55,0.0,0.0,0.0,5070316048,12250835539,9995092655,0,48.09230769230769,1.0,1.02,7.09,201184202752,181031591936,10.0,19075952640,163853111296,7879749632,7879749632,537391104,17717747712,3072,533272,654062838,17318503776,5654,0,0,116217353891,0
2022-04-06 02:04:08,6727679.41,4.61,795945.9,60996162.19,32159.29,0.0,7467.55,0.0,0.0,0.0,5070604685,12251116233,9995184202,0,48.04615384615385,1.0,1.02,6.71,201184202752,181031714816,10.0,19076096000,163708231680,8021131264,8021131264,537391104,17862483968,2944,533272,654171966,17318793207,5654,0,0,116219483928,0
2022-04-06 02:05:08,6727739.36,4.61,795949.48,60999938.7,32159.31,0.0,7467.55,0.0,0.0,0.0,5070892595,12251396603,9995277593,0,48.07692307692307,1.0,1.01,6.35,201184202752,181028990976,10.0,19078098944,163561320448,8161189888,8161189888,537391104,18007392256,3072,533272,654307794,17319104713,5654,0,0,116221614566,0
2022-04-06 02:06:08,6727799.21,4.61,795953.16,61003715.27,32159.34,0.0,7467.55,0.0,0.0,0.0,5071181619,12251677919,9995371277,0,48.07692307692307,1.0,1.01,6.02,201184202752,181030703104,10.0,19076591616,163415302144,8304816128,8304816128,537391104,18154917888,2944,533272,654448154,17319374858,5654,0,0,116223755453,0
2022-04-06 02:07:08,6727858.87,4.61,795956.74,61007488.91,32159.37,0.0,7467.55,0.0,0.0,0.0,5071469418,12251959042,9995463631,0,48.06153846153846,1.0,1.01,5.7,201184202752,181032382464,10.0,19075932160,163268300800,8449359872,8449359872,537391104,18302578688,3072,533272,654590354,17319666754,5654,0,0,116225909883,0
2022-04-06 02:08:08,6727918.73,4.61,795960.43,61011265.22,32159.58,0.0,7467.55,0.0,0.0,0.0,5071759164,12252241588,9995556695,0,48.030769230769224,1.08,1.03,5.41,201184202752,181030875136,10.0,19076546560,163119783936,8592654336,8592654336,537391104,18450481152,2944,533272,654771610,17319897466,5654,0,0,116228064607,0
2022-04-06 02:09:08,6727978.47,4.61,795964.15,61015039.95,32159.6,0.0,7467.55,0.0,0.0,0.0,5072047230,12252522581,9995649171,0,48.01538461538462,1.03,1.03,5.14,201184202752,181576314880,9.7,18531209216,163517108224,8736616448,8736616448,537391104,18598494208,2944,533272,654874538,17320168119,5654,0,0,116230219077,0
2022-04-06 02:10:08,6728038.54,4.61,795967.14,61018814.01,32160.23,0.0,7467.55,0.0,0.0,0.0,5072336964,12252803824,9995741411,0,48.09230769230769,1.13,1.05,4.89,201184202752,182280646656,9.4,17827581952,164119031808,8718036992,8718036992,537391104,18700197888,2944,533272,655048090,17320347008,5654,0,0,116232000854,0
2022-04-06 02:11:08,6728099.42,4.61,795969.01,61022587.05,32160.24,0.0,7467.55,0.0,0.0,0.0,5072625798,12253083496,9995834747,0,48.323076923076925,1.05,1.04,4.65,201184202752,182281891840,9.4,17826852864,164119760896,8306343936,8306343936,537391104,18700197888,2816,533272,655049138,17320392151,5654,0,0,116232387967,0
2022-04-06 02:12:08,6728160.48,4.61,795971.04,61026362.04,32160.25,0.0,7467.55,0.0,0.0,0.0,5072915916,12253364921,9995929775,0,48.030769230769224,1.02,1.04,4.42,201184202752,182281576448,9.4,17826361344,164120252416,7893553152,7893553152,537391104,18700197888,2688,533272,655049746,17320450957,5654,0,0,116232775452,0
2022-04-06 02:13:08,6728220.98,4.61,795973.4,61030138.42,32160.26,0.0,7467.55,0.0,0.0,0.0,5073205186,12253645381,9996023392,0,48.01538461538462,0.94,1.01,4.2,201184202752,192479047680,4.3,7628926976,174315909120,7497052160,7497052160,537391104,18701975552,2816,533272,655050438,17321432922,5654,0,0,116235653039,0
2022-04-06 02:14:08,6731228.5,4.61,796658.17,61030287.86,32160.43,0.0,7469.35,0.0,0.0,0.0,5073599585,12257647797,10000442031,0,2791.0615384615385,42.54,12.94,8.1,201184202752,183359098880,8.9,16742400000,165186457600,7508738048,7508738048,537391104,18717954048,11392,533272,655066710,17328303524,5661,0,0,116240530710,0
