time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-09 21:29:22,13747508.4,5.31,2011670.83,73777929.63,52130.59,0.0,20755.94,0.0,0.0,0.0,6826891953,22755662366,20442946296,0,55.353846153846156,0.04,0.04,0.05,201184202752,197668077568,1.7,2439946240,177963536384,9346957312,9346957312,542945280,20237774848,4992,533400,1057498798,26734539546,7708,0,0,148106919141,0
2022-04-09 21:30:22,13747510.8,5.31,2011675.87,73781761.91,52130.61,0.0,20755.94,0.0,0.0,0.0,6827184475,22755898492,20443025076,0,49.4,0.11,0.06,0.05,201184202752,197630627840,1.8,2478010368,182136733696,7243649024,7243649024,542945280,16026513408,4864,533400,1057500642,26734672539,7708,0,0,148109099649,0
2022-04-09 21:31:22,13747570.42,5.31,2011679.92,73785534.78,52130.62,0.0,20755.94,0.0,0.0,0.0,6827471641,22756181323,20443121189,0,47.95384615384615,0.64,0.22,0.1,201184202752,193194934272,4.0,6912962560,177704091648,7242752000,7242752000,542945280,16024203264,4736,533400,1057508138,26735061150,7708,0,0,148109480393,0
2022-04-09 21:32:22,13747623.08,5.31,2011691.06,73789310.61,52130.63,0.0,20755.94,0.0,0.0,0.0,6827759180,22756461987,20443212916,0,47.92307692307692,0.87,0.36,0.16,201184202752,171658698752,14.7,28448825344,156164931584,7245676544,7245676544,542945280,16027500544,4608,533400,1057508398,26740332777,7708,0,0,148111317623,0
2022-04-09 21:33:22,13747684.28,5.31,2011692.97,73793086.98,52130.78,0.0,20755.95,0.0,0.0,0.0,6828047130,22756743651,20443304384,0,48.56923076923077,0.92,0.46,0.21,201184202752,171661152256,14.7,28445958144,156083646464,7329562624,7329562624,542945280,16111652864,4480,533400,1057594522,26740337391,7708,0,0,148111705021,0
2022-04-09 21:34:22,13747745.03,5.31,2011694.57,73796862.57,52131.78,0.0,20755.95,0.0,0.0,0.0,6828340436,22757029343,20443394060,0,48.30769230769231,1.06,0.59,0.27,201184202752,171661787136,14.7,28446003200,155844538368,7569436672,7569436672,542945280,16350715904,4352,533400,1057732766,26740341351,7708,0,0,148112092536,0
2022-04-09 21:35:22,13747805.42,5.31,2011696.73,73800637.72,52133.25,0.0,20755.95,0.0,0.0,0.0,6828633513,22757314998,20443484122,0,48.04615384615385,1.02,0.67,0.31,201184202752,171662307328,14.7,28446027776,155643695104,7770808320,7770808320,542945280,16551534592,4224,533400,1058015134,26740476284,7708,0,0,148112603934,0
2022-04-09 21:36:22,13747864.76,5.31,2011700.61,73804413.04,52134.19,0.0,20755.95,0.0,0.0,0.0,6828924563,22757599539,20443575814,0,47.95384615384615,1.01,0.73,0.36,201184202752,171662946304,14.7,28444577792,155414450176,8000692224,8000692224,542945280,16782229504,4224,533400,1058243578,26740719510,7708,0,0,148113307947,0
2022-04-09 21:37:22,13747923.32,5.31,2011704.07,73808189.34,52134.26,0.0,20755.95,0.0,0.0,0.0,6829213648,22757880940,20443665343,0,48.292307692307695,1.0,0.78,0.4,201184202752,171663523840,14.7,28444327936,155185553408,8230039552,8230039552,542949376,17011372032,4224,533400,1058468166,26740962321,7708,0,0,148114051095,0
2022-04-09 21:38:22,13747980.03,5.31,2011709.56,73811965.61,52134.3,0.0,20755.95,0.0,0.0,0.0,6829502564,22758162496,20443754933,0,48.215384615384615,1.0,0.82,0.44,201184202752,171674636288,14.7,28433211392,155053473792,8373149696,8373149696,542949376,17154568192,3968,533400,1058601426,26742232776,7708,0,0,148115943002,0
2022-04-09 21:39:22,13748031.43,5.31,2011720.47,73815741.84,52134.36,0.0,20755.95,0.0,0.0,0.0,6829790984,22758444338,20443847052,0,49.12307692307692,1.04,0.87,0.48,201184202752,194943770624,3.1,5164077056,178322608128,8234254336,8234254336,542949376,17154568192,4096,533400,1058615154,26747875227,7708,0,0,148124827984,0
2022-04-09 21:40:22,13748091.42,5.31,2011722.82,73819514.95,52134.37,0.0,20755.95,0.0,0.0,0.0,6830079155,22758724973,20443937102,0,48.0,1.06,0.91,0.52,201184202752,192904364032,4.1,7203540992,176283111424,7759532032,7759532032,542949376,17154600960,3968,533400,1058615570,26748380003,7708,0,0,148125192150,0
2022-04-09 21:41:22,13748152.29,5.31,2011725.36,73823288.1,52134.38,0.0,20755.95,0.0,0.0,0.0,6830365835,22759005402,20444028424,0,48.30769230769231,1.08,0.94,0.55,201184202752,191195979776,5.0,8911925248,174574714880,7343611904,7343611904,542949376,17154613248,3840,533400,1058616178,26748646533,7708,0,0,148125554623,0
2022-04-09 21:42:22,13748209.57,5.31,2011731.2,73827064.72,52134.39,0.0,20755.95,0.0,0.0,0.0,6830653872,22759286608,20444119699,0,48.10769230769231,1.03,0.95,0.58,201184202752,181028061184,10.0,19079888896,164399054848,7250866176,7250866176,542949376,17162309632,3712,533400,1058623910,26750908030,7708,0,0,148126888524,0
2022-04-09 21:43:22,13748268.87,5.31,2011734.33,73830841.25,52134.52,0.0,20755.95,0.0,0.0,0.0,6830941655,22759567288,20444210940,0,47.95384615384615,1.06,0.97,0.61,201184202752,181025849344,10.0,19081814016,164253077504,7394578432,7394578432,542949376,17306361856,3712,533400,1058754478,26751052786,7708,0,0,148129026249,0
