time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-09 21:29:25,54.6,54.16,0.23,507.06,0.0,14.65,8.45,9.23,8.12,6.98,9.02,12.79,8.05,9.03,7.74,6.76,8.62,13.97,0
2022-04-09 21:30:25,443.03,2299.51,1.13,5450.77,342.68,29.05,96.78,97.45,96.48,48.4,50.51,53.41,390.42,390.95,389.91,373.41,375.26,379.55,0
2022-04-09 21:31:25,112.72,97.08,1.67,7978.14,4.38,27.75,18.22,19.5,17.94,16.6,18.58,21.89,15.14,16.75,14.92,13.98,15.87,20.42,0
2022-04-09 21:32:25,69.84,48.78,1.65,7073.17,0.0,12.77,11.07,12.07,11.12,10.28,11.57,13.73,7.51,8.6,7.57,6.6,7.8,10.7,0
2022-04-09 21:33:25,64.43,56.32,1.55,6388.18,0.0,17.91,10.48,11.48,10.04,9.16,10.97,12.3,8.98,10.37,8.71,7.5,9.22,11.55,0
2022-04-09 21:34:25,76.5,68.1,1.55,6447.73,0.0,21.52,12.18,13.43,12.31,11.71,12.35,14.52,10.59,12.15,11.08,10.12,10.55,13.61,0
2022-04-09 21:35:25,198.09,166.19,1.43,6874.35,0.0,17.99,32.38,33.27,32.51,31.15,32.63,36.16,26.73,27.73,26.84,25.78,27.11,32.0,0
2022-04-09 21:36:25,211.02,113.41,1.42,6719.57,0.0,40.08,35.59,36.55,35.14,32.15,34.05,37.54,17.96,19.06,17.68,16.79,18.53,23.39,0
2022-04-09 21:37:25,176.46,117.83,1.42,6785.86,0.0,41.41,29.59,30.15,29.18,26.77,28.91,31.86,19.0,19.76,18.59,17.38,19.35,23.76,0
2022-04-09 21:38:25,1932.75,2512.46,0.5,2495.98,0.0,81.84,322.11,322.71,321.67,319.65,321.6,325.01,417.03,417.53,416.47,417.56,419.48,424.39,0
2022-04-09 21:39:25,64.5,82.22,2.13,8787.31,0.0,18.79,10.53,11.67,10.38,9.11,10.53,12.3,13.2,14.54,13.12,11.96,13.39,16.0,0
2022-04-09 21:40:25,71.43,87.27,2.15,8844.79,0.0,13.78,11.8,13.12,11.63,10.18,11.52,13.19,14.12,15.65,14.09,12.74,14.04,16.64,0
2022-04-09 21:41:25,51.55,57.41,2.29,9363.55,0.0,12.87,8.45,10.12,8.35,6.67,7.96,10.01,9.17,11.23,9.22,7.48,8.72,11.6,0
2022-04-09 21:42:25,57.43,37.86,1.44,5888.44,0.0,10.56,8.81,10.49,9.15,8.51,9.18,11.28,5.42,7.38,6.01,4.98,5.56,8.51,0
2022-04-09 21:43:25,60.2,40.06,1.57,6474.92,0.0,9.58,9.65,11.07,9.18,8.22,10.21,11.87,6.11,7.93,5.77,4.58,6.54,9.13,0
2022-04-09 21:44:25,65.29,44.47,1.61,6623.58,0.0,10.82,10.82,12.26,10.18,8.64,10.71,12.69,7.23,8.98,6.7,4.86,6.85,9.85,0
2022-04-09 21:45:25,63.89,39.72,1.65,6786.37,0.0,8.64,10.39,11.62,9.84,8.88,11.04,12.12,6.27,7.68,5.75,4.55,6.78,8.69,0
2022-04-09 21:46:25,58.05,36.76,1.48,6087.84,0.0,12.06,9.3,10.57,9.0,7.93,9.8,11.46,5.6,7.32,5.45,4.06,5.86,8.47,0
2022-04-09 21:47:25,58.92,38.31,1.33,5483.5,0.0,9.24,9.36,11.02,9.08,7.84,9.95,11.68,5.69,7.84,5.53,4.15,6.2,8.9,0
2022-04-09 21:48:26,60.95,52.29,1.24,6039.14,0.0,12.48,9.4,10.41,9.07,8.16,10.23,13.68,7.67,8.86,7.37,6.56,8.45,13.38,0
2022-04-09 21:49:26,61.27,49.22,1.26,6063.48,0.0,16.55,9.12,10.56,9.18,8.53,10.29,13.59,6.84,8.45,6.95,6.3,7.99,12.7,0
2022-04-09 21:50:26,58.26,41.23,1.48,6123.07,0.0,11.78,9.42,10.69,9.06,8.06,9.66,11.37,6.43,8.14,6.22,4.93,6.42,9.09,0
2022-04-09 21:51:26,395.42,213.03,1.4,5905.84,0.08,44.98,65.92,67.42,66.05,63.85,64.98,67.2,34.84,36.64,35.16,33.69,34.79,37.92,0
2022-04-09 21:52:26,180.04,109.67,2.06,8482.52,0.0,22.73,30.14,31.45,29.35,27.68,29.84,31.59,18.14,19.87,17.54,15.71,17.91,20.5,0
2022-04-09 21:53:26,175.92,109.36,1.98,8193.24,6.62,14.84,28.94,30.43,28.61,27.62,29.2,31.12,17.64,19.6,17.47,16.26,17.76,20.63,0
2022-04-09 21:54:26,87.62,80.01,2.12,8699.96,0.0,12.5,14.17,15.59,13.77,12.96,14.65,16.49,12.79,14.57,12.45,11.38,13.04,15.78,0
2022-04-09 21:55:26,185.42,111.42,2.01,8383.87,1.18,27.82,30.5,32.0,30.21,29.2,30.68,32.81,18.02,19.81,17.86,16.63,18.01,21.09,0
2022-04-09 21:56:26,74108.88,42608.73,0.85,147078.28,14.89,87.49,12362.25,12362.53,12364.09,12339.19,12338.93,12341.89,7105.27,7106.49,7107.21,7095.64,7095.95,7098.19,0
2022-04-09 21:57:26,27207.51,12691.09,1.03,177931.38,0.0,37.77,4571.65,4560.08,4557.97,4499.71,4511.46,4506.63,2143.08,2133.85,2129.23,2089.65,2099.13,2096.14,0
2022-04-09 21:58:26,4228.44,1753.6,1.02,176703.6,2205.8,30.11,685.94,686.88,714.56,754.95,702.37,683.74,272.87,273.97,302.26,342.63,290.2,271.68,0
2022-04-09 21:59:26,52472.99,22560.64,0.89,157128.78,9000.67,79.56,8748.71,8755.91,8766.13,8742.08,8731.34,8728.82,3760.04,3765.15,3778.32,3760.05,3751.03,3746.05,0
2022-04-09 22:00:26,39677.03,6609.54,1.05,185121.69,66168.72,84.99,6613.94,6614.74,6616.83,6613.45,6609.14,6608.94,1102.85,1103.4,1105.25,1101.82,1098.32,1097.91,0
2022-04-09 22:01:26,64.89,38.16,1.37,238560.02,0.0,31.04,11.0,11.84,10.73,10.38,9.63,11.31,6.35,7.57,6.38,5.98,4.96,6.92,0
2022-04-09 22:02:26,36.02,34.43,1.37,239193.86,0.0,7.07,5.96,6.48,6.11,5.99,5.36,6.11,5.64,6.38,6.05,5.71,4.77,5.89,0
2022-04-09 22:03:26,7047.69,3271.55,0.94,165417.75,674.81,35.56,1180.75,1182.16,1182.69,1167.51,1166.79,1167.79,545.58,546.82,547.44,544.49,542.73,544.49,30
2022-04-09 22:04:26,100957.08,32343.97,0.53,93686.66,11025.8,82.62,16840.34,16837.14,16841.86,16812.04,16812.79,16812.9,5400.65,5400.66,5403.39,5380.51,5379.38,5379.39,30
2022-04-09 22:05:26,102201.39,38213.52,0.41,69755.37,8233.48,93.53,17045.05,17043.63,17045.29,17022.46,17021.76,17023.21,6375.19,6375.26,6375.66,6362.55,6361.7,6363.16,30
2022-04-09 22:06:26,99016.8,39277.19,0.45,77073.13,11460.72,85.66,16511.93,16508.7,16511.91,16495.45,16494.59,16494.23,6551.27,6550.66,6552.31,6541.19,6540.67,6541.1,30
2022-04-09 22:07:27,97295.52,40336.65,0.55,94618.16,16310.38,85.38,16248.82,16246.64,16250.34,16182.43,16183.13,16184.15,6732.85,6731.99,6733.54,6712.69,6712.29,6713.3,30
2022-04-09 22:08:27,90436.39,34760.55,0.55,94703.67,11955.44,73.18,15101.24,15097.95,15103.12,15044.0,15045.83,15044.24,5804.45,5804.33,5806.51,5781.88,5782.27,5781.11,30
2022-04-09 22:09:27,96246.76,30960.31,0.48,83446.36,10263.81,91.5,16051.55,16049.35,16054.71,16030.88,16030.04,16030.21,5167.94,5167.85,5169.75,5151.77,5151.22,5151.78,30
2022-04-09 22:10:27,99967.33,47944.03,0.38,67221.79,11824.93,89.95,16677.28,16676.54,16676.29,16644.24,16645.86,16647.11,7996.87,7997.37,7996.65,7983.21,7984.22,7985.72,30
2022-04-09 22:11:27,99400.38,39525.28,0.43,74244.27,10579.14,88.92,16574.85,16572.45,16574.95,16558.51,16559.41,16560.21,6592.61,6592.3,6593.24,6581.35,6582.38,6583.4,30
2022-04-09 22:12:27,83912.46,34891.78,0.55,95491.02,14683.49,95.33,14020.17,14017.8,14023.37,13949.99,13950.12,13951.0,5826.09,5825.71,5827.79,5803.95,5803.64,5804.61,30
