time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-06 22:30:50,53.8,53.94,0.24,556.87,0.0,15.18,8.06,8.9,7.68,6.86,9.32,12.99,7.75,8.8,7.35,6.71,9.02,14.32,0
2022-04-06 22:31:00,52.27,52.19,0.24,563.12,0.0,15.27,8.01,8.4,7.61,6.68,9.05,12.52,7.75,8.2,7.22,6.49,8.75,13.78,0
2022-04-06 22:31:10,51.14,51.43,0.24,547.06,0.0,12.01,7.64,8.47,7.26,6.58,8.68,12.51,7.37,8.35,6.98,6.44,8.46,13.82,0
2022-04-06 22:31:20,49.88,50.25,0.22,530.16,0.0,9.61,7.47,8.31,6.84,6.17,8.5,12.58,7.16,8.26,6.55,6.06,8.26,13.95,0
2022-04-06 22:31:30,51.11,51.79,0.22,511.72,0.0,12.39,7.72,8.31,7.24,6.55,8.86,12.43,7.55,8.25,7.0,6.45,8.67,13.86,0
2022-04-06 22:31:40,51.5,51.83,0.23,549.45,0.0,12.96,7.62,8.53,7.42,6.69,8.6,12.65,7.33,8.4,7.13,6.62,8.35,14.0,0
2022-04-06 22:31:50,438.19,2167.07,1.2,5754.19,570.62,37.47,94.52,95.44,94.37,49.22,50.72,53.91,367.71,368.66,367.52,352.01,353.37,357.8,0
2022-04-06 22:32:00,81.34,79.83,1.81,8026.62,4.41,10.44,13.1,14.65,12.75,11.79,13.26,15.79,12.48,14.45,12.23,11.54,12.92,16.21,0
2022-04-06 22:32:10,78.65,76.49,1.82,8016.47,4.41,10.59,12.86,14.09,12.38,11.23,12.71,15.39,12.16,13.7,11.76,10.9,12.23,15.74,0
2022-04-06 22:32:20,77.68,75.62,1.83,8058.22,4.41,11.66,12.71,13.87,12.38,11.08,12.61,15.04,12.03,13.52,11.81,10.72,12.18,15.35,0
2022-04-06 22:32:30,81.83,79.97,1.79,8036.66,4.42,13.15,13.49,14.83,13.21,11.54,12.93,15.82,12.82,14.45,12.61,11.26,12.53,16.31,0
2022-04-06 22:32:40,79.34,77.98,1.83,8059.68,4.41,13.93,13.31,14.1,12.87,11.26,12.76,15.05,12.73,13.81,12.38,11.11,12.44,15.51,0
2022-04-06 22:32:50,81.97,77.19,1.82,8011.3,4.38,13.38,13.52,14.76,13.04,11.65,13.45,15.56,12.36,13.98,11.94,10.87,12.59,15.45,0
2022-04-06 22:33:00,451.82,935.84,1.37,6918.34,0.0,17.3,81.15,81.26,80.06,66.58,69.67,73.1,156.08,156.4,154.9,152.58,155.57,160.32,0
2022-04-06 22:33:10,2542.31,2331.79,1.2,6195.49,0.0,16.53,432.2,432.36,431.39,412.37,414.85,419.15,391.17,391.41,390.33,382.8,385.09,390.98,0
2022-04-06 22:33:20,1861.31,612.33,1.82,8879.84,0.0,22.52,311.43,311.59,310.68,306.73,308.84,312.05,101.66,101.9,100.92,99.91,101.72,106.22,0
2022-04-06 22:33:30,1441.41,465.65,1.65,8386.89,0.0,42.5,240.74,241.34,240.45,237.27,238.95,242.67,76.79,77.59,76.44,75.56,77.15,82.13,0
2022-04-06 22:33:40,6157.11,4605.27,0.91,4566.71,0.0,82.75,1025.51,1026.02,1024.95,1023.91,1026.81,1029.92,766.57,767.52,766.32,764.75,767.55,772.56,0
2022-04-06 22:33:50,53.15,42.37,1.63,7086.58,0.0,11.19,8.82,9.53,8.21,6.98,8.95,10.65,6.91,7.83,6.35,5.05,6.87,9.38,0
2022-04-06 22:34:00,53.86,41.95,1.63,7105.33,0.0,11.73,8.89,9.97,8.7,7.13,8.64,10.53,6.84,8.08,6.67,4.99,6.38,9.0,0
2022-04-06 22:34:10,56.74,39.25,1.65,7043.67,0.0,10.99,9.23,10.71,8.91,7.49,9.12,11.29,6.13,7.94,5.89,4.44,5.98,8.87,0
2022-04-06 22:34:20,53.08,41.23,1.63,7084.24,0.0,11.25,8.53,10.03,8.26,7.11,8.33,10.81,6.41,8.13,6.32,5.0,6.08,9.29,0
2022-04-06 22:34:30,54.16,41.6,1.61,7020.56,0.0,9.07,9.0,10.24,8.2,6.88,8.92,10.91,6.78,8.22,6.1,4.64,6.55,9.3,0
2022-04-06 22:34:40,61.25,44.96,1.64,7059.5,0.0,10.48,10.37,11.07,10.01,8.37,9.62,11.81,7.51,8.48,7.21,5.55,6.64,9.56,0
2022-04-06 22:34:50,45.93,41.68,1.51,6484.11,0.0,9.82,7.38,8.68,7.28,6.0,7.0,9.58,6.53,8.11,6.55,5.15,6.02,9.32,0
2022-04-06 22:35:00,47.8,42.77,1.52,6506.01,0.0,11.08,8.13,9.16,7.44,5.77,7.68,9.61,7.2,8.46,6.58,4.81,6.56,9.16,0
2022-04-06 22:35:10,58.57,47.99,1.65,7069.96,0.0,8.52,10.17,10.56,9.61,7.82,9.4,11.01,8.33,8.88,7.82,5.93,7.37,9.65,0
2022-04-06 22:35:20,49.75,43.83,1.64,7081.94,0.0,9.31,8.34,9.17,7.75,6.3,8.26,9.92,7.29,8.28,6.71,5.15,6.99,9.41,0
2022-04-06 22:35:30,49.61,43.63,1.66,7072.38,0.0,9.6,7.97,9.37,7.87,6.58,8.0,9.83,6.87,8.5,6.83,5.44,6.7,9.31,0
2022-04-06 22:35:40,67.54,46.33,1.45,6228.42,0.0,14.46,11.29,12.25,10.98,9.28,11.02,12.72,7.68,8.87,7.41,5.56,7.17,9.64,0
2022-04-06 22:35:50,60.18,41.29,1.49,6408.17,0.0,12.61,9.75,10.98,9.81,8.5,9.5,11.63,6.57,7.99,6.62,5.17,6.07,8.88,0
2022-04-06 22:36:00,63.8,44.75,1.48,6391.78,0.0,10.49,10.46,11.87,10.08,8.52,10.55,12.33,7.18,8.86,6.87,5.17,7.06,9.61,0
2022-04-06 22:36:10,70.22,48.22,1.47,6332.55,0.0,13.52,11.59,12.52,11.65,10.03,11.24,13.2,7.83,9.02,7.94,6.21,7.19,10.04,0
2022-04-06 22:36:20,66.36,48.52,1.47,6426.99,0.0,10.93,10.69,12.03,10.66,9.25,10.64,13.07,7.57,9.14,7.66,6.08,7.4,10.67,0
2022-04-06 22:36:30,67.0,48.87,1.41,6250.5,0.0,10.5,10.75,11.96,10.59,9.48,11.09,13.11,7.63,9.03,7.56,6.24,7.8,10.62,0
2022-04-06 22:36:40,67.44,44.96,1.47,6431.6,0.0,10.81,10.8,12.21,11.0,9.83,10.59,13.01,6.88,8.58,7.26,5.91,6.56,9.77,0
2022-04-06 22:36:50,67.96,46.68,1.58,6896.96,0.0,12.68,11.3,12.21,10.64,9.33,10.94,13.54,7.64,8.73,7.02,5.61,7.16,10.51,0
2022-04-06 22:37:00,67.71,45.57,1.54,6854.15,0.0,11.15,10.9,11.97,10.62,9.5,11.13,13.58,7.01,8.42,6.83,5.68,7.13,10.49,0
2022-04-06 22:37:10,69.99,49.72,1.58,6886.2,0.0,12.65,11.72,12.57,10.98,9.59,11.43,13.71,8.16,9.26,7.53,6.1,7.78,10.89,0
2022-04-06 22:37:21,68.25,46.85,1.56,6825.26,0.0,10.69,11.25,12.32,10.66,9.43,11.02,13.56,7.5,8.88,6.99,5.69,7.19,10.59,0
2022-04-06 22:37:31,62.14,39.59,1.57,6888.68,0.0,12.95,9.56,11.17,9.89,9.1,9.83,12.58,5.58,7.44,6.13,5.25,5.81,9.38,0
2022-04-06 22:37:41,68.83,47.62,1.52,6669.89,0.0,9.36,11.22,12.46,10.91,9.62,10.97,13.64,7.47,9.0,7.33,5.93,7.16,10.72,0
2022-04-06 22:37:51,63.0,42.2,1.55,6863.52,0.0,11.95,9.7,11.12,10.1,9.33,9.99,12.76,6.03,7.75,6.64,5.72,6.19,9.86,0
2022-04-06 22:38:01,69.87,49.22,1.54,6897.16,0.0,12.86,11.3,12.16,11.52,10.11,11.19,13.59,7.66,8.73,8.03,6.53,7.49,10.78,0
2022-04-06 22:38:11,66.67,44.97,1.55,6897.56,0.0,13.22,10.6,11.72,10.44,9.62,10.85,13.43,6.76,8.14,6.81,5.85,6.96,10.45,0
