time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-06 23:40:00,68.73,61.48,0.27,645.38,0.0,19.79,10.65,11.19,9.95,9.44,11.92,15.57,9.38,9.93,8.55,7.88,10.26,15.49,0
2022-04-06 23:40:10,49.31,49.47,0.23,548.63,0.0,12.35,7.54,7.88,6.86,6.24,8.58,12.21,7.25,7.76,6.57,6.09,8.3,13.5,0
2022-04-06 23:40:20,50.32,50.42,0.22,509.35,0.0,12.44,7.73,8.12,7.16,6.52,8.45,12.34,7.41,7.96,6.9,6.39,8.21,13.54,0
2022-04-06 23:40:30,49.22,49.57,0.23,556.81,0.0,13.3,7.24,8.09,6.67,6.13,8.22,12.87,6.93,8.02,6.45,6.0,8.0,14.18,0
2022-04-06 23:40:40,50.62,50.92,0.23,547.6,0.0,12.96,7.44,8.28,7.19,6.52,8.54,12.65,7.16,8.17,6.92,6.42,8.27,13.98,0
2022-04-06 23:40:50,47.24,47.85,0.22,542.29,0.0,11.84,7.06,7.53,6.47,6.05,8.18,11.94,6.84,7.45,6.26,6.0,8.02,13.27,0
2022-04-06 23:41:00,730.6,2664.82,1.03,5081.51,420.75,63.99,142.83,143.35,142.42,98.46,100.16,103.38,452.27,452.8,451.78,433.42,435.04,439.51,0
2022-04-06 23:41:10,74.46,72.95,1.86,7991.6,4.37,20.73,12.18,13.11,11.91,10.9,12.22,14.13,11.91,12.98,11.69,10.52,11.63,14.24,0
2022-04-06 23:41:20,81.59,80.41,1.85,7974.76,4.39,11.75,13.31,14.77,13.55,12.01,12.74,15.2,12.84,14.55,13.24,11.82,12.4,15.56,0
2022-04-06 23:41:30,87.39,127.48,1.87,7879.9,4.37,29.77,14.53,15.58,14.22,12.82,14.29,15.96,20.85,22.08,20.68,19.5,20.91,23.44,0
2022-04-06 23:41:40,95.47,135.15,1.85,7876.61,4.38,34.66,15.81,17.2,15.78,14.05,15.38,17.24,22.03,23.76,22.24,20.62,21.86,24.64,0
2022-04-06 23:41:50,71.04,69.25,1.87,7985.68,4.39,11.83,11.34,12.65,11.69,10.68,11.1,13.58,10.83,12.27,11.25,10.42,10.66,13.82,0
2022-04-06 23:42:00,96.65,134.65,1.9,7967.29,4.39,26.38,15.92,17.63,15.92,14.2,15.43,17.56,21.83,23.89,22.02,20.52,21.66,24.73,0
2022-04-06 23:42:10,448.27,962.84,1.34,6855.95,0.0,19.82,80.14,80.26,79.5,66.97,68.67,72.72,162.24,162.45,161.59,155.96,157.62,162.98,0
2022-04-06 23:42:20,2005.3,2317.41,1.01,5143.25,0.0,32.93,345.92,346.26,345.4,319.9,322.27,325.55,388.01,388.38,387.43,381.46,383.65,388.49,0
2022-04-06 23:42:30,2169.32,661.12,1.93,9574.72,0.0,23.6,361.31,361.87,361.06,359.67,361.01,364.39,109.27,109.91,109.24,108.68,109.68,114.35,0
2022-04-06 23:42:40,1864.05,605.11,1.78,8919.82,0.0,25.84,311.25,311.66,310.98,307.86,309.42,312.87,99.86,100.3,99.81,99.22,100.62,105.3,0
2022-04-06 23:42:50,4516.0,3533.56,1.25,6358.66,0.0,70.11,751.95,753.02,751.07,750.38,752.68,756.9,588.12,589.27,587.24,586.23,588.57,594.12,0
2022-04-06 23:43:00,53.98,37.71,1.65,7074.21,0.0,8.67,8.02,9.63,8.28,7.89,8.79,11.37,5.12,6.97,5.62,4.89,5.74,9.37,0
2022-04-06 23:43:10,52.7,36.57,1.68,7058.33,0.0,9.31,7.92,9.85,8.04,7.46,8.65,10.78,5.09,7.3,5.42,4.45,5.6,8.71,0
2022-04-06 23:43:20,53.93,37.99,1.67,7049.59,0.0,9.05,8.14,9.75,8.14,7.67,8.98,11.24,5.34,7.21,5.53,4.68,5.94,9.29,0
2022-04-06 23:43:30,55.95,39.99,1.64,7023.7,0.0,5.78,8.73,10.03,8.32,7.82,9.57,11.47,6.0,7.52,5.63,4.76,6.56,9.52,0
2022-04-06 23:43:40,55.25,43.74,1.61,7019.52,0.0,7.83,8.23,10.23,8.52,7.87,8.95,11.46,6.11,8.52,6.61,5.64,6.67,10.19,0
2022-04-06 23:43:50,47.34,35.23,1.66,7050.6,0.0,6.29,7.12,8.72,7.27,6.6,7.67,9.96,4.92,6.81,5.32,4.29,5.31,8.59,0
2022-04-06 23:44:00,100.5,57.68,1.54,6649.95,0.0,10.8,16.06,17.84,15.87,14.82,16.64,19.27,8.7,10.86,8.57,7.33,9.24,12.99,0
2022-04-06 23:44:10,64.24,43.7,1.52,6701.61,0.0,9.48,10.05,11.43,9.76,8.98,10.66,13.36,6.26,7.92,6.06,5.38,7.11,10.97,0
2022-04-06 23:44:20,62.17,48.28,1.61,7062.0,0.0,7.82,9.56,11.5,9.74,8.74,9.61,13.02,6.93,9.25,7.32,6.23,7.01,11.54,0
2022-04-06 23:44:30,57.1,48.12,1.61,7027.33,0.0,7.31,9.12,10.17,8.86,7.72,9.55,11.68,7.47,8.72,7.29,5.95,7.74,10.94,0
2022-04-06 23:44:40,48.36,41.54,1.61,7020.83,0.0,6.39,7.39,8.7,7.09,6.46,8.05,10.67,6.03,7.66,5.86,5.05,6.6,10.34,0
2022-04-06 23:44:50,50.83,44.11,1.61,7022.41,0.0,7.61,7.72,9.32,7.6,6.77,8.24,11.18,6.34,8.33,6.4,5.37,6.83,10.84,0
2022-04-06 23:45:00,103.46,48.62,1.42,6392.55,0.0,7.67,16.32,17.6,16.27,15.65,17.46,20.16,6.96,8.47,6.94,6.23,8.01,12.0,0
2022-04-06 23:45:10,107.13,51.18,1.39,6326.64,0.0,7.94,16.9,18.63,16.96,16.13,17.68,20.82,7.32,9.35,7.53,6.5,8.03,12.45,0
2022-04-06 23:45:20,106.53,48.66,1.33,6386.78,0.0,10.17,16.86,18.21,16.77,16.03,17.69,20.97,6.82,8.38,6.93,6.24,7.85,12.45,0
2022-04-06 23:45:30,132.02,54.73,1.34,6256.8,0.0,14.6,22.07,22.91,21.28,19.22,21.72,24.81,8.43,9.53,7.66,6.6,9.05,13.46,0
2022-04-06 23:45:40,66.97,48.58,1.43,6354.43,0.0,7.25,10.4,11.77,10.14,9.43,11.06,14.18,7.08,8.75,6.94,6.14,7.66,12.0,0
2022-04-06 23:45:50,67.59,48.59,1.35,6278.75,0.0,10.61,10.47,11.54,10.13,9.59,11.51,14.36,7.09,8.3,6.82,6.13,8.04,12.2,0
2022-04-06 23:46:00,106.54,47.03,1.46,6835.94,0.0,8.6,16.84,18.13,16.51,16.05,17.86,21.15,6.72,8.18,6.39,5.77,7.65,12.32,0
