time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-08 16:13:08,50.12,50.97,0.23,537.3,0.0,12.52,7.71,8.3,7.0,6.16,8.72,12.22,7.55,8.26,6.78,6.13,8.6,13.65,0
2022-04-08 16:14:08,126.19,640.1,1.67,7645.2,3.29,12.39,27.15,28.15,26.56,12.67,14.54,17.12,108.27,109.52,107.68,102.49,104.29,107.84,0
2022-04-08 16:15:08,91.29,84.24,1.79,8014.14,4.4,17.24,15.02,16.7,14.5,12.89,14.84,17.35,13.45,15.49,13.04,11.77,13.58,16.91,0
2022-04-08 16:16:08,71.26,51.87,1.61,7180.35,0.0,14.42,11.79,12.67,11.13,9.89,11.67,14.1,8.3,9.51,7.73,6.68,8.12,11.53,0
2022-04-08 16:17:09,48.44,50.21,1.57,6568.58,0.0,9.07,7.73,9.36,7.81,6.36,7.69,9.5,7.82,9.88,8.04,6.39,7.69,10.39,0
2022-04-08 16:18:09,58.74,60.7,1.52,6314.77,0.0,11.19,9.35,10.97,9.08,7.98,9.71,11.65,9.57,11.53,9.44,8.02,9.68,12.46,0
2022-04-08 16:19:09,63.62,78.91,1.61,6833.5,0.0,17.32,10.26,11.46,9.85,8.84,10.79,12.41,12.65,14.13,12.32,11.15,13.04,15.62,0
2022-04-08 16:20:09,70.51,48.36,1.56,6917.41,0.0,11.65,11.6,12.55,11.01,9.84,11.67,13.84,7.73,8.97,7.28,5.99,7.68,10.72,0
2022-04-08 16:21:09,108.53,76.81,1.58,6895.94,0.0,10.07,17.6,19.12,17.69,16.51,17.46,20.17,11.92,13.72,12.19,11.22,12.09,15.66,0
2022-04-08 16:22:09,4455.25,2420.93,0.29,1460.19,0.0,74.47,746.5,747.49,746.67,735.85,737.65,741.09,405.18,406.54,405.86,398.0,399.95,405.41,0
2022-04-08 16:23:09,72.28,88.57,2.11,8801.45,0.0,15.43,12.22,13.31,11.78,10.13,11.54,13.3,14.58,15.89,14.31,12.78,14.14,16.88,0
2022-04-08 16:24:09,69.24,85.79,2.12,8892.7,0.0,14.55,11.54,12.45,11.12,9.55,11.54,13.04,14.0,15.06,13.55,12.27,14.2,16.71,0
2022-04-08 16:25:09,748.97,560.3,0.94,4796.02,1754.68,17.34,130.31,130.34,129.63,117.01,119.14,122.54,94.8,94.89,94.13,89.18,91.18,96.12,0
2022-04-08 16:26:09,56.76,43.15,1.29,5366.01,0.0,8.83,9.14,10.88,8.78,7.37,9.4,11.19,6.76,8.84,6.48,4.78,6.8,9.49,0
2022-04-08 16:27:09,537.06,533.25,1.3,5833.26,5.4,65.22,89.74,90.26,89.05,87.35,89.45,91.21,88.66,89.4,88.01,86.92,88.76,91.5,0
2022-04-08 16:28:09,278.98,714.15,1.12,5026.99,0.0,33.08,52.93,53.12,52.16,38.32,40.45,42.01,121.2,121.54,120.5,114.82,116.82,119.27,0
2022-04-08 16:29:09,57.86,42.06,1.32,5726.82,0.0,9.75,9.35,10.3,8.98,8.1,9.63,11.5,6.56,7.66,6.21,5.44,6.81,9.39,0
2022-04-08 16:30:09,61.46,38.7,1.48,6431.1,0.0,14.63,9.98,10.46,9.58,8.76,10.45,12.23,6.09,6.78,5.71,4.81,6.37,8.94,0
2022-04-08 16:31:09,57.86,41.54,1.39,5993.05,0.0,11.91,9.45,10.35,9.11,7.97,9.76,11.23,6.62,7.74,6.36,5.09,6.77,8.97,0
2022-04-08 16:32:09,624.67,914.45,1.18,5311.0,5.37,55.23,110.11,110.72,109.86,96.14,97.87,99.98,154.1,154.91,153.95,148.46,150.0,153.03,0
2022-04-08 16:33:09,47.86,39.84,1.22,5234.34,0.0,12.86,7.5,8.83,7.41,6.59,7.58,9.95,6.06,7.67,6.15,5.05,5.9,9.01,0
2022-04-08 16:34:09,56.13,42.94,1.29,5644.54,0.0,11.85,9.01,9.85,8.4,7.8,9.3,11.78,6.67,7.82,6.19,5.45,6.77,10.06,0
2022-04-08 16:35:09,60.99,39.1,1.27,5504.39,0.0,12.39,9.65,10.99,9.41,8.75,10.04,12.14,5.9,7.54,5.83,4.89,6.04,8.9,0
2022-04-08 16:36:09,186.11,122.09,1.93,8360.67,0.0,25.16,30.7,32.0,30.4,29.43,30.53,33.03,19.9,21.44,19.82,18.62,19.49,22.83,0
2022-04-08 16:37:09,145.04,114.25,1.9,8243.32,0.0,19.31,23.65,24.97,23.47,22.51,24.12,26.33,18.41,20.07,18.28,17.17,18.64,21.69,0
2022-04-08 16:38:10,186.33,106.33,2.01,8849.01,0.0,36.16,30.55,31.81,30.06,29.45,30.94,33.52,17.04,18.61,16.73,15.96,17.29,20.69,0
2022-04-08 16:39:10,2271.81,1670.4,1.1,5624.97,0.0,60.39,378.65,379.47,378.39,375.58,377.78,381.94,277.96,278.97,277.72,275.35,277.41,282.98,0
2022-04-08 16:40:10,75293.75,43246.68,0.85,145149.84,15.45,87.57,12559.08,12558.62,12561.4,12537.62,12538.01,12539.02,7210.61,7210.93,7213.66,7203.95,7203.93,7203.61,0
2022-04-08 16:41:10,64423.04,23661.9,0.84,147721.26,30511.65,62.91,10759.5,10755.25,10757.0,10715.69,10717.91,10717.69,3957.19,3956.81,3958.63,3930.52,3931.13,3927.63,0
2022-04-08 16:42:10,49217.1,18456.86,0.75,132546.57,3786.77,65.15,8220.52,8217.65,8221.59,8186.74,8184.29,8186.31,3090.6,3089.05,3093.32,3063.06,3059.7,3061.13,0
2022-04-08 16:43:10,59367.57,15645.87,1.12,196439.72,56562.77,82.55,9898.76,9898.95,9900.66,9890.03,9888.55,9890.62,2611.31,2611.88,2613.06,2604.22,2602.16,2603.26,0
2022-04-08 16:44:10,32338.35,12694.83,0.93,161013.84,11458.46,79.47,5392.37,5394.21,5388.07,5393.42,5381.65,5388.63,2117.91,2120.11,2113.13,2120.29,2108.51,2114.89,0
2022-04-08 16:45:10,57.31,58.25,1.74,306966.55,0.0,12.14,10.03,10.99,10.39,9.4,7.45,9.04,10.14,11.4,10.42,9.8,7.23,9.25,0
2022-04-08 16:46:10,334.6,557.88,1.55,273728.53,0.0,45.75,58.5,59.28,58.59,52.9,51.99,53.35,92.92,94.19,93.32,92.78,91.44,93.23,0
2022-04-08 16:47:10,5476.11,1823.47,1.34,230674.44,1.72,36.22,920.29,917.87,925.19,905.29,902.52,904.95,305.48,306.53,305.59,301.95,300.84,303.08,0
2022-04-08 16:48:10,43.87,39.65,0.88,154761.12,0.0,4.97,7.41,8.09,7.96,7.25,6.14,7.01,6.57,7.42,7.45,6.6,5.2,6.41,0
2022-04-08 16:49:10,99606.22,39904.06,0.53,89668.38,15454.2,86.09,16632.62,16633.7,16633.31,16569.77,16565.54,16571.28,6662.23,6663.8,6661.76,6638.93,6636.2,6641.14,0
2022-04-08 16:50:10,112737.75,39952.39,0.4,67623.75,10494.26,88.24,18802.64,18800.84,18802.29,18775.63,18778.71,18777.62,6665.51,6665.41,6667.22,6649.6,6652.1,6652.55,0
2022-04-08 16:51:10,103810.31,46876.67,0.33,55812.18,11270.58,99.98,17313.13,17311.01,17313.99,17290.77,17290.48,17290.94,7819.47,7819.38,7818.89,7805.69,7806.78,7806.45,0
2022-04-08 16:52:10,101844.01,41584.96,0.53,91469.26,16161.91,83.05,17006.84,17006.35,17008.22,16940.89,16939.13,16942.59,6939.72,6941.16,6940.07,6920.48,6920.68,6922.86,0
2022-04-08 16:53:10,109851.78,34752.64,0.44,75716.75,12427.46,98.63,18324.33,18324.77,18326.6,18291.8,18290.4,18293.89,5804.24,5805.52,5804.48,5778.75,5778.61,5781.05,0
2022-04-08 16:54:10,101932.27,46817.11,0.33,56751.62,11724.05,89.27,17003.59,17002.32,17004.01,16972.76,16974.57,16975.02,7809.42,7808.71,7809.59,7795.57,7796.1,7797.72,0
2022-04-08 16:55:10,101391.74,41353.77,0.51,88452.26,16221.83,83.54,16931.32,16930.05,16933.11,16865.13,16865.83,16866.29,6901.43,6901.59,6902.75,6881.98,6882.3,6883.72,0
2022-04-08 16:56:11,103764.44,39219.42,0.44,77539.44,11281.25,81.02,17323.08,17324.35,17326.32,17263.83,17261.65,17265.21,6547.24,6549.7,6548.7,6524.09,6523.63,6526.06,0
2022-04-08 16:57:11,108759.11,43699.12,0.36,60423.88,10490.7,91.6,18140.83,18140.46,18141.52,18110.08,18112.55,18113.68,7290.55,7291.04,7290.92,7274.74,7275.16,7276.71,0
2022-04-08 16:58:11,100532.92,44882.36,0.36,61822.29,10216.36,86.94,16765.34,16764.04,16766.09,16744.81,16745.55,16747.09,7484.87,7485.49,7485.95,7474.5,7475.14,7476.39,0
2022-04-08 16:59:11,100445.84,40082.54,0.54,90459.53,13839.82,73.59,16780.09,16779.49,16780.18,16702.86,16699.93,16703.29,6694.27,6695.22,6692.96,6666.58,6665.64,6667.88,0
2022-04-08 17:00:11,111812.21,34971.68,0.44,73559.6,12077.33,90.13,18650.26,18649.76,18653.04,18618.54,18618.31,18622.31,5840.52,5840.57,5840.52,5815.31,5815.68,5819.07,0
2022-04-08 17:01:11,110282.44,42240.69,0.38,64379.24,9109.47,91.45,18394.72,18393.42,18396.09,18365.29,18366.62,18366.31,7047.19,7047.39,7047.65,7032.67,7032.68,7033.11,0
2022-04-08 17:02:11,103981.33,44477.1,0.4,67792.64,11579.22,86.07,17340.98,17338.91,17341.15,17320.31,17318.91,17321.08,7418.79,7417.58,7418.94,7407.05,7406.42,7408.32,0
2022-04-08 17:03:11,102937.65,42087.78,0.49,84560.15,17114.02,90.58,17189.56,17190.3,17190.92,17121.03,17121.56,17124.28,7023.76,7024.52,7023.33,7004.87,7004.26,7007.04,0
2022-04-08 17:04:11,111406.31,35713.58,0.45,78326.23,10972.8,89.93,18582.3,18581.04,18581.15,18553.33,18552.87,18555.61,5962.71,5963.09,5961.06,5941.58,5941.3,5943.84,0
2022-04-08 17:05:11,100929.82,48586.39,0.31,55193.87,11603.23,88.71,16835.31,16834.57,16837.12,16806.17,16807.09,16809.55,8102.81,8103.07,8103.67,8091.54,8091.86,8093.44,0
2022-04-08 17:06:11,104043.4,42188.22,0.43,72650.78,11086.26,88.33,17348.1,17347.36,17349.32,17332.23,17332.2,17334.19,7035.91,7036.24,7036.78,7026.17,7026.13,7026.98,0
2022-04-08 17:07:11,98088.5,39951.83,0.55,96029.42,16321.96,78.45,16386.24,16386.23,16386.8,16309.17,16308.42,16311.64,6670.82,6672.49,6670.41,6645.15,6645.05,6647.92,0
2022-04-08 17:08:11,112023.01,36866.2,0.42,72668.3,11429.22,89.6,18682.84,18682.78,18684.49,18657.68,18656.63,18658.58,6153.4,6154.29,6153.58,6135.16,6133.96,6135.81,0
2022-04-08 17:09:11,102864.79,48054.35,0.32,54918.43,12250.82,91.33,17158.88,17158.01,17161.14,17128.45,17128.21,17130.1,8015.31,8015.18,8016.04,8002.39,8001.79,8003.64,0
2022-04-08 17:10:11,105704.99,43719.94,0.41,70257.45,11639.79,92.95,17624.68,17624.35,17626.08,17610.09,17609.12,17610.66,7290.92,7291.82,7292.39,7281.84,7281.17,7281.81,0
2022-04-08 17:11:11,101882.73,39697.12,0.49,85568.95,14800.82,81.26,17016.7,17018.14,17020.79,16942.98,16939.96,16944.16,6627.84,6629.23,6629.6,6603.87,6602.03,6604.55,0
2022-04-08 17:12:11,110884.61,41144.49,0.42,72678.79,10031.4,91.85,18496.82,18494.13,18495.65,18464.87,18466.26,18466.88,6866.2,6865.15,6865.38,6848.31,6849.44,6850.01,0
2022-04-08 17:13:11,104101.88,47065.28,0.34,57154.98,11740.41,95.05,17363.85,17363.5,17366.46,17334.37,17336.04,17337.66,7850.01,7849.93,7850.83,7837.2,7838.22,7839.09,0
2022-04-08 17:14:12,105272.59,41997.28,0.44,74075.28,11759.47,92.56,17700.77,17699.9,17480.14,17462.79,17463.39,17465.61,7004.65,7004.48,7004.09,6993.73,6994.16,6996.17,0
2022-04-08 17:15:12,98477.23,40719.83,0.53,91471.95,15000.35,83.99,16451.78,16452.86,16452.67,16372.49,16371.02,16376.41,6799.23,6799.51,6797.59,6773.8,6773.15,6776.55,0
2022-04-08 17:16:12,107912.24,34315.86,0.45,78063.99,11052.46,91.22,17999.52,18000.38,18000.09,17971.22,17967.81,17973.22,5729.76,5730.99,5728.73,5708.61,5707.36,5710.41,0
