time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-10 15:03:48,50.94,51.6,0.21,508.47,0.0,11.8,7.88,8.24,7.37,6.45,8.6,12.4,7.61,8.12,7.12,6.45,8.47,13.84,0
2022-04-10 15:03:58,50.45,51.61,0.23,545.32,0.0,9.9,7.46,8.35,7.3,6.56,8.32,12.45,7.27,8.35,7.17,6.59,8.23,13.99,0
2022-04-10 15:04:08,46.72,47.88,0.21,508.73,0.0,11.89,6.99,7.68,6.52,5.79,8.02,11.71,6.78,7.67,6.34,5.86,7.98,13.25,0
2022-04-10 15:04:18,45.7,47.12,0.21,517.61,0.0,14.24,6.7,7.6,6.17,5.53,7.73,11.98,6.54,7.67,6.02,5.63,7.7,13.56,0
2022-04-10 15:04:28,51.71,52.52,0.21,523.27,0.0,12.7,8.21,8.21,7.35,6.5,8.85,12.59,7.97,8.09,7.1,6.51,8.73,14.11,0
2022-04-10 15:04:38,46.68,47.5,0.22,541.56,0.0,12.42,6.98,7.55,6.47,5.88,7.99,11.8,6.71,7.46,6.26,5.88,7.91,13.28,0
2022-04-10 15:04:48,589.54,2386.66,1.13,5405.34,520.94,47.54,119.57,119.77,118.93,74.57,76.97,79.74,404.26,404.3,403.64,388.59,390.86,395.01,0
2022-04-10 15:04:58,74.69,70.44,1.88,8047.29,4.41,8.87,12.16,13.48,11.85,10.87,11.88,14.43,11.09,12.78,10.9,10.19,11.09,14.39,0
2022-04-10 15:05:08,76.52,75.87,1.88,7995.09,4.4,8.8,12.53,13.89,12.66,11.09,12.02,14.33,12.09,13.83,12.28,10.99,11.82,14.86,0
2022-04-10 15:05:18,74.9,68.97,1.84,7988.09,4.39,23.1,12.17,13.43,11.89,10.87,12.05,14.47,10.88,12.41,10.66,9.88,10.98,14.15,0
2022-04-10 15:05:28,70.5,70.2,1.88,8016.55,4.41,10.29,11.82,12.77,11.17,10.04,11.22,13.48,11.48,12.67,10.89,9.97,11.13,14.06,0
2022-04-10 15:05:38,69.05,67.16,1.86,8022.04,4.41,9.55,11.11,12.48,11.19,10.07,10.82,13.38,10.48,12.14,10.66,9.78,10.44,13.66,0
2022-04-10 15:05:48,67.94,64.74,1.86,8005.97,4.4,9.49,11.28,11.95,11.0,10.04,10.83,12.84,10.44,11.34,10.26,9.53,10.26,12.91,0
2022-04-10 15:05:58,454.74,922.53,1.33,6858.74,0.0,28.0,81.75,81.59,80.67,67.29,69.85,73.59,153.38,153.45,152.35,151.08,153.42,158.86,0
2022-04-10 15:06:08,2343.34,2097.14,1.14,5803.95,0.0,29.09,397.57,397.95,396.87,380.96,383.1,386.89,349.52,349.91,348.8,346.5,348.55,353.85,0
2022-04-10 15:06:18,1859.04,608.79,1.76,8901.66,0.0,24.25,311.01,310.96,310.44,306.46,308.43,311.74,100.94,100.86,100.26,99.5,101.25,105.98,0
2022-04-10 15:06:28,1862.46,615.1,1.77,8868.83,0.0,26.17,311.68,311.58,311.45,306.56,309.11,312.06,101.9,101.89,101.88,100.07,102.39,106.96,0
2022-04-10 15:06:38,5808.01,4659.73,1.06,5445.39,0.0,69.61,967.16,967.82,966.9,966.09,968.1,971.93,775.22,776.22,775.08,774.5,776.7,782.01,0
2022-04-10 15:06:48,55.61,38.26,1.66,7125.0,0.0,10.67,9.09,10.3,8.44,7.41,9.11,11.27,5.97,7.44,5.43,4.47,6.03,8.93,0
2022-04-10 15:06:58,56.48,37.28,1.63,7089.94,0.0,11.8,9.19,10.5,8.66,7.6,9.02,11.52,5.76,7.36,5.33,4.34,5.62,8.87,0
2022-04-10 15:07:08,49.36,37.16,1.67,7085.18,0.0,9.47,8.22,9.22,7.8,6.33,7.73,10.07,6.06,7.37,5.74,4.16,5.4,8.42,0
2022-04-10 15:07:18,49.61,36.42,1.65,7066.52,0.0,9.39,8.11,9.26,7.5,6.5,7.98,10.27,5.73,7.21,5.27,4.18,5.54,8.49,0
2022-04-10 15:07:28,51.64,40.05,1.65,7091.86,0.0,10.78,8.62,9.74,8.16,6.7,8.27,10.15,6.58,7.97,6.17,4.63,6.08,8.62,0
2022-04-10 15:07:38,49.2,37.2,1.67,7117.16,0.0,11.57,8.21,9.07,7.91,6.57,7.81,9.64,6.1,7.19,5.89,4.42,5.55,8.04,0
2022-04-10 15:07:48,40.52,35.94,1.5,6406.17,0.0,9.55,6.31,7.83,5.92,5.01,6.66,8.79,5.42,7.26,5.13,4.05,5.63,8.46,0
2022-04-10 15:07:58,42.76,38.49,1.53,6484.58,0.0,9.84,6.91,8.14,6.66,5.3,6.65,9.12,6.03,7.62,5.9,4.48,5.66,8.79,0
2022-04-10 15:08:08,45.68,39.84,1.65,7107.77,0.0,13.35,7.29,8.24,7.0,5.9,7.7,9.54,6.24,7.39,5.94,4.77,6.47,9.03,0
2022-04-10 15:08:18,149.75,46.45,1.64,7090.86,0.0,9.27,26.01,28.5,21.82,23.19,25.41,24.81,7.56,8.59,7.39,5.93,7.36,9.61,0
