time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-05 20:48:00,47.09,48.02,0.23,538.04,0.0,11.85,7.01,7.6,6.66,6.05,7.91,11.86,6.8,7.54,6.49,6.08,7.83,13.28,0
2022-04-05 20:49:00,452.14,2292.21,1.15,5701.92,213.85,34.34,98.66,99.15,98.27,49.94,51.15,54.96,389.15,389.89,389.12,372.36,373.39,378.3,0
2022-04-05 20:50:00,93.54,88.14,1.91,7980.9,4.39,7.67,15.45,17.26,15.83,13.76,14.63,16.61,14.13,16.25,14.69,12.81,13.68,16.6,0
2022-04-05 20:51:00,61.49,49.13,1.72,7106.79,0.0,10.7,10.05,11.62,9.89,8.4,9.5,12.03,7.88,9.64,7.86,6.12,7.07,10.56,0
2022-04-05 20:52:00,42.85,44.11,1.5,6399.61,0.0,9.58,6.59,7.95,6.97,5.96,6.56,8.83,6.68,8.29,7.13,6.04,6.5,9.47,0
2022-04-05 20:53:00,60.95,63.25,1.48,6369.04,0.0,11.61,9.99,10.81,9.54,8.41,10.22,11.98,10.28,11.26,9.87,8.67,10.29,12.89,0
2022-04-05 20:54:00,57.35,36.22,1.64,6873.86,0.0,14.16,9.22,10.06,8.88,8.12,9.62,11.45,5.48,6.59,5.37,4.4,5.78,8.6,0
2022-04-05 20:55:00,185.24,82.62,1.55,6807.25,0.0,25.11,30.5,31.54,30.51,29.5,30.19,33.0,12.95,14.19,13.06,12.56,13.14,16.71,0
2022-04-05 20:56:00,212.09,93.78,1.55,6765.1,0.0,26.39,35.35,36.84,35.49,33.51,34.03,36.87,14.83,16.49,15.08,14.33,14.7,18.35,0
2022-04-05 20:57:00,1580.65,2504.67,0.51,2623.44,0.0,83.52,263.69,263.33,262.82,261.34,262.89,266.58,416.76,416.91,416.08,415.47,417.06,422.39,0
2022-04-05 20:58:00,65.01,87.89,2.0,8809.51,0.0,17.08,10.55,11.63,10.31,9.38,10.18,12.98,13.92,15.26,13.9,13.31,13.94,17.56,0
2022-04-05 20:59:00,72.28,87.54,2.02,8861.16,0.0,16.03,12.33,12.84,11.82,10.17,11.46,13.66,14.45,15.26,14.04,12.79,14.01,16.98,0
2022-04-05 21:00:00,44.41,61.59,2.2,9353.9,0.0,16.9,7.24,8.06,7.03,5.89,7.15,9.04,9.84,10.91,9.71,8.76,9.89,12.49,0
2022-04-05 21:01:00,60.26,41.48,1.26,5378.06,0.0,7.31,9.93,10.63,9.56,8.58,9.81,11.75,6.75,7.61,6.44,5.28,6.39,9.03,0
2022-04-05 21:02:00,68.22,46.52,1.38,5877.81,0.0,9.64,11.46,12.22,11.06,9.72,11.0,12.75,7.72,8.74,7.5,5.94,7.06,9.55,0
2022-04-05 21:03:00,63.05,35.17,1.43,6187.16,0.0,10.51,10.2,11.08,9.85,8.96,10.49,12.48,5.42,6.46,5.15,4.21,5.6,8.34,0
2022-04-05 21:04:00,77.84,50.45,1.5,6531.26,0.0,21.34,12.89,13.47,12.45,11.4,12.52,15.12,8.23,8.91,7.83,6.69,7.67,11.13,0
2022-04-05 21:05:00,53.24,34.47,1.44,6192.02,0.0,10.86,8.54,9.42,8.17,7.35,8.66,11.1,5.24,6.44,5.0,4.09,5.27,8.44,0
2022-04-05 21:06:00,413.18,270.1,1.36,6119.22,1.6,54.53,69.76,70.74,69.13,65.7,67.54,70.31,44.79,46.11,44.23,42.53,44.35,48.09,0
2022-04-05 21:07:00,546.99,762.63,1.28,5762.82,0.0,53.02,96.92,97.4,96.58,83.51,85.14,87.44,128.62,129.28,128.28,123.39,124.91,128.14,0
2022-04-05 21:08:00,573.65,770.74,1.21,5509.67,5.39,52.65,101.38,102.25,100.83,87.63,89.35,92.21,129.8,130.9,129.35,124.47,126.21,130.01,0
2022-04-05 21:09:00,555.81,769.45,1.25,5699.31,0.0,56.86,98.08,99.12,97.98,85.1,86.33,89.19,129.27,130.61,129.38,124.65,125.84,129.7,0
2022-04-05 21:10:00,212.63,656.56,1.01,5115.93,0.0,17.45,40.57,41.11,40.35,27.7,29.4,33.5,110.13,110.8,110.02,105.65,107.16,112.8,0
2022-04-05 21:11:00,173.14,108.29,1.94,8305.42,1.25,21.73,28.49,29.56,28.52,27.59,28.25,30.73,17.46,18.82,17.65,16.74,17.22,20.4,0
2022-04-05 21:12:00,178.83,132.4,1.61,8224.13,0.01,16.94,29.04,29.97,29.04,27.77,29.4,33.6,20.75,21.79,20.81,20.09,21.58,27.38,0
2022-04-05 21:13:00,93.27,84.21,1.93,8298.28,0.0,17.19,15.62,16.34,15.08,13.91,15.3,17.02,14.07,14.93,13.57,12.2,13.55,15.89,0
2022-04-05 21:14:00,224.04,118.22,1.99,8609.61,2.39,33.46,37.9,38.76,37.3,35.1,36.32,38.67,19.67,20.85,19.26,17.73,18.79,21.92,0
2022-04-05 21:15:00,74907.86,43004.72,0.85,146545.58,15.22,85.77,12497.56,12495.06,12495.23,12473.44,12474.36,12472.2,7173.5,7170.75,7172.04,7162.0,7163.95,7162.47,0
2022-04-05 21:16:00,50927.07,22842.19,0.98,166654.55,5688.2,90.82,8500.66,8497.71,8497.04,8476.76,8476.8,8478.08,3814.29,3810.66,3810.55,3801.85,3802.58,3802.25,0
2022-04-05 21:17:00,49948.11,8280.43,0.89,154763.59,13050.35,59.05,8340.39,8346.49,8349.67,8309.17,8302.97,8299.43,1396.01,1402.24,1405.87,1364.21,1356.47,1355.63,0
2022-04-05 21:18:00,36062.17,12655.12,1.18,206781.51,48737.01,77.57,6015.48,6014.31,6014.47,6007.15,6004.9,6005.85,2112.03,2112.2,2114.03,2107.67,2104.05,2105.14,0
2022-04-05 21:19:00,13685.68,6082.02,1.0,173470.99,3540.48,74.56,2255.26,2270.45,2304.04,2308.54,2277.35,2270.05,1035.84,1051.02,1040.63,1008.27,976.97,969.28,0
2022-04-05 21:20:00,38.95,37.81,1.74,307250.35,0.0,11.52,6.55,7.55,6.66,5.95,5.34,6.9,6.26,7.67,6.32,6.01,4.77,6.79,0
2022-04-05 21:21:00,1230.61,2461.37,1.32,232795.17,0.0,45.51,220.34,221.19,220.6,190.31,188.27,189.89,412.28,413.25,412.61,408.44,406.29,408.5,0
2022-04-05 21:22:00,6527.97,3005.27,1.02,178640.66,0.02,54.0,1093.05,1091.98,1092.22,1083.56,1084.56,1082.59,501.96,501.03,501.5,500.17,501.14,499.46,0
2022-04-05 21:23:00,104805.99,41735.41,0.51,86008.33,14090.4,89.79,17482.9,17483.61,17483.78,17450.72,17451.53,17453.45,6962.05,6963.38,6963.43,6948.15,6948.26,6950.15,0
2022-04-05 21:24:00,102916.07,40024.09,0.46,78343.88,11964.5,79.79,17182.62,17179.78,17181.41,17123.84,17124.52,17123.9,6681.44,6681.67,6682.07,6658.5,6659.41,6661.0,0
2022-04-05 21:25:00,111462.17,38399.27,0.42,71516.49,10027.32,91.7,18590.76,18586.93,18588.35,18566.2,18565.2,18564.73,6408.21,6407.08,6408.06,6392.53,6391.25,6392.13,0
2022-04-05 21:26:00,100927.72,48560.52,0.31,54126.78,11731.7,92.3,16836.01,16834.58,16837.08,16807.01,16806.58,16806.45,8099.5,8099.03,8099.96,8086.68,8087.43,8087.93,0
2022-04-05 21:27:00,105391.61,42120.18,0.46,79459.25,13981.85,90.45,17581.91,17581.17,17582.27,17548.89,17548.62,17548.75,7025.9,7026.28,7027.26,7012.94,7013.4,7014.4,0
2022-04-05 21:28:00,106637.52,35185.11,0.43,75488.61,11348.0,81.21,17788.72,17786.64,17790.24,17755.47,17757.86,17758.59,5874.86,5875.95,5877.09,5850.69,5851.9,5854.61,0
2022-04-05 21:29:00,109973.78,40846.98,0.37,61073.69,10161.57,88.02,18345.51,18340.98,18343.05,18314.81,18316.67,18312.75,6815.83,6815.49,6816.12,6799.87,6800.63,6799.04,0
2022-04-05 21:30:00,103373.51,47891.5,0.32,56370.89,10120.23,85.77,17241.09,17239.38,17242.7,17216.6,17216.91,17216.83,7987.82,7988.17,7989.16,7974.4,7975.77,7976.17,0
2022-04-05 21:31:00,102862.26,42205.21,0.48,81386.72,15879.86,84.98,17176.41,17176.67,17179.13,17110.5,17109.32,17110.24,7042.01,7041.91,7043.43,7025.92,7025.14,7026.8,0
2022-04-05 21:32:00,110912.62,35874.55,0.43,73570.26,10660.56,82.66,18502.06,18496.37,18500.13,18472.51,18471.29,18470.27,5988.77,5988.24,5990.11,5969.55,5969.43,5968.45,0
2022-04-05 21:33:00,104494.34,46694.33,0.34,57717.85,11897.21,91.93,17432.52,17430.83,17432.91,17399.27,17399.49,17399.32,7790.18,7789.4,7790.47,7774.43,7775.16,7774.69,0
2022-04-05 21:34:00,106450.78,42794.42,0.44,73919.67,11697.35,87.7,17750.7,17750.21,17751.38,17732.94,17732.19,17733.37,7137.21,7137.34,7138.83,7127.45,7126.73,7126.86,0
2022-04-05 21:35:00,99343.29,40936.83,0.54,94104.12,15524.82,82.93,16598.31,16594.31,16598.32,16516.97,16517.73,16517.65,6835.45,6835.21,6836.57,6809.42,6809.7,6810.47,0
2022-04-05 21:36:00,110342.5,35042.8,0.44,76446.05,12207.84,92.49,18408.75,18402.53,18409.35,18373.73,18374.75,18373.38,5851.83,5850.74,5854.14,5828.33,5828.74,5829.02,0
2022-04-05 21:37:00,105538.73,46650.49,0.34,56204.12,11944.73,86.77,17605.28,17603.07,17606.69,17575.31,17574.22,17574.16,7781.34,7780.34,7782.61,7769.66,7768.13,7768.41,0
2022-04-05 21:38:00,102459.37,46800.97,0.34,59352.7,10234.0,94.05,17085.91,17085.31,17087.09,17067.87,17066.41,17066.78,7804.5,7805.53,7806.18,7795.13,7794.63,7795.0,0
2022-04-05 21:39:00,98180.1,40149.0,0.51,90073.24,16564.25,82.04,16400.11,16398.23,16402.79,16326.45,16325.92,16326.6,6700.72,6700.61,6702.89,6681.51,6681.08,6682.19,0
2022-04-05 21:40:00,109866.12,35916.07,0.44,75048.72,12605.09,88.84,18329.39,18323.89,18329.31,18294.12,18295.87,18293.54,5997.75,5996.57,5998.59,5973.1,5975.04,5975.02,0
2022-04-05 21:41:00,111494.05,41881.72,0.4,68137.1,9935.94,87.28,18599.95,18595.2,18598.42,18566.89,18567.91,18565.68,6988.67,6988.58,6988.79,6971.5,6972.13,6972.05,0
2022-04-05 21:42:00,103990.88,45499.07,0.36,61329.47,10898.24,92.92,17341.9,17340.7,17342.8,17322.18,17320.76,17322.53,7587.69,7588.74,7589.63,7577.55,7577.43,7578.04,0
2022-04-05 21:43:00,102992.79,42266.35,0.48,83318.05,15855.36,83.54,17200.56,17198.7,17201.66,17130.51,17130.52,17130.85,7051.64,7052.05,7053.76,7036.2,7035.51,7037.19,0
2022-04-05 21:44:00,109315.17,34730.27,0.43,74781.42,12381.55,87.23,18235.3,18232.06,18237.27,18203.65,18204.29,18202.6,5799.72,5799.52,5801.34,5776.35,5776.62,5776.71,0
2022-04-05 21:45:00,110258.23,42155.15,0.35,60099.37,9117.94,90.73,18392.84,18388.0,18392.53,18363.81,18361.98,18359.06,7033.95,7033.01,7033.95,7019.33,7018.26,7016.65,0
2022-04-05 21:46:00,102640.72,45195.76,0.35,61122.14,10511.68,87.07,17116.8,17115.97,17119.03,17095.42,17095.92,17097.58,7537.04,7537.23,7538.69,7527.34,7527.3,7528.15,0
2022-04-05 21:47:00,100359.1,44337.5,0.46,76253.05,14641.19,86.83,16757.99,16757.01,16759.08,16695.13,16694.97,16694.92,7395.11,7394.92,7396.41,7383.67,7383.22,7384.17,0
2022-04-05 21:48:00,103184.35,40228.7,0.45,76757.11,12903.02,85.87,17230.04,17227.12,17230.57,17165.9,17165.16,17165.56,6715.67,6716.22,6717.82,6692.36,6692.95,6693.68,0
2022-04-05 21:49:00,112299.66,39972.83,0.4,67938.84,10203.53,92.52,18730.97,18727.23,18730.82,18703.52,18703.96,18703.15,6668.98,6668.4,6670.27,6654.75,6655.51,6654.92,0
2022-04-05 21:50:00,102129.33,47175.91,0.32,55966.22,11699.24,87.86,17036.96,17036.95,17038.04,17005.87,17005.65,17005.85,7868.9,7869.68,7870.23,7856.34,7854.95,7855.8,0
2022-04-05 21:51:00,874.1,169.32,0.89,155291.3,2689.5,40.92,145.65,146.74,145.99,145.17,144.23,146.34,27.98,29.16,28.78,27.68,26.65,29.07,0
