time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-08 22:37:00,12483100.04,5.18,1834955.89,69962630.65,48184.96,0.0,18209.07,0.0,0.0,0.0,6390291707,20850627848,18612943447,0,55.41538461538462,45.26,62.03,60.89,201184202752,197671849984,1.7,2436251648,177956966400,9374978048,9374978048,542797824,20248186880,4608,533400,979603070,24905168054,7321,0,0,141721416418,0
2022-04-08 22:38:00,12483102.14,5.18,1834960.58,69966463.0,48184.97,0.0,18209.07,0.0,0.0,0.0,6390583741,20850862329,18613022367,0,49.92307692307693,16.62,50.74,57.08,201184202752,197634588672,1.8,2476113920,182133657600,7271845888,7271845888,542797824,16031633408,4224,533400,979607082,24905294194,7321,0,0,141723595905,0
2022-04-08 22:39:00,12483160.93,5.18,1834963.79,69970239.36,48184.99,0.0,18209.08,0.0,0.0,0.0,6390871554,20851144586,18613114563,0,48.09230769230769,6.75,41.69,53.57,201184202752,193193345024,4.0,6914752512,177697189888,7271088128,7271088128,542797824,16029462528,4096,533400,979612970,24905685825,7321,0,0,141724000636,0
2022-04-08 22:40:00,12483213.3,5.18,1834974.55,69974015.88,48185.0,0.0,18209.08,0.0,0.0,0.0,6391153664,20851423513,18613205935,0,48.07692307692307,3.11,34.28,50.28,201184202752,171663450112,14.7,28444901376,156165132288,7273664512,7273664512,542797824,16031371264,4096,533400,979613574,24910896147,7321,0,0,141725931285,0
2022-04-08 22:41:00,12483273.96,5.18,1834975.88,69977789.61,48185.15,0.0,18209.08,0.0,0.0,0.0,6391433391,20851700741,18613293316,0,48.06153846153846,1.81,28.24,47.2,201184202752,171666567168,14.7,28441866240,156082950144,7358939136,7358939136,542797824,16116588544,3968,533400,979693674,24910901539,7321,0,0,141726318980,0
2022-04-08 22:42:00,12483334.63,5.18,1834977.38,69981565.01,48186.0,0.0,18209.08,0.0,0.0,0.0,6391715912,20851980367,18613384018,0,48.2923076923077,1.35,23.29,44.31,201184202752,171670192128,14.7,28437729280,155846864896,7598653440,7598653440,542797824,16356810752,3968,533400,979921786,24910907822,7321,0,0,141726707025,0
2022-04-08 22:43:00,12483396.13,5.18,1834979.78,69985340.57,48186.97,0.0,18209.08,0.0,0.0,0.0,6391998203,20852260930,18613476919,0,48.53846153846154,1.13,19.24,41.6,201184202752,171670351872,14.7,28437602304,155646779392,7798898688,7798898688,542797824,16557023232,3840,533400,980119822,24911076154,7321,0,0,141727097649,0
2022-04-08 22:44:00,12483457.08,5.18,1834981.92,69989112.68,48187.59,0.0,18209.08,0.0,0.0,0.0,6392278769,20852538429,18613567638,0,48.06153846153846,1.05,15.92,39.06,201184202752,171674804224,14.7,28433072128,155413610496,8036573184,8036573184,542797824,16794722304,3840,533400,980334246,24911326628,7321,0,0,141727485651,0
2022-04-08 22:45:00,12483518.38,5.18,1834984.44,69992888.64,48187.92,0.0,18209.08,0.0,0.0,0.0,6392558583,20852815890,18613658319,0,48.707692307692305,1.02,13.2,36.68,201184202752,171676598272,14.7,28431290368,155179311104,8272658432,8272658432,542797824,17030803456,3712,533400,980566774,24911578126,7321,0,0,141727873769,0
2022-04-08 22:46:00,12483577.48,5.18,1834988.84,69996664.83,48188.33,0.0,18209.08,0.0,0.0,0.0,6392840219,20853098676,18613755065,0,49.353846153846156,1.01,10.98,34.45,201184202752,192220557312,4.5,7885864960,175595925504,8400072704,8400072704,542797824,17159614464,3712,533400,980720194,24915564504,7321,0,0,141733277240,0
