time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-04-08 23:42:06,46.33,46.85,0.22,502.97,0.0,11.18,7.03,7.47,6.59,5.8,7.98,11.47,6.75,7.36,6.34,5.77,7.8,12.84,0
2022-04-08 23:43:06,586.31,2386.48,1.06,5197.0,560.49,56.74,118.26,119.0,117.83,74.77,76.51,79.93,407.51,408.44,407.34,385.1,386.67,391.42,0
2022-04-08 23:44:06,105.79,96.71,1.72,7937.78,4.3,15.67,17.68,18.46,16.94,15.16,17.36,20.2,15.72,16.65,15.04,13.65,15.77,19.88,0
2022-04-08 23:45:06,76.78,53.66,1.72,7076.91,0.0,10.84,12.51,14.05,11.98,10.65,12.8,14.79,8.49,10.44,8.04,6.51,8.61,11.58,0
2022-04-08 23:46:06,112.24,66.54,1.44,5982.59,0.0,26.09,18.6,19.91,17.94,16.73,18.37,20.69,10.72,12.32,10.18,8.94,10.51,13.87,0
2022-04-08 23:47:06,212.91,67.99,1.37,6517.06,0.0,19.06,37.65,35.13,37.45,32.3,33.49,36.9,10.4,11.62,9.93,9.1,11.15,15.8,0
2022-04-08 23:48:06,132.23,64.61,1.46,6915.33,0.0,15.94,21.38,22.56,21.37,20.1,21.69,25.14,9.69,11.15,9.83,8.69,10.2,15.05,0
2022-04-08 23:49:06,131.39,68.09,1.43,6905.25,0.0,19.34,21.64,21.92,21.11,19.79,22.06,24.87,10.76,11.22,10.27,9.09,11.29,15.47,0
2022-04-08 23:50:07,102.77,69.99,1.44,6945.07,0.0,20.51,16.49,17.28,16.42,15.16,17.19,20.24,10.75,11.62,10.64,9.54,11.47,15.97,0
2022-04-08 23:51:07,902.44,848.04,1.3,6581.75,0.01,32.84,150.52,151.14,149.96,147.76,149.47,153.6,140.39,141.31,139.95,139.25,140.75,146.38,0
2022-04-08 23:52:07,86.48,101.69,1.82,8814.6,0.0,20.22,14.13,15.05,13.64,12.11,13.98,17.58,16.03,17.22,15.65,14.73,16.51,21.55,0
2022-04-08 23:53:07,98.37,110.8,1.85,8878.92,0.0,16.48,15.94,17.19,15.61,14.12,15.86,19.64,17.39,18.96,17.12,16.24,17.96,23.13,0
2022-04-08 23:54:07,767.71,574.03,0.95,4809.23,1757.95,19.08,133.26,133.51,132.65,120.13,122.15,126.01,96.92,97.22,96.28,91.58,93.37,98.65,0
2022-04-08 23:55:07,578.47,788.51,1.22,5384.8,0.0,46.68,102.49,103.16,101.99,88.25,90.42,92.15,133.11,133.97,132.6,127.24,129.39,132.19,0
2022-04-08 23:56:07,586.56,792.64,1.22,5446.24,5.38,49.32,103.8,104.49,103.38,89.57,91.86,93.46,133.83,134.6,133.38,127.93,130.13,132.77,0
2022-04-08 23:57:07,581.79,792.07,1.26,5692.84,5.38,52.35,102.65,103.69,102.64,89.25,90.67,92.88,133.33,134.63,133.45,128.21,129.56,132.9,0
2022-04-08 23:58:07,591.55,794.6,1.23,6044.8,5.39,56.4,103.97,104.86,104.01,90.81,91.99,95.91,133.32,134.39,133.4,128.65,129.73,135.12,0
2022-04-08 23:59:07,224.99,524.89,1.22,5169.63,0.0,13.11,41.31,43.2,41.64,31.66,32.23,34.95,88.08,90.44,88.68,84.35,84.86,88.47,0
2022-04-09 00:00:07,81.59,56.72,1.37,5733.39,0.0,14.79,13.44,14.33,12.93,11.91,13.83,15.14,9.18,10.33,8.72,7.51,9.35,11.64,0
2022-04-09 00:01:07,86.21,53.85,1.39,5738.13,0.0,14.41,14.27,15.49,14.23,12.69,13.99,15.56,8.62,10.1,8.74,7.19,8.41,10.78,0
2022-04-09 00:02:07,83.96,60.8,1.38,5746.67,0.0,22.93,13.67,15.43,13.61,11.95,13.65,15.64,9.64,11.71,9.69,7.86,9.51,12.38,0
2022-04-09 00:03:07,87.93,63.89,1.37,5700.63,0.0,29.28,14.07,17.02,14.23,12.38,13.77,16.46,9.81,13.11,10.2,8.17,9.51,13.08,0
2022-04-09 00:04:07,87.28,57.43,1.4,5855.83,0.0,10.37,14.33,15.46,14.06,12.68,14.38,16.37,9.24,10.58,9.0,7.43,9.11,12.07,0
2022-04-09 00:05:07,132.79,119.95,1.69,8442.11,0.0,15.52,21.57,22.3,21.21,20.06,21.94,25.71,19.04,19.98,18.77,17.82,19.57,24.79,0
2022-04-09 00:06:07,209.4,134.87,2.07,8660.22,0.0,19.98,34.98,35.97,34.65,32.97,34.57,36.26,22.36,23.67,22.05,20.37,21.89,24.53,0
2022-04-09 00:07:07,184.64,155.49,2.0,8370.82,0.0,26.67,30.4,31.88,30.52,29.18,30.44,32.23,25.32,27.22,25.62,24.12,25.27,27.95,0
2022-04-09 00:08:07,36.97,33.9,1.37,238713.59,0.0,13.6,5.84,6.86,6.09,6.53,4.97,6.68,5.24,6.56,5.81,5.98,4.09,6.22,0
2022-04-09 00:09:07,75673.71,43743.49,0.84,144034.52,14.54,85.49,12621.31,12622.74,12623.78,12600.55,12601.07,12604.27,7293.98,7294.8,7294.91,7286.13,7286.53,7287.13,0
2022-04-09 00:10:07,37081.25,13033.33,0.88,153493.0,30829.0,54.92,6183.62,6183.67,6183.5,6177.57,6176.96,6175.93,2174.35,2174.82,2174.55,2170.16,2169.66,2169.78,0
2022-04-09 00:11:07,65214.9,29720.44,1.22,210068.0,190.75,65.82,10875.81,10896.2,10866.59,10859.42,10847.91,10868.97,4954.01,4975.29,4944.32,4950.55,4936.39,4959.88,0
2022-04-09 00:12:07,1974.61,1099.87,1.03,178640.19,6.9,13.52,335.29,374.42,319.75,324.73,283.01,337.42,184.81,223.55,168.84,182.52,142.47,197.69,0
2022-04-09 00:13:08,1135.35,380.79,1.34,58059.59,472.36,21.68,198.7,187.12,189.08,183.73,187.47,189.26,62.85,64.09,61.85,61.33,64.12,66.54,0
2022-04-09 00:14:08,48716.73,24032.11,0.92,161204.18,370.98,58.78,8169.74,8168.05,8169.7,8069.55,8069.75,8069.94,4014.15,4012.37,4013.83,3996.97,3996.78,3998.01,0
2022-04-09 00:15:08,99534.07,30520.91,0.57,97764.22,13494.7,84.49,16613.12,16607.68,16613.28,16565.92,16567.76,16566.32,5105.79,5101.63,5104.36,5067.68,5071.4,5070.06,0
2022-04-09 00:16:08,49.55,40.05,1.75,297788.58,0.0,23.87,8.36,9.14,8.4,7.85,7.19,8.6,6.67,7.79,6.72,6.49,5.22,7.17,0
2022-04-09 00:17:08,111324.05,43002.53,0.33,55086.37,9403.21,97.17,18566.67,18565.06,18568.34,18541.94,18539.61,18542.44,7175.41,7173.85,7175.29,7160.07,7158.73,7159.17,0
2022-04-09 00:18:08,105843.12,44038.34,0.39,66783.47,12509.91,85.88,17651.45,17650.41,17652.5,17630.15,17628.97,17629.65,7345.81,7344.42,7345.9,7334.36,7333.74,7334.11,0
2022-04-09 00:19:08,98237.24,40193.92,0.53,91667.65,14207.1,86.38,16409.36,16406.19,16409.82,16337.75,16337.22,16336.9,6712.58,6710.1,6712.3,6686.84,6685.69,6686.4,0
2022-04-09 00:20:08,111677.65,37891.36,0.44,74075.88,10730.28,95.92,18626.1,18623.25,18627.56,18600.7,18600.51,18599.54,6325.48,6323.23,6325.65,6306.21,6306.04,6304.74,0
2022-04-09 00:21:08,102343.48,47718.69,0.32,55015.45,11412.38,90.59,17072.68,17071.33,17074.18,17042.76,17040.74,17041.79,7959.91,7958.68,7960.18,7947.2,7946.41,7946.3,0
2022-04-09 00:22:08,105572.91,42948.93,0.47,81567.39,12907.9,90.05,17610.34,17610.32,17612.63,17580.17,17579.24,17580.2,7164.3,7164.24,7165.7,7151.62,7150.9,7152.17,0
2022-04-09 00:23:08,103822.05,38445.27,0.42,72399.5,13337.9,93.78,17333.98,17330.69,17336.58,17275.02,17273.36,17272.41,6420.95,6418.31,6421.57,6395.85,6394.36,6394.23,0
2022-04-09 00:24:08,111132.49,36810.73,0.44,74286.35,10540.98,87.85,18534.28,18532.43,18536.49,18511.08,18508.83,18509.38,6144.53,6143.44,6145.18,6126.78,6125.4,6125.4,0
2022-04-09 00:25:08,101158.95,48673.34,0.31,54137.57,11649.55,89.04,16873.96,16874.47,16875.65,16846.17,16844.0,16844.7,8117.75,8117.38,8119.33,8107.18,8105.54,8106.16,0
2022-04-09 00:26:08,101290.33,44547.83,0.45,75107.0,14975.87,95.88,16911.11,16911.49,16913.24,16850.98,16851.14,16852.37,7430.17,7429.44,7432.18,7418.62,7418.29,7419.12,0
2022-04-09 00:27:08,103462.8,36656.1,0.44,73043.05,12383.44,87.22,17270.61,17266.67,17272.57,17220.51,17217.21,17215.23,6120.47,6119.54,6121.85,6099.81,6097.4,6097.03,0
2022-04-09 00:28:08,111088.93,42598.36,0.37,63023.14,9645.39,90.81,18529.77,18527.21,18531.44,18500.61,18500.21,18499.68,7108.43,7107.73,7109.78,7091.69,7090.92,7089.81,0
2022-04-09 00:29:08,103824.72,47661.6,0.31,53159.28,12184.64,92.36,17319.85,17318.28,17321.32,17287.94,17288.57,17288.75,7950.08,7949.91,7951.21,7936.54,7936.66,7937.21,0
2022-04-09 00:30:08,101286.51,44728.99,0.43,73980.05,15317.77,86.45,16912.23,16911.1,16912.67,16849.55,16850.6,16850.36,7461.07,7460.4,7461.47,7448.17,7448.95,7448.93,0
2022-04-09 00:31:09,102279.91,36900.91,0.42,73545.27,11170.11,84.84,17073.74,17068.89,17077.22,17021.78,17021.01,17017.28,6161.94,6159.7,6164.03,6138.93,6139.12,6137.19,0
2022-04-09 00:32:09,112704.18,40322.04,0.36,60842.5,11118.81,81.95,18799.06,18795.7,18800.63,18771.1,18769.98,18767.72,6728.46,6727.06,6728.61,6713.73,6712.93,6711.24,0
