time,usr_cpu,nice,kernel_cpu,idle,iowait,irq,softirq,steal,guest,guest_nice,ctx_switches,interrupts,soft_interrupts,syscalls,freq,load1,load5,load15,mem_total,mem_avail,mem_percent,mem_used,free,mem_active,mem_inactive,buffers,cached,handles_num,pgpgin,pgpgout,fault,majflt,pgscank,pgsteal,pgfree,faultFlag
2022-04-09 07:12:19,13241418.75,5.31,1939972.58,71069634.03,50548.81,0.0,19758.24,0.0,0.0,0.0,6563493348,21947003230,19705995679,0,54.61538461538461,44.95,61.77,59.56,201184202752,197706903552,1.7,2401198080,177984987136,9377357824,9377357824,542863360,20255154176,4352,533400,1026142582,25995454488,7566,0,0,145543894461,0
2022-04-09 07:13:19,13241420.78,5.31,1939976.84,71073465.33,50549.45,0.0,19758.24,0.0,0.0,0.0,6563784539,21947236398,19706073622,0,49.76923076923077,16.51,50.53,55.84,201184202752,197683593216,1.7,2428387328,182170218496,7275040768,7275040768,542863360,16042733568,3712,533400,1026219118,25995580695,7566,0,0,145546076111,0
2022-04-09 07:14:19,13241479.68,5.31,1939980.34,71077240.06,50549.47,0.0,19758.24,0.0,0.0,0.0,6564074765,21947519845,19706168046,0,48.03076923076923,6.73,41.53,52.41,201184202752,193240584192,3.9,6867496960,177733304320,7273672704,7273672704,542863360,16040538112,3840,533400,1026226594,25995971838,7566,0,0,145546447801,0
2022-04-09 07:15:19,13241531.45,5.31,1939990.69,71081016.65,50549.48,0.0,19758.24,0.0,0.0,0.0,6564362189,21947798462,19706256049,0,47.93846153846154,3.1,34.15,49.19,201184202752,171700412416,14.7,28407164928,156190760960,7276044288,7276044288,542863360,16043413504,3712,533400,1026226890,26001257599,7566,0,0,145548285254,0
2022-04-09 07:16:19,13241592.27,5.31,1939992.24,71084793.12,50549.51,0.0,19758.24,0.0,0.0,0.0,6564652060,21948080746,19706346371,0,48.15384615384615,1.77,28.12,46.18,201184202752,171702177792,14.7,28405862400,156106530816,7362052096,7362052096,542863360,16128946176,3712,533400,1026309050,26001266226,7566,0,0,145548674354,0
2022-04-09 07:17:19,13241652.91,5.31,1939993.91,71088568.87,50549.77,0.0,19758.24,0.0,0.0,0.0,6564941327,21948361045,19706435675,0,47.95384615384615,1.32,23.2,43.35,201184202752,171697491968,14.7,28409839616,155862454272,7601434624,7601434624,542863360,16369045504,3584,533400,1026501882,26001271659,7566,0,0,145549062159,0
2022-04-09 07:18:20,13241713.83,5.31,1939995.92,71092344.68,50550.52,0.0,19758.24,0.0,0.0,0.0,6565232679,21948643318,19706525996,0,47.93846153846154,1.15,19.17,40.71,201184202752,171701248000,14.7,28407259136,155664068608,7803568128,7803568128,542863360,16570011648,3584,533400,1026718774,26001410394,7566,0,0,145549450188,0
2022-04-09 07:19:20,13241774.54,5.31,1939997.84,71096120.42,50551.34,0.0,19758.24,0.0,0.0,0.0,6565521388,21948923098,19706615602,0,47.90769230769231,1.12,15.89,38.23,201184202752,171703046144,14.7,28405276672,155430322176,8039088128,8039088128,542863360,16805740544,3456,533400,1026874310,26001660833,7566,0,0,145549837987,0
2022-04-09 07:20:20,13241835.16,5.31,1939999.79,71099896.02,50552.29,0.0,19758.24,0.0,0.0,0.0,6565812879,21949204969,19706705006,0,48.03076923076923,1.08,13.2,35.91,201184202752,171700137984,14.7,28407713792,155191521280,8274980864,8274980864,542863360,17042104320,3456,533400,1027109302,26001914142,7566,0,0,145550227186,0
2022-04-09 07:21:20,13241893.93,5.31,1940003.87,71103671.45,50553.44,0.0,19758.24,0.0,0.0,0.0,6566103518,21949486157,19706793466,0,48.98461538461538,1.06,10.99,33.73,201184202752,192243732480,4.4,7864344576,175606161408,8403865600,8403865600,542863360,17170833408,3328,533400,1027333762,26006187468,7566,0,0,145555630425,0
2022-04-09 07:22:20,13241953.36,5.31,1940007.21,71107448.06,50553.45,0.0,19758.24,0.0,0.0,0.0,6566392819,21949771620,19706889844,0,47.93846153846154,1.02,9.17,31.68,201184202752,194470973440,3.3,5637107712,177833377792,8147939328,8147939328,542863360,17170853888,3200,533400,1027334622,26006443257,7566,0,0,145557329718,0
2022-04-09 07:23:20,13242013.12,5.31,1940009.27,71111224.67,50553.46,0.0,19758.24,0.0,0.0,0.0,6566680408,21950050628,19706978044,0,47.93846153846154,1.01,7.68,29.76,201184202752,192491556864,4.3,7616520192,175853957120,7684427776,7684427776,542863360,17170862080,3200,533400,1027334910,26006934593,7566,0,0,145557696727,0
2022-04-09 07:24:20,13242072.66,5.31,1940011.61,71115001.29,50553.47,0.0,19758.24,0.0,0.0,0.0,6566969146,21950329880,19707065865,0,47.98461538461538,1.04,6.48,27.97,201184202752,189829672960,5.6,10278400000,173192060928,7273709568,7273709568,542863360,17170878464,3072,533400,1027335242,26007912589,7566,0,0,145558094284,0
2022-04-09 07:25:20,13242129.58,5.31,1940016.82,71118777.68,50553.48,0.0,19758.24,0.0,0.0,0.0,6567257506,21950609757,19707155058,0,47.92307692307692,1.08,5.51,26.29,201184202752,181064417280,10.0,19043864576,164387692544,7312777216,7312777216,542863360,17209782272,3072,533400,1027364166,26009365920,7566,0,0,145559809878,0
2022-04-09 07:26:20,13242188.46,5.31,1940019.65,71122551.87,50553.61,0.0,19758.24,0.0,0.0,0.0,6567546990,21950889810,19707244462,0,47.87692307692308,1.06,4.71,24.71,201184202752,181065461760,10.0,19042111488,164246331392,7455182848,7455182848,542863360,17352896512,2944,533400,1027482506,26009538645,7566,0,0,145561940575,0
2022-04-09 07:27:20,13242247.24,5.31,1940022.59,71126326.77,50553.86,0.0,19758.24,0.0,0.0,0.0,6567834728,21951168376,19707332955,0,48.04615384615385,1.02,4.03,23.23,201184202752,181067096064,10.0,19039916032,164105101312,7598047232,7598047232,542863360,17496322048,2944,533400,1027648918,26009832664,7566,0,0,145564071113,0
2022-04-09 07:28:20,13242306.29,5.31,1940025.58,71130099.97,50553.95,0.0,19758.24,0.0,0.0,0.0,6568123634,21951447513,19707415491,0,47.92307692307692,1.04,3.49,21.84,201184202752,181067960320,10.0,19040391168,163960401920,7743373312,7743373312,542863360,17640546304,2816,533400,1027731378,26010079399,7566,0,0,145566201665,0
2022-04-09 07:29:20,13242365.74,5.31,1940028.92,71133876.4,50554.18,0.0,19758.24,0.0,0.0,0.0,6568412213,21951727668,19707506799,0,47.93846153846154,1.01,3.04,20.54,201184202752,181066432512,10.0,19041894400,163814154240,7884464128,7884464128,542863360,17785290752,2816,533400,1027865658,26010362046,7566,0,0,145568332076,0
2022-04-09 07:30:20,13242424.77,5.31,1940031.95,71137650.96,50554.37,0.0,19758.24,0.0,0.0,0.0,6568702027,21952008322,19707596492,0,47.90769230769231,1.01,2.67,19.31,201184202752,181065502720,10.0,19042426880,163669315584,8024748032,8024748032,542863360,17929596928,2944,533400,1028000322,26010690313,7566,0,0,145570464758,0
2022-04-09 07:31:20,13242484.91,5.31,1940035.7,71141423.8,50554.41,0.0,19758.24,0.0,0.0,0.0,6568989670,21952289054,19707689988,0,48.04615384615385,1.07,2.39,18.18,201184202752,181063020544,10.0,19044786176,163519102976,8168390656,8168390656,542863360,18077450240,2944,533400,1028142542,26010949792,7566,0,0,145572608928,0
2022-04-09 07:32:20,13242543.67,5.31,1940038.61,71145196.56,50554.72,0.0,19758.25,0.0,0.0,0.0,6569280324,21952570125,19707778962,0,48.01538461538462,1.02,2.14,17.1,201184202752,181067096064,10.0,19040722944,163375325184,8312524800,8312524800,542863360,18225291264,2816,533400,1028284734,26011240645,7566,0,0,145574764098,0
2022-04-09 07:33:20,13242602.69,5.31,1940041.67,71148972.71,50555.17,0.0,19758.25,0.0,0.0,0.0,6569570400,21952850605,19707868586,0,47.90769230769231,0.98,1.92,16.09,201184202752,181066559488,10.0,19041615872,163227348992,8456556544,8456556544,542863360,18372374528,2688,533400,1028428058,26011480200,7566,0,0,145576919052,0
