pgfree_mean,ddrc_ddwr_sum,faultFlag
387,99,0
393,87,0
440,83,0
155,100,0
354,105,0
207,95,0
122,88,0
160,104,0
145,83,0
250,80,0
109,80,0
330,105,0
243,85,0
123,86,0
370,94,0
383,82,0
268,89,0
167,95,0
103,88,0
453,105,0
309,99,0
406,93,0
426,80,0
305,95,0
413,102,0
313,91,0
327,99,0
412,90,0
296,91,0
362,112,50
285,119,50
304,108,50
166,113,50
386,115,50
445,115,50
353,114,50
416,106,50
357,114,50
257,118,50
264,108,50
295,108,50
230,117,50
342,120,50
263,112,50
274,120,50
121,112,50
232,117,50
317,112,50
364,107,50
366,112,50
358,119,50
413,107,50
415,108,50
199,117,50
209,110,50
158,118,50
430,119,50
174,118,50
238,110,50
458,84,50
696,87,50
654,95,50
591,83,50
744,103,50
469,105,50
719,94,50
751,95,50
592,88,50
668,99,50
741,80,50
544,82,50
878,100,50
982,88,50
454,86,50
526,86,50
793,81,50
973,83,50
948,84,50
510,82,50
935,86,50
469,103,50
772,85,50
603,101,50
726,85,50
663,105,50
970,98,50
732,100,50
921,105,50
850,83,50
617,91,50
705,84,50
883,100,50
933,95,50
825,105,50
547,97,50
600,83,50
560,103,50
503,99,50
975,90,50
981,89,50
466,98,50
818,101,50
502,103,50
491,86,50
833,82,50
957,96,50
654,85,50
966,90,50
558,93,50
745,97,50
974,102,50
815,82,50
488,82,50
835,88,50
485,100,50
992,87,50
488,92,50
922,91,50
698,93,50
