pgfree_mean,ddrc_ddwr_sum,faultFlag
917,105,0
316,96,0
593,100,0
416,98,0
322,99,0
690,97,0
814,105,0
504,100,0
805,91,0
693,105,0
893,102,0
222,104,0
886,102,0
273,99,0
311,96,0
977,100,0
750,95,0
971,98,0
593,97,0
595,94,0
152,101,0
990,92,0
984,105,0
918,93,0
142,100,0
871,90,0
584,90,0
807,94,0
150,103,0
275,90,0
213,103,0
131,98,0
632,95,0
167,103,0
677,91,0
326,100,0
210,98,0
416,100,0
920,103,0
524,91,0
212,103,0
919,104,0
393,98,0
660,98,0
784,96,0
238,99,0
757,100,0
400,92,0
614,98,0
625,93,0
939,103,0
113,90,0
574,94,0
122,95,0
187,97,0
733,93,0
580,100,0
200,104,0
531,91,0
458,92,0
533,105,0
203,98,0
664,93,0
306,92,0
650,93,0
545,92,0
799,101,0
181,102,0
891,104,0
675,92,0
137,105,0
338,99,0
257,103,0
716,102,0
516,93,0
800,99,0
516,96,0
874,97,0
218,90,0
454,99,0
938,104,0
604,103,0
889,103,0
975,91,0
307,105,0
991,99,0
165,96,0
950,99,0
753,101,0
662,91,0
654,96,0
240,94,0
784,99,0
197,91,0
414,101,0
136,91,0
921,104,0
105,90,0
456,95,0
106,130,90
139,136,90
386,111,90
448,139,90
319,149,90
429,135,90
287,121,90
450,110,90
124,118,90
184,124,90
270,125,90
281,136,90
420,139,90
376,139,90
298,133,90
97,107,90
427,122,90
416,127,90
367,107,90
358,126,90
291,150,90
145,112,90
317,109,90
365,123,90
245,141,90
249,106,90
427,150,90
423,138,90
140,146,90
128,134,90
226,109,90
116,125,90
139,135,90
205,150,90
229,127,90
425,108,90
119,146,90
125,113,90
158,148,90
92,135,90
436,125,90
404,146,90
403,127,90
327,118,90
442,144,90
217,115,90
126,146,90
396,145,90
231,108,90
203,106,90
694,122,50
560,140,50
865,128,50
740,107,50
546,150,50
842,123,50
980,127,50
841,135,50
533,112,50
822,130,50
879,141,50
625,115,50
921,145,50
972,129,50
796,134,50
563,115,50
991,117,50
979,129,50
976,139,50
458,135,50
869,112,50
809,125,50
696,143,50
581,120,50
977,147,50
773,115,50
457,131,50
769,114,50
706,134,50
714,141,50
752,118,50
534,149,50
570,123,50
488,136,50
919,143,50
904,147,50
552,112,50
476,123,50
765,142,50
485,113,50
870,123,50
780,107,50
991,118,50
659,143,50
547,110,50
912,146,50
764,134,50
776,108,50
488,130,50
812,150,50
903,134,50
