pgfree_mean,faultFlag
360,0
403,0
294,0
342,0
303,0
321,0
321,0
187,0
425,0
416,0
402,0
199,0
376,0
243,0
343,0
440,0
139,0
448,0
204,0
132,0
175,0
245,0
362,0
402,0
438,0
281,0
193,0
263,0
319,0
222,0
150,0
144,0
100,0
315,0
269,0
126,0
415,0
422,0
240,0
347,0
182,0
254,0
334,0
255,0
409,0
297,0
307,0
143,0
291,0
344,0
419,0
271,0
299,0
322,0
448,0
151,0
372,0
296,0
453,0
454,50
596,50
591,50
509,50
520,50
510,50
582,50
492,50
527,50
578,50
472,50
539,50
460,50
507,50
578,50
514,50
526,50
511,50
597,50
459,50
581,50
482,50
509,50
515,50
516,50
484,50
525,50
561,50
478,50
533,50
502,50
469,50
584,50
569,50
574,50
555,50
482,50
546,50
506,50
530,50
598,50
534,50
458,50
555,50
493,50
464,50
485,50
566,50
594,50
465,50
571,50
594,50
574,50
598,50
521,50
550,50
523,50
555,50
586,50
568,50
